#  Iowa Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.75,1.48
199702,2.15,1.81
199703,1.60,1.33
199704,1.57,1.32
199705,1.79,1.54
199706,1.47,1.22
199707,1.08,0.75
199708,0.58,0.32
199709,-0.93,-1.18
199710,-0.48,-0.77
199711,-0.70,-0.95
199712,-0.76,-0.97
199801,0.08,-0.19
199802,0.53,0.19
199803,1.47,1.20
199804,1.77,1.52
199805,1.49,1.24
199806,2.83,2.58
199807,2.39,2.06
199808,2.59,2.33
199809,1.68,1.43
199810,2.52,2.23
199811,2.31,2.06
199812,1.88,1.67
199901,2.04,1.77
199902,1.92,1.58
199903,1.26,0.99
199904,2.63,2.38
199905,2.76,2.51
199906,2.80,2.55
199907,3.10,2.77
199908,2.72,2.46
199909,1.98,1.73
199910,1.14,0.85
199911,-1.73,-1.98
199912,-2.05,-2.26
200001,-2.18,-2.45
200002,-1.89,-2.23
200003,-2.62,-2.89
200004,-2.88,-3.13
200005,-2.89,-3.14
200006,-1.71,-1.96
200007,-1.22,-1.55
200008,-1.49,-1.75
200009,-1.92,-2.17
200010,-2.15,-2.44
200011,-1.87,-2.12
200012,-1.47,-1.68
200101,-0.99,-1.26
200102,1.39,1.05
200103,1.08,0.81
200104,1.11,0.86
200105,2.27,2.02
200106,1.89,1.64
200107,1.45,1.12
200108,0.86,0.60
200109,0.94,0.69
200110,0.97,0.68
200111,-0.80,-1.05
200112,-0.97,-1.18
200201,-1.24,-1.51
200202,-1.17,-1.51
200203,-1.34,-1.61
200204,-0.84,-1.09
200205,0.59,0.34
200206,-0.59,-0.84
200207,0.06,-0.27
200208,0.81,0.55
200209,0.07,-0.18
200210,0.78,0.49
200211,-0.49,-0.74
200212,-0.92,-1.13
200301,-1.17,-1.44
200302,-1.12,-1.46
200303,-1.36,-1.63
200304,-1.11,-1.36
200305,-0.57,-0.82
200306,0.55,0.30
200307,0.78,0.45
200308,-1.13,-1.39
200309,-1.25,-1.50
200310,-1.86,-2.15
200311,-1.24,-1.49
200312,-1.11,-1.32
200401,-0.97,-1.24
200402,-0.61,-0.95
200403,1.25,0.98
200404,-0.57,-0.82
200405,1.57,1.32
200406,1.13,0.88
200407,1.47,1.14
200408,1.93,1.67
200409,1.51,1.26
200410,1.32,1.03
200411,1.38,1.13
200412,1.09,0.88
200501,1.34,1.07
200502,1.69,1.35
200503,1.09,0.82
200504,1.01,0.76
200505,1.03,0.78
200506,1.02,0.77
200507,0.77,0.44
200508,-0.51,-0.77
200509,-0.77,-1.02
200510,-1.43,-1.72
200511,-1.66,-1.91
200512,-1.71,-1.92
200601,-1.67,-1.94
