#  Iowa Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,23.9,-3.2
199702,32.5,0.0
199703,47.9,3.1
199704,55.5,-4.3
199705,66.2,-5.4
199706,82.2,1.6
199707,83.7,-1.8
199708,79.8,-3.2
199709,75.8,0.9
199710,63.8,0.5
199711,40.2,-5.3
199712,33.3,1.9
199801,30.2,3.1
199802,41.2,8.7
199803,40.0,-4.8
199804,59.8,0.0
199805,76.3,4.7
199806,76.8,-3.8
199807,83.9,-1.6
199808,82.4,-0.6
199809,80.8,5.9
199810,63.5,0.2
199811,49.6,4.1
199812,39.5,8.1
199901,25.0,-2.1
199902,41.1,8.6
199903,47.0,2.2
199904,59.6,-0.2
199905,70.8,-0.8
199906,78.7,-1.9
199907,87.2,1.7
199908,80.6,-2.4
199909,74.6,-0.3
199910,64.9,1.6
199911,57.0,11.5
199912,37.0,5.6
200001,31.5,4.4
200002,42.0,9.5
200003,54.6,9.8
200004,62.2,2.4
200005,74.9,3.3
200006,78.7,-1.9
200007,81.8,-3.7
200008,83.0,0.0
200009,78.0,3.1
200010,66.2,2.9
200011,40.4,-5.1
200012,18.6,-12.8
200101,29.1,2.0
200102,26.9,-5.6
200103,38.4,-6.4
200104,65.1,5.3
200105,71.1,-0.5
200106,78.9,-1.7
200107,85.4,-0.1
200108,83.5,0.5
200109,72.3,-2.6
200110,61.7,-1.6
200111,59.0,13.5
200112,39.7,8.3
200201,38.8,11.7
200202,39.7,7.2
200203,41.6,-3.2
200204,60.3,0.5
200205,69.1,-2.5
200206,83.3,2.7
200207,87.4,1.9
200208,81.6,-1.4
200209,77.8,2.9
200210,56.0,-7.3
200211,44.6,-0.9
200212,39.1,7.7
200301,28.7,1.6
200302,31.2,-1.3
200303,46.0,1.2
200304,62.3,2.5
200305,69.2,-2.4
200306,78.4,-2.2
200307,84.0,-1.5
200308,86.4,3.4
200309,74.0,-0.9
200310,65.8,2.5
200311,44.7,-0.8
200312,35.7,4.3
200401,26.7,-0.4
200402,30.9,-1.6
200403,50.0,5.2
200404,64.5,4.7
200405,71.9,0.3
200406,77.4,-3.2
200407,80.5,-5.0
200408,77.1,-5.9
200409,79.1,4.2
200410,62.7,-0.6
200411,49.7,4.2
200412,36.1,4.7
200501,26.2,-0.9
200502,39.6,7.1
200503,47.0,2.2
200504,65.3,5.5
200505,69.4,-2.2
200506,83.4,2.8
200507,86.0,0.5
200508,82.9,-0.1
200509,80.2,5.3
200510,64.9,1.6
200511,50.3,4.8
200512,26.4,-5.0
200601,39.9,12.8
200602,36.2,3.7
200603,45.8,1.0
200604,65.9,6.1
200605,71.7,0.1
200606,81.8,1.2
200607,87.3,1.8
200608,81.8,-1.2
