#  Iowa Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,5.2,-3.2
199702,17.5,4.5
199703,26.4,1.9
199704,33.1,-3.3
199705,42.3,-5.6
199706,58.7,1.0
199707,63.0,0.8
199708,59.1,-0.7
199709,52.6,1.5
199710,40.4,0.9
199711,25.6,-0.4
199712,21.6,7.6
199801,16.8,8.4
199802,28.5,15.5
199803,25.6,1.1
199804,39.6,3.2
199805,53.8,5.9
199806,57.4,-0.3
199807,63.7,1.5
199808,63.4,3.6
199809,55.7,4.6
199810,42.7,3.2
199811,31.9,5.9
199812,19.2,5.2
199901,9.1,0.7
199902,24.7,11.7
199903,25.6,1.1
199904,40.3,3.9
199905,50.1,2.2
199906,59.0,1.3
199907,66.3,4.1
199908,59.3,-0.5
199909,48.1,-3.0
199910,36.8,-2.7
199911,31.4,5.4
199912,17.0,3.0
200001,11.8,3.4
200002,23.0,10.0
200003,31.5,7.0
200004,36.6,0.2
200005,50.7,2.8
200006,56.7,-1.0
200007,62.6,0.4
200008,62.5,2.7
200009,51.3,0.2
200010,43.4,3.9
200011,24.0,-2.0
200012,1.4,-12.6
200101,12.5,4.1
200102,9.2,-3.8
200103,22.0,-2.5
200104,40.3,3.9
200105,50.8,2.9
200106,57.7,0.0
200107,64.7,2.5
200108,61.5,1.7
200109,50.1,-1.0
200110,38.7,-0.8
200111,36.9,10.9
200112,21.8,7.8
200201,18.4,10.0
200202,19.9,6.9
200203,20.5,-4.0
200204,37.4,1.0
200205,44.6,-3.3
200206,61.4,3.7
200207,65.6,3.4
200208,60.1,0.3
200209,52.8,1.7
200210,36.4,-3.1
200211,24.8,-1.2
200212,18.7,4.7
200301,9.4,1.0
200302,9.6,-3.4
200303,24.1,-0.4
200304,38.5,2.1
200305,46.6,-1.3
200306,56.1,-1.6
200307,62.2,0.0
200308,61.9,2.1
200309,48.1,-3.0
200310,38.9,-0.6
200311,27.1,1.1
200312,20.6,6.6
200401,8.7,0.3
200402,14.5,1.5
200403,31.6,7.1
200404,37.7,1.3
200405,49.4,1.5
200406,56.5,-1.2
