#  Iowa Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.45,0.38
199702,1.76,1.57
199703,-1.00,-0.84
199704,0.40,0.28
199705,1.15,0.95
199706,-0.39,-0.48
199707,-0.74,-0.88
199708,-1.16,-1.12
199709,-0.87,-1.03
199710,1.05,0.98
199711,-0.82,-0.88
199712,-0.38,-0.33
199801,0.23,0.16
199802,1.39,1.20
199803,2.97,3.13
199804,1.37,1.25
199805,-0.29,-0.49
199806,4.46,4.37
199807,-0.44,-0.58
199808,1.35,1.39
199809,-1.93,-2.09
199810,3.04,2.97
199811,0.16,0.10
199812,-0.58,-0.53
199901,1.05,0.98
199902,0.28,0.09
199903,-1.40,-1.24
199904,4.52,4.40
199905,1.20,1.00
199906,0.97,0.88
199907,1.77,1.63
199908,-0.18,-0.14
199909,-1.37,-1.53
199910,-1.92,-1.99
199911,-2.24,-2.30
199912,-1.49,-1.44
200001,-1.03,-1.10
200002,0.19,0.00
200003,-2.77,-2.61
200004,-1.57,-1.69
200005,-0.93,-1.13
200006,2.65,2.56
200007,0.95,0.81
200008,-1.20,-1.16
200009,-1.76,-1.92
200010,-1.28,-1.35
200011,0.17,0.11
200012,0.62,0.67
200101,1.01,0.94
200102,2.64,2.45
200103,-0.50,-0.34
200104,0.42,0.30
200105,3.82,3.62
200106,-0.42,-0.51
200107,-0.74,-0.88
200108,-1.34,-1.30
200109,0.52,0.36
200110,0.39,0.32
200111,-1.46,-1.52
200112,-0.78,-0.73
200201,-1.11,-1.18
200202,-0.18,-0.37
200203,-0.85,-0.69
200204,1.06,0.94
200205,0.82,0.62
200206,-1.78,-1.87
200207,0.17,0.03
200208,2.29,2.33
200209,-1.98,-2.14
200210,2.16,2.09
200211,-1.46,-1.52
200212,-1.46,-1.41
200301,-1.03,-1.10
200302,-0.21,-0.40
200303,-1.06,-0.90
200304,0.31,0.19
200305,1.28,1.08
200306,0.24,0.15
200307,0.86,0.72
200308,-3.39,-3.35
200309,-0.71,-0.87
200310,-2.22,-2.29
200311,1.29,1.23
200312,0.00,0.05
200401,0.08,0.01
200402,0.77,0.58
200403,2.16,2.32
200404,-1.72,-1.84
200405,4.71,4.51
200406,-0.83,-0.92
200407,1.37,1.23
200408,1.85,1.89
200409,-0.69,-0.85
200410,-0.08,-0.15
200411,0.58,0.52
200412,-0.45,-0.40
200501,1.08,1.01
200502,1.46,1.27
200503,-1.26,-1.10
200504,0.10,-0.02
200505,0.35,0.15
200506,0.31,0.22
200507,-0.45,-0.59
200508,-0.96,-0.92
200509,-0.95,-1.11
200510,-2.20,-2.27
200511,-1.14,-1.20
200512,-0.67,-0.62
200601,-0.39,-0.46
200602,-1.37,-1.56
200603,1.29,1.45
200604,1.20,1.08
200605,-1.87,-2.07
200606,-2.67,-2.76
200607,-1.57,-1.71
