#  Kansas Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,10,4
199704,0,-11
199705,47,-46
199706,245,-35
199707,418,-23
199708,330,-68
199709,192,15
199710,22,-3
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,-6
199804,5,-6
199805,173,80
199806,295,15
199807,452,11
199808,420,22
199809,314,137
199810,30,5
199811,0,0
199812,0,0
199901,0,0
199902,5,5
199903,0,-6
199904,10,-1
199905,83,-10
199906,218,-62
199907,492,51
199908,402,4
199909,112,-65
199910,19,-6
199911,6,6
199912,0,0
200001,0,0
200002,0,0
200003,11,5
200004,9,-2
200005,137,44
200006,229,-51
200007,429,-12
200008,590,192
200009,234,57
200010,41,16
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,-6
200104,33,22
200105,121,28
200106,254,-26
200107,556,115
200108,450,52
200109,146,-31
200110,17,-8
200111,4,4
200112,0,0
200201,0,0
200202,0,0
200203,0,-6
200204,18,7
200205,62,-31
200206,343,63
200207,486,45
200208,430,32
200209,226,49
200210,1,-24
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,3,-3
200304,17,6
200305,77,-16
200306,198,-82
200307,517,76
200308,494,96
200309,101,-76
200310,23,-2
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,15,9
200404,13,2
200405,138,45
200406,215,-65
200407,329,-112
200408,263,-135
200409,210,33
200410,27,2
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,7,1
200504,14,3
200505,96,3
200506,318,38
200507,421,-20
200508,400,2
200509,246,69
200510,24,-1
200511,0,0
200512,0,0
200601,6,6
200602,0,0
200603,9,3
200604,44,33
200605,117,24
200606,325,45
200607,501,60
200608,460,62
200609,103,-74
200610,13,-12
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,31,25
200704,2,-9
200705,129,36
200706,247,-33
200707,401,-40
200708,531,133
200709,210,33
200710,34,9
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,2,-4
200804,2,-9
200805,81,-12
200806,291,11
200807,417,-24
200808,337,-61
200809,126,-51
200810,13,-12
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,6,0
200904,5,-6
200905,82,-11
200906,324,44
200907,327,-114
200908,301,-97
200909,111,-66
200910,0,-25
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,5,-1
201004,32,21
201005,76,-17
201006,382,102
201007,458,17
201008,471,73
201009,208,31
201010,33,8
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,6,0
201104,14,3
201105,77,-16
201106,381,101
201107,642,201
201108,506,108
201109,124,-53
201110,24,-1
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,55,49
201204,39,28
201205,194,101
201206,367,87
201207,625,184
201208,373,-25
201209,161,-16
201210,11,-14
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,-6
201304,0,-11
201305,76,-17
201306,306,26
201307,381,-60
201308,360,-38
201309,238,61
201310,14,-11
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,-6
201404,9,-2
201405,113,20
201406,280,0
201407,320,-121
201408,428,30
201409,158,-19
201410,33,8
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,9,3
201504,19,8
201505,69,-24
201506,338,58
201507,438,-3
201508,321,-77
201509,287,110
201510,33,8
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,19,13
201604,21,10
201605,63,-30
201606,397,117
201607,462,21
201608,387,-11
201609,223,46
201610,59,34
201611,4,4
201612,0,0
201701,0,0
201702,7,7
201703,16,10
201704,16,5
201705,76,-17
201706,308,28
201707,472,31
201708,269,-129
201709,215,38
201710,27,2
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,7,1
201804,0,-11
201805,255,162
201806,411,131
201807,444,3
201808,373,-25
201809,198,21
201810,10,-15
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,-6
201904,14,3
201905,59,-34
201906,260,-20
201907,422,-19
201908,377,-21
201909,329,152
201910,3,-22
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,13,7
202004,6,-5
202005,57,-36
202006,383,103
202007,449,8
202008,352,-46
202009,129,-48
202010,6,-19
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,15,9
202104,7,-4
202105,60,-33
202106,348,68
202107,399,-42
202108,446,48
202109,275,98
202110,39,14
202111,0,0
202112,1,1
202201,0,0
202202,0,0
202203,6,0
202204,10,-1
202205,109,16
202206,341,61
202207,496,55
202208,447,49
202209,239,62
202210,23,-2
202211,0,0
202212,0,0
