#  Kansas Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1141,15
199702,827,-46
199703,571,-111
199704,458,126
199705,172,54
199706,16,1
199707,0,-2
199708,9,3
199709,37,-16
199710,244,-18
199711,721,59
199712,994,-28
199801,1002,-124
199802,701,-172
199803,821,139
199804,374,42
199805,45,-73
199806,10,-5
199807,0,-2
199808,3,-3
199809,12,-41
199810,213,-49
199811,504,-158
199812,920,-102
199901,1070,-56
199902,621,-252
199903,677,-5
199904,315,-17
199905,118,0
199906,21,6
199907,0,-2
199908,4,-2
199909,88,35
199910,261,-1
199911,410,-252
199912,873,-149
200001,987,-139
200002,664,-209
200003,558,-124
200004,322,-10
200005,67,-51
200006,19,4
200007,1,-1
200008,0,-6
200009,24,-29
200010,183,-79
200011,813,151
200012,1318,296
200101,1070,-56
200102,949,76
200103,745,63
200104,196,-136
200105,81,-37
200106,15,0
200107,0,-2
200108,1,-5
200109,63,10
200110,268,6
200111,434,-228
200112,844,-178
200201,956,-170
200202,794,-79
200203,765,83
200204,258,-74
200205,145,27
200206,4,-11
200207,0,-2
200208,1,-5
200209,26,-27
200210,432,170
200211,670,8
200212,906,-116
200301,1068,-58
200302,932,59
200303,645,-37
200304,261,-71
200305,125,7
200306,27,12
200307,0,-2
200308,0,-6
200309,100,47
200310,235,-27
200311,644,-18
200312,909,-113
200401,1086,-40
200402,935,62
200403,506,-176
200404,289,-43
200405,68,-50
200406,22,7
200407,7,5
200408,19,13
200409,31,-22
200410,223,-39
200411,579,-83
200412,906,-116
200501,1089,-37
200502,716,-157
200503,625,-57
200504,277,-55
200505,105,-13
200506,7,-8
200507,0,-2
200508,3,-3
200509,21,-32
200510,234,-28
200511,539,-123
200512,1073,51
200601,729,-397
200602,847,-26
200603,586,-96
200604,172,-160
200605,85,-33
200606,6,-9
200607,0,-2
200608,0,-6
200609,97,44
200610,304,42
200611,576,-86
200612,861,-161
200701,1117,-9
200702,966,93
200703,390,-292
200704,399,67
200705,74,-44
200706,15,0
200707,1,-1
200708,0,-6
200709,31,-22
200710,200,-62
200711,611,-51
200712,1085,63
200801,1079,-47
200802,936,63
200803,678,-4
200804,414,82
200805,121,3
200806,10,-5
200807,1,-1
200808,9,3
200809,76,23
200810,297,35
200811,609,-53
200812,1083,61
200901,1080,-46
200902,703,-170
200903,625,-57
200904,368,36
200905,120,2
200906,6,-9
200907,9,7
200908,14,8
200909,90,37
200910,469,207
200911,487,-175
200912,1164,142
201001,1216,90
201002,994,121
201003,636,-46
201004,200,-132
201005,128,10
201006,2,-13
201007,0,-2
201008,0,-6
201009,34,-19
201010,202,-60
201011,603,-59
201012,1026,4
201101,1195,69
201102,971,98
201103,628,-54
201104,282,-50
201105,126,8
201106,2,-13
201107,0,-2
201108,0,-6
201109,80,27
201110,234,-28
201111,611,-51
201112,931,-91
201201,883,-243
201202,749,-124
201203,299,-383
201204,181,-151
201205,37,-81
201206,1,-14
201207,0,-2
201208,5,-1
201209,55,2
201210,321,59
201211,541,-121
201212,901,-121
201301,982,-144
201302,875,2
201303,777,95
201304,471,139
201305,126,8
201306,9,-6
201307,4,2
201308,6,0
201309,23,-30
201310,295,33
201311,699,37
201312,1118,96
201401,1126,0
201402,1048,175
201403,756,74
201404,322,-10
201405,88,-30
201406,11,-4
201407,7,5
201408,1,-5
201409,55,2
201410,206,-56
201411,798,136
201412,916,-106
201501,1025,-101
201502,989,116
201503,578,-104
201504,251,-81
201505,136,18
201506,5,-10
201507,1,-1
201508,10,4
201509,15,-38
201510,205,-57
201511,497,-165
201512,806,-216
201601,1043,-83
201602,668,-205
201603,465,-217
201604,240,-92
201605,142,24
201606,1,-14
201607,0,-2
201608,4,-2
201609,27,-26
201610,151,-111
201611,421,-241
201612,1061,39
201701,963,-163
201702,598,-275
201703,496,-186
201704,269,-63
201705,127,9
201706,8,-7
201707,0,-2
201708,17,11
201709,29,-24
201710,222,-40
201711,583,-79
201712,951,-71
201801,1104,-22
201802,910,37
201803,596,-86
201804,513,181
201805,20,-98
201806,0,-15
201807,0,-2
201808,6,0
201809,34,-19
201810,323,61
201811,809,147
201812,924,-98
201901,1050,-76
201902,1012,139
201903,765,83
201904,277,-55
201905,152,34
201906,14,-1
201907,0,-2
201908,6,0
201909,10,-43
201910,399,137
201911,732,70
201912,860,-162
202001,965,-161
202002,836,-37
202003,522,-160
202004,355,23
202005,152,34
202006,1,-14
202007,0,-2
202008,8,2
202009,74,21
202010,369,107
202011,489,-173
202012,886,-136
202101,943,-183
202102,1150,277
202103,499,-183
202104,351,19
202105,146,28
202106,2,-13
202107,1,-1
202108,1,-5
202109,17,-36
202110,188,-74
202111,535,-127
202112,699,-323
202201,1082,-44
202202,921,48
202203,624,-58
202204,320,-12
202205,92,-26
202206,4,-11
202207,0,-2
202208,1,-5
202209,24,-29
202210,240,-22
202211,683,21
202212,1049,27
