#  Kansas Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.84,1.50
199702,2.63,2.30
199703,1.86,1.58
199704,2.18,1.89
199705,2.09,1.82
199706,2.20,1.83
199707,2.38,2.02
199708,3.19,2.81
199709,3.02,2.66
199710,3.37,3.08
199711,3.08,2.70
199712,3.73,3.37
199801,3.60,3.26
199802,3.51,3.18
199803,4.17,3.89
199804,3.86,3.57
199805,2.63,2.36
199806,2.02,1.65
199807,2.86,2.50
199808,2.24,1.86
199809,1.88,1.52
199810,2.62,2.33
199811,3.75,3.37
199812,3.47,3.11
199901,3.84,3.50
199902,3.32,2.99
199903,3.18,2.90
199904,4.26,3.97
199905,4.29,4.02
199906,4.60,4.23
199907,4.32,3.96
199908,4.15,3.77
199909,4.10,3.74
199910,-0.55,-0.84
199911,-1.03,-1.41
199912,-0.85,-1.21
200001,-1.01,-1.35
200002,0.21,-0.12
200003,1.09,0.81
200004,-0.42,-0.71
200005,-0.91,-1.18
200006,-0.60,-0.97
200007,-0.20,-0.56
200008,-1.36,-1.74
200009,-2.18,-2.54
200010,0.69,0.40
200011,0.71,0.33
200012,0.42,0.06
200101,0.73,0.39
200102,1.73,1.40
200103,1.64,1.36
200104,1.04,0.75
200105,1.58,1.31
200106,1.57,1.20
200107,1.80,1.44
200108,-0.23,-0.61
200109,0.33,-0.03
200110,-0.37,-0.66
200111,-0.98,-1.36
200112,-1.45,-1.81
200201,-1.29,-1.63
200202,-1.60,-1.93
200203,-2.10,-2.38
200204,-2.12,-2.41
200205,-2.06,-2.33
200206,-2.64,-3.01
200207,-3.37,-3.73
200208,-3.37,-3.75
200209,-3.79,-4.15
200210,-2.18,-2.47
200211,-2.41,-2.79
200212,-2.46,-2.82
200301,-2.60,-2.94
200302,-2.19,-2.52
200303,-1.89,-2.17
200304,-1.41,-1.70
200305,-1.29,-1.56
200306,-0.86,-1.23
200307,-1.46,-1.82
200308,-1.11,-1.49
200309,-1.05,-1.41
200310,-1.42,-1.71
200311,-1.71,-2.09
200312,-1.56,-1.92
200401,-1.49,-1.83
200402,-1.43,-1.76
200403,-0.96,-1.24
200404,-0.86,-1.15
200405,-1.55,-1.82
200406,0.50,0.13
200407,1.57,1.21
200408,1.63,1.25
200409,1.23,0.87
200410,1.26,0.97
200411,1.71,1.33
200412,1.27,0.91
200501,1.92,1.58
200502,2.27,1.94
200503,2.02,1.74
200504,1.65,1.36
200505,1.36,1.09
200506,2.06,1.69
200507,2.27,1.91
200508,3.26,2.88
200509,-0.42,-0.78
200510,-0.06,-0.35
200511,-0.38,-0.76
200512,-0.56,-0.92
200601,-0.97,-1.31
200602,-1.44,-1.77
200603,-1.50,-1.78
200604,-1.67,-1.96
200605,-2.26,-2.53
200606,-2.69,-3.06
200607,-3.15,-3.51
200608,-2.44,-2.82
200609,-2.50,-2.86
200610,-2.19,-2.48
200611,-2.54,-2.92
200612,0.88,0.52
200701,0.84,0.50
200702,0.79,0.46
200703,1.03,0.75
200704,1.38,1.09
200705,2.20,1.93
200706,2.81,2.44
200707,3.01,2.65
200708,2.69,2.31
200709,2.06,1.70
200710,2.14,1.85
200711,1.34,0.96
200712,2.14,1.78
200801,1.78,1.44
200802,2.02,1.69
200803,1.73,1.45
200804,1.96,1.67
200805,2.53,2.26
200806,2.74,2.37
200807,2.92,2.56
200808,3.21,2.83
200809,3.57,3.21
200810,4.68,4.39
200811,4.32,3.94
200812,4.11,3.75
200901,3.67,3.33
200902,3.30,2.97
200903,3.19,2.91
200904,4.15,3.86
200905,3.48,3.21
200906,3.50,3.13
200907,3.81,3.45
200908,4.16,3.78
200909,4.26,3.90
200910,5.06,4.77
200911,4.63,4.25
200912,4.57,4.21
201001,4.34,4.00
201002,4.30,3.97
201003,4.19,3.91
201004,3.73,3.44
201005,3.72,3.45
201006,3.64,3.27
201007,4.07,3.71
201008,3.84,3.46
201009,3.57,3.21
201010,-0.62,-0.91
201011,-0.50,-0.88
201012,-0.85,-1.21
201101,-0.97,-1.31
201102,-0.75,-1.08
201103,-1.07,-1.35
201104,-1.29,-1.58
201105,-1.39,-1.66
201106,-1.96,-2.33
201107,-2.48,-2.84
201108,-2.60,-2.98
201109,-2.99,-3.35
201110,-3.00,-3.29
201111,-2.29,-2.67
201112,-1.26,-1.62
201201,-1.56,-1.90
201202,-0.89,-1.22
201203,-1.00,-1.28
201204,-0.84,-1.13
201205,-2.04,-2.31
201206,-2.80,-3.17
201207,-3.80,-4.16
201208,-3.90,-4.28
201209,-3.94,-4.30
201210,-3.93,-4.22
201211,-4.20,-4.58
201212,-4.24,-4.60
201301,-4.03,-4.37
201302,-3.41,-3.74
201303,-3.46,-3.74
201304,-2.86,-3.15
201305,-2.63,-2.90
201306,-2.93,-3.30
201307,-2.31,-2.67
201308,-1.29,-1.67
201309,-1.31,-1.67
201310,-0.83,-1.12
201311,-0.81,-1.19
201312,-0.99,-1.35
201401,-1.21,-1.55
201402,-1.16,-1.49
201403,-1.62,-1.90
201404,-1.87,-2.16
201405,-2.73,-3.00
201406,1.00,0.63
201407,0.79,0.43
201408,0.69,0.31
201409,0.69,0.33
201410,0.87,0.58
201411,-0.40,-0.78
201412,-0.15,-0.51
201501,-0.39,-0.73
201502,-0.37,-0.70
201503,-1.12,-1.40
201504,-1.03,-1.32
201505,1.87,1.60
201506,1.55,1.18
201507,2.20,1.84
201508,2.26,1.88
201509,1.40,1.04
201510,1.08,0.79
201511,1.70,1.32
201512,2.44,2.08
201601,2.27,1.93
201602,1.88,1.55
201603,1.10,0.82
201604,2.26,1.97
201605,2.66,2.39
201606,1.81,1.44
201607,2.28,1.92
201608,3.00,2.62
201609,3.25,2.89
201610,2.60,2.31
201611,1.70,1.32
201612,1.41,1.05
201701,1.76,1.42
201702,0.98,0.65
201703,1.03,0.75
201704,2.10,1.81
201705,2.58,2.31
201706,-0.15,-0.52
201707,-0.28,-0.64
201708,0.36,-0.02
201709,0.08,-0.28
201710,0.36,0.07
201711,-0.62,-1.00
201712,-1.13,-1.49
201801,-1.40,-1.74
201802,-1.57,-1.90
201803,-2.09,-2.37
201804,-2.19,-2.48
201805,-2.67,-2.94
201806,-3.05,-3.42
201807,-2.84,-3.20
201808,0.36,-0.02
201809,0.38,0.02
201810,2.13,1.84
201811,1.94,1.56
201812,2.74,2.38
201901,3.00,2.66
201902,3.19,2.86
201903,3.37,3.09
201904,2.68,2.39
201905,5.58,5.31
201906,5.40,5.03
201907,4.94,4.58
201908,6.26,5.88
201909,5.29,4.93
201910,5.01,4.72
201911,4.34,3.96
201912,4.16,3.80
202001,4.22,3.88
202002,4.25,3.92
202003,3.96,3.68
202004,3.20,2.91
202005,3.25,2.98
202006,2.49,2.12
202007,3.40,3.04
202008,-0.27,-0.65
202009,-0.60,-0.96
202010,-0.79,-1.08
202011,-0.94,-1.32
202012,-0.93,-1.29
202101,-0.50,-0.84
202102,-0.80,-1.13
202103,0.74,0.46
202104,0.37,0.08
202105,1.26,0.99
202106,-0.32,-0.69
202107,-0.26,-0.62
202108,-0.49,-0.87
202109,-0.68,-1.04
202110,-0.27,-0.56
202111,-0.80,-1.18
202112,-1.47,-1.83
202201,-1.76,-2.10
202202,-2.07,-2.40
202203,-2.01,-2.29
202204,-2.54,-2.83
202205,-2.06,-2.33
202206,-2.29,-2.66
202207,-2.52,-2.88
202208,-3.35,-3.73
202209,-3.89,-4.25
202210,-4.22,-4.51
202211,-3.83,-4.21
202212,-3.65,-4.01
