#  Kansas Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.36,1.09
199702,2.63,2.32
199703,1.16,0.99
199704,2.06,1.84
199705,2.08,1.84
199706,2.20,1.91
199707,2.38,1.94
199708,3.19,2.75
199709,3.02,2.69
199710,3.37,3.01
199711,3.08,2.71
199712,3.73,3.38
199801,3.60,3.33
199802,3.51,3.20
199803,4.17,4.00
199804,3.86,3.64
199805,1.61,1.37
199806,0.57,0.28
199807,2.56,2.12
199808,1.53,1.09
199809,1.00,0.67
199810,2.62,2.26
199811,3.75,3.38
199812,3.47,3.12
199901,3.84,3.57
199902,3.11,2.80
199903,3.16,2.99
199904,4.26,4.04
199905,4.29,4.05
199906,4.60,4.31
199907,4.32,3.88
199908,4.15,3.71
199909,4.10,3.77
199910,2.44,2.08
199911,0.92,0.55
199912,0.85,0.50
200001,0.13,-0.14
200002,0.42,0.11
200003,1.95,1.78
200004,0.82,0.60
200005,-0.43,-0.67
200006,-0.06,-0.35
200007,0.48,0.04
200008,-1.36,-1.80
200009,-2.18,-2.51
200010,-0.27,-0.63
200011,0.08,-0.29
200012,-0.30,-0.65
200101,0.58,0.31
200102,1.73,1.42
200103,1.64,1.47
200104,0.31,0.09
200105,1.58,1.34
200106,1.57,1.28
200107,1.80,1.36
200108,0.98,0.54
200109,1.57,1.24
200110,0.37,0.01
200111,-0.98,-1.35
200112,-1.45,-1.80
200201,-1.19,-1.46
200202,-1.60,-1.91
200203,-2.10,-2.27
200204,-2.12,-2.34
200205,-2.06,-2.30
200206,-2.64,-2.93
200207,-3.37,-3.81
200208,-3.37,-3.81
200209,-3.79,-4.12
200210,-0.69,-1.05
200211,-1.43,-1.80
200212,-1.79,-2.14
200301,-2.29,-2.56
200302,-1.68,-1.99
200303,-1.25,-1.42
200304,-0.44,-0.66
200305,-0.35,-0.59
200306,0.35,0.06
200307,-0.85,-1.29
200308,-0.31,-0.75
200309,-0.30,-0.63
200310,-0.91,-1.27
200311,-1.59,-1.96
200312,-1.41,-1.76
200401,-1.38,-1.65
200402,-1.38,-1.69
200403,-0.33,-0.50
200404,-0.18,-0.40
200405,-1.55,-1.79
200406,-0.04,-0.33
200407,1.57,1.13
200408,1.63,1.19
200409,0.81,0.48
200410,1.00,0.64
200411,1.71,1.34
200412,0.81,0.46
200501,1.92,1.65
200502,2.27,1.96
200503,1.93,1.76
