#  Kansas Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,41.1,1.0
199702,44.7,-1.3
199703,61.9,6.8
199704,60.7,-5.9
199705,74.4,-1.4
199706,84.4,-1.5
199707,90.7,-1.1
199708,86.4,-3.8
199709,82.2,0.3
199710,69.1,-0.9
199711,51.1,-3.4
199712,39.9,-2.8
199801,42.1,2.0
199802,49.2,3.2
199803,48.0,-7.1
199804,64.2,-2.4
199805,81.3,5.5
199806,87.6,1.7
199807,90.6,-1.2
199808,90.3,0.1
199809,88.0,6.1
199810,70.7,0.7
199811,57.7,3.2
199812,46.4,3.7
199901,42.8,2.7
199902,56.3,10.3
199903,54.6,-0.5
199904,65.0,-1.6
199905,75.5,-0.3
199906,81.9,-4.0
199907,92.4,0.6
199908,90.1,-0.1
199909,77.7,-4.2
199910,72.0,2.0
199911,66.2,11.7
199912,48.9,6.2
200001,45.5,5.4
200002,54.8,8.8
200003,57.6,2.5
200004,68.5,1.9
200005,79.5,3.7
200006,84.5,-1.4
200007,91.4,-0.4
200008,97.2,7.0
200009,87.1,5.2
200010,71.0,1.0
200011,47.9,-6.6
200012,34.7,-8.0
200101,41.9,1.8
200102,40.2,-5.8
200103,51.9,-3.2
200104,71.7,5.1
200105,77.5,1.7
200106,85.3,-0.6
200107,95.9,4.1
200108,92.7,2.5
200109,80.9,-1.0
200110,70.5,0.5
200111,62.0,7.5
200112,50.3,7.6
200201,47.3,7.2
200202,48.8,2.8
200203,54.1,-1.0
200204,69.9,3.3
200205,75.2,-0.6
200206,89.7,3.8
200207,93.8,2.0
200208,90.7,0.5
200209,84.0,2.1
200210,60.6,-9.4
200211,54.7,0.2
200212,47.6,4.9
200301,44.3,4.2
200302,43.1,-2.9
200303,56.7,1.6
200304,69.2,2.6
200305,75.5,-0.3
200306,82.2,-3.7
200307,96.0,4.2
200308,93.7,3.5
200309,78.3,-3.6
200310,72.6,2.6
200311,53.4,-1.1
200312,46.5,3.8
200401,42.2,2.1
200402,43.3,-2.7
200403,61.5,6.4
200404,67.9,1.3
200405,80.3,4.5
200406,83.2,-2.7
200407,86.6,-5.2
200408,84.9,-5.3
