#  Kentucky Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,-1
199702,0,0
199703,11,4
199704,0,-8
199705,29,-64
199706,168,-66
199707,351,3
199708,254,-51
199709,120,-32
199710,14,-7
199711,0,0
199712,0,0
199801,8,7
199802,0,0
199803,8,1
199804,3,-5
199805,147,54
199806,257,23
199807,338,-10
199808,324,19
199809,252,100
199810,30,9
199811,0,0
199812,0,0
199901,0,-1
199902,0,0
199903,0,-7
199904,17,9
199905,98,5
199906,260,26
199907,452,104
199908,322,17
199909,138,-14
199910,16,-5
199911,3,3
199912,0,0
200001,0,-1
200002,0,0
200003,15,8
200004,1,-7
200005,131,38
200006,248,14
200007,293,-55
200008,299,-6
200009,117,-35
200010,33,12
200011,0,0
200012,0,0
200101,0,-1
200102,0,0
200103,0,-7
200104,26,18
200105,119,26
200106,192,-42
200107,333,-15
200108,353,48
200109,103,-49
200110,14,-7
200111,1,1
200112,0,0
200201,0,-1
200202,0,0
200203,5,-2
200204,18,10
200205,58,-35
200206,282,48
200207,411,63
200208,377,72
200209,217,65
200210,18,-3
200211,0,0
200212,0,0
200301,0,-1
200302,0,0
200303,11,4
200304,14,6
200305,86,-7
200306,137,-97
200307,314,-34
200308,334,29
200309,100,-52
200310,16,-5
200311,1,1
200312,0,0
200401,0,-1
200402,0,0
200403,13,6
200404,8,0
200405,173,80
200406,222,-12
200407,287,-61
200408,200,-105
200409,148,-4
200410,35,14
200411,1,1
200412,0,0
200501,0,-1
200502,0,0
200503,1,-6
200504,11,3
200505,53,-40
200506,274,40
200507,386,38
200508,402,97
200509,208,56
200510,21,0
200511,0,0
200512,0,0
200601,11,10
200602,0,0
200603,4,-3
200604,29,21
200605,64,-29
200606,199,-35
200607,362,14
200608,382,77
200609,80,-72
200610,8,-13
200611,0,0
200612,0,0
200701,0,-1
200702,0,0
200703,27,20
200704,1,-7
200705,146,53
200706,266,32
200707,298,-50
200708,493,188
200709,223,71
200710,62,41
200711,0,0
200712,0,0
200801,0,-1
200802,0,0
200803,4,-3
200804,7,-1
200805,54,-39
200806,282,48
200807,315,-33
200808,281,-24
200809,202,50
200810,16,-5
200811,0,0
200812,0,0
200901,0,-1
200902,0,0
200903,10,3
200904,8,0
200905,96,3
200906,268,34
200907,214,-134
200908,267,-38
200909,153,1
200910,7,-14
200911,0,0
200912,0,0
201001,0,-1
201002,0,0
201003,7,0
201004,26,18
201005,138,45
201006,362,128
201007,414,66
201008,409,104
201009,175,23
201010,23,2
201011,0,0
201012,0,0
201101,0,-1
201102,0,0
201103,10,3
201104,19,11
201105,86,-7
201106,276,42
201107,453,105
201108,335,30
201109,112,-40
201110,12,-9
201111,0,0
201112,0,0
201201,0,-1
201202,0,0
201203,58,51
201204,13,5
201205,178,85
201206,232,-2
201207,486,138
201208,299,-6
201209,121,-31
201210,11,-10
201211,0,0
201212,0,0
201301,0,-1
201302,0,0
201303,0,-7
201304,5,-3
201305,100,7
201306,243,9
201307,279,-69
201308,276,-29
201309,157,5
201310,19,-2
201311,0,0
201312,0,0
201401,0,-1
201402,0,0
201403,0,-7
201404,12,4
201405,115,22
201406,275,41
201407,240,-108
201408,312,7
201409,135,-17
201410,21,0
201411,0,0
201412,0,0
201501,0,-1
201502,0,0
201503,3,-4
201504,13,5
201505,138,45
201506,277,43
201507,353,5
201508,245,-60
201509,182,30
201510,21,0
201511,3,3
201512,12,12
201601,0,-1
201602,0,0
201603,20,13
201604,12,4
201605,68,-25
201606,300,66
201607,396,48
201608,403,98
201609,230,78
201610,68,47
201611,1,1
201612,0,0
201701,6,5
201702,7,7
201703,10,3
201704,40,32
201705,98,5
201706,212,-22
201707,367,19
201708,253,-52
201709,137,-15
201710,31,10
201711,0,0
201712,0,0
201801,0,-1
201802,3,3
201803,3,-4
201804,0,-8
201805,235,142
201806,318,84
201807,358,10
201808,337,32
201809,249,97
201810,27,6
201811,0,0
201812,0,0
201901,0,-1
201902,0,0
201903,0,-7
201904,14,6
201905,157,64
201906,217,-17
201907,388,40
201908,328,23
201909,300,148
201910,35,14
201911,0,0
201912,0,0
202001,4,3
202002,0,0
202003,18,11
202004,1,-7
202005,60,-33
202006,234,0
202007,427,79
202008,306,1
202009,138,-14
202010,20,-1
202011,0,0
202012,0,0
202101,0,-1
202102,0,0
202103,15,8
202104,4,-4
202105,61,-32
202106,258,24
202107,337,-11
202108,359,54
202109,152,0
202110,62,41
202111,0,0
202112,11,11
202201,0,-1
202202,0,0
202203,13,6
202204,3,-5
202205,142,49
202206,271,37
202207,408,60
202208,320,15
202209,136,-16
202210,11,-10
202211,0,0
202212,0,0
