#  Kentucky Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.17,3.18
199702,2.61,2.62
199703,4.45,4.53
199704,3.59,3.67
199705,3.84,3.90
199706,4.74,4.65
199707,3.47,3.50
199708,3.01,3.02
199709,2.36,2.46
199710,1.73,1.78
199711,1.25,1.31
199712,0.73,0.81
199801,-1.72,-1.71
199802,-1.81,-1.80
199803,-2.19,-2.11
199804,-0.60,-0.52
199805,1.30,1.36
199806,2.95,2.86
199807,2.91,2.94
199808,2.11,2.12
199809,0.81,0.91
199810,-1.63,-1.58
199811,-2.37,-2.31
199812,-2.27,-2.19
199901,-1.24,-1.23
199902,-1.47,-1.46
199903,-1.67,-1.59
199904,-1.88,-1.80
199905,-2.19,-2.13
199906,-1.80,-1.89
199907,-2.77,-2.74
199908,-3.47,-3.46
199909,-4.01,-3.91
199910,-3.75,-3.70
199911,-4.38,-4.32
199912,-4.58,-4.50
200001,-4.28,-4.27
200002,-3.63,-3.62
200003,-3.84,-3.76
200004,-3.21,-3.13
200005,-2.90,-2.84
200006,-2.48,-2.57
200007,-1.98,-1.95
200008,-1.58,-1.57
200009,-1.23,-1.13
200010,-1.87,-1.82
200011,-2.02,-1.96
200012,-1.83,-1.75
200101,-2.18,-2.17
200102,-1.86,-1.85
200103,-2.21,-2.13
200104,-3.05,-2.97
200105,-2.92,-2.86
200106,-2.55,-2.64
200107,-1.47,-1.44
200108,-1.21,-1.20
200109,-1.20,-1.10
200110,1.46,1.51
200111,1.71,1.77
200112,1.77,1.85
200201,1.52,1.53
200202,0.62,0.63
200203,1.48,1.56
200204,1.50,1.58
200205,2.08,2.14
200206,1.67,1.58
200207,0.93,0.96
200208,-1.51,-1.50
200209,0.85,0.95
200210,1.93,1.98
200211,2.07,2.13
200212,2.33,2.41
200301,1.51,1.52
200302,2.48,2.49
200303,1.20,1.28
200304,1.51,1.59
200305,2.18,2.24
200306,2.94,2.85
200307,2.84,2.87
200308,3.15,3.16
200309,4.00,4.10
200310,3.85,3.90
200311,4.32,4.38
200312,3.83,3.91
200401,3.43,3.44
200402,2.72,2.73
200403,2.13,2.21
200404,2.10,2.18
200405,2.95,3.01
200406,2.67,2.58
200407,2.86,2.89
200408,2.98,2.99
200409,3.02,3.12
200410,3.64,3.69
200411,4.18,4.24
200412,4.15,4.23
200501,3.94,3.95
200502,3.08,3.09
200503,2.51,2.59
200504,2.46,2.54
200505,1.71,1.77
200506,0.95,0.86
200507,-1.53,-1.50
200508,-0.57,-0.56
200509,-1.44,-1.34
200510,-2.14,-2.09
200511,-2.57,-2.51
200512,-3.08,-3.00
200601,-2.56,-2.55
200602,-2.78,-2.77
200603,-2.94,-2.86
200604,-2.75,-2.67
200605,-2.39,-2.33
200606,-2.09,-2.18
200607,-1.84,-1.81
200608,-1.35,-1.34
200609,2.50,2.60
200610,3.64,3.69
200611,3.46,3.52
200612,2.84,2.92
200701,2.57,2.58
200702,1.91,1.92
200703,0.74,0.82
200704,0.66,0.74
200705,-2.13,-2.07
200706,-2.45,-2.54
200707,-2.38,-2.35
200708,-3.54,-3.53
200709,-3.98,-3.88
200710,-2.93,-2.88
200711,-2.91,-2.85
200712,-1.81,-1.73
200801,-1.83,-1.82
200802,-1.35,-1.34
200803,1.64,1.72
200804,1.95,2.03
200805,2.08,2.14
200806,1.51,1.42
200807,1.44,1.47
200808,-1.04,-1.03
200809,-2.07,-1.97
200810,-2.24,-2.19
200811,-2.70,-2.64
200812,-2.05,-1.97
200901,-1.62,-1.61
200902,-1.90,-1.89
200903,-2.32,-2.24
200904,-1.82,-1.74
200905,-0.90,-0.84
200906,1.43,1.34
200907,2.48,2.51
200908,2.25,2.26
200909,2.96,3.06
200910,4.67,4.72
200911,3.63,3.69
200912,3.51,3.59
201001,3.04,3.05
201002,2.30,2.31
201003,1.31,1.39
201004,0.60,0.68
201005,1.68,1.74
201006,1.36,1.27
201007,1.12,1.15
201008,0.69,0.70
201009,-1.50,-1.40
201010,-1.97,-1.92
201011,-1.77,-1.71
201012,-1.89,-1.81
201101,-2.22,-2.21
201102,-1.62,-1.61
201103,-1.27,-1.19
201104,3.35,3.43
201105,3.81,3.87
201106,3.85,3.76
201107,3.11,3.14
201108,2.19,2.20
201109,3.00,3.10
201110,3.01,3.06
201111,4.09,4.15
201112,4.09,4.17
201201,3.56,3.57
201202,2.65,2.66
201203,1.80,1.88
201204,0.84,0.92
201205,-1.90,-1.84
201206,-2.66,-2.75
201207,-2.47,-2.44
201208,-2.59,-2.58
201209,-1.34,-1.24
201210,-0.89,-0.84
201211,-1.36,-1.30
201212,-0.77,-0.69
201301,1.28,1.29
201302,0.65,0.66
201303,0.83,0.91
201304,1.08,1.16
201305,0.98,1.04
201306,1.70,1.61
201307,2.51,2.54
201308,2.69,2.70
201309,2.68,2.78
201310,3.05,3.10
201311,3.10,3.16
201312,3.66,3.74
201401,2.82,2.83
201402,2.85,2.86
201403,2.22,2.30
201404,2.79,2.87
201405,2.19,2.25
201406,1.86,1.77
201407,1.53,1.56
201408,2.05,2.06
201409,1.46,1.56
201410,2.54,2.59
201411,2.36,2.42
201412,2.03,2.11
201501,1.24,1.25
201502,1.03,1.04
201503,1.51,1.59
201504,2.86,2.94
201505,1.87,1.93
201506,2.09,2.00
201507,3.85,3.88
201508,3.54,3.55
201509,3.06,3.16
201510,3.37,3.42
201511,3.40,3.46
201512,3.80,3.88
201601,2.81,2.82
201602,2.92,2.93
201603,2.21,2.29
201604,1.71,1.79
201605,2.17,2.23
201606,1.72,1.63
201607,3.02,3.05
201608,3.31,3.32
201609,2.51,2.61
201610,1.42,1.47
201611,-1.88,-1.82
201612,-1.19,-1.11
201701,-1.08,-1.07
201702,-1.75,-1.74
201703,-1.71,-1.63
201704,-1.70,-1.62
201705,-0.97,-0.91
201706,0.90,0.81
201707,0.89,0.92
201708,1.28,1.29
201709,1.71,1.81
201710,2.75,2.80
201711,2.36,2.42
201712,1.95,2.03
201801,1.32,1.33
201802,2.84,2.85
201803,2.74,2.82
201804,2.80,2.88
201805,2.33,2.39
201806,2.74,2.65
201807,2.42,2.45
201808,2.69,2.70
201809,4.16,4.26
201810,4.18,4.23
201811,4.93,4.99
201812,5.06,5.14
201901,4.77,4.78
201902,6.13,6.14
201903,5.20,5.28
201904,4.86,4.94
201905,4.20,4.26
201906,5.35,5.26
201907,5.11,5.14
201908,4.63,4.64
201909,2.72,2.82
201910,3.65,3.70
201911,3.87,3.93
201912,4.25,4.33
202001,3.89,3.90
202002,4.37,4.38
202003,4.44,4.52
202004,4.42,4.50
202005,4.48,4.54
202006,4.45,4.36
202007,4.22,4.25
202008,4.54,4.55
202009,4.48,4.58
202010,5.06,5.11
202011,4.34,4.40
202012,3.89,3.97
202101,3.53,3.54
202102,3.51,3.52
202103,3.68,3.76
202104,2.95,3.03
202105,2.48,2.54
202106,2.56,2.47
202107,3.09,3.12
202108,3.54,3.55
202109,3.70,3.80
202110,4.15,4.20
202111,3.61,3.67
202112,3.26,3.34
202201,3.36,3.37
202202,3.93,3.94
202203,2.93,3.01
202204,2.78,2.86
202205,2.52,2.58
202206,1.68,1.59
202207,2.75,2.78
202208,2.94,2.95
202209,2.22,2.32
202210,1.62,1.67
202211,1.02,1.08
202212,0.80,0.88
