#  Kentucky Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,22.6,-1.6
199702,32.8,6.6
199703,36.9,2.7
199704,37.2,-5.7
199705,46.8,-5.3
199706,61.2,0.4
199707,64.7,-0.1
199708,62.1,-1.2
199709,54.9,-1.5
199710,43.5,-0.7
199711,33.6,-0.6
199712,28.8,1.8
199801,33.2,9.0
199802,34.1,7.9
199803,37.0,2.8
199804,43.2,0.3
199805,56.8,4.7
199806,63.0,2.2
199807,66.5,1.7
199808,63.9,0.6
199809,58.9,2.5
199810,46.0,1.8
199811,36.6,2.4
199812,31.4,4.4
199901,27.7,3.5
199902,30.8,4.6
199903,30.6,-3.6
199904,46.8,3.9
199905,51.4,-0.7
199906,62.5,1.7
199907,68.1,3.3
199908,61.7,-1.6
199909,52.0,-4.4
199910,43.0,-1.2
199911,38.7,4.5
199912,28.5,1.5
200001,24.3,0.1
200002,32.2,6.0
200003,37.4,3.2
200004,41.7,-1.2
200005,55.1,3.0
200006,62.0,1.2
200007,63.7,-1.1
200008,63.9,0.6
200009,56.0,-0.4
200010,45.8,1.6
200011,34.0,-0.2
200012,18.0,-9.0
200101,22.3,-1.9
200102,31.1,4.9
200103,30.9,-3.3
200104,47.4,4.5
200105,54.1,2.0
200106,59.4,-1.4
200107,65.0,0.2
200108,66.2,2.9
200109,54.3,-2.1
200110,42.7,-1.5
200111,37.0,2.8
200112,32.0,5.0
200201,27.6,3.4
200202,27.3,1.1
200203,34.1,-0.1
200204,46.3,3.4
200205,50.0,-2.1
200206,63.0,2.2
200207,67.8,3.0
200208,65.6,2.3
200209,59.5,3.1
200210,48.9,4.7
200211,34.5,0.3
200212,28.7,1.7
200301,19.8,-4.4
200302,26.2,0.0
200303,36.7,2.5
200304,45.5,2.6
200305,54.4,2.3
200306,57.7,-3.1
200307,64.9,0.1
200308,65.6,2.3
200309,55.0,-1.4
200310,44.4,0.2
200311,39.8,5.6
200312,28.2,1.2
200401,22.6,-1.6
200402,26.5,0.3
200403,38.1,3.9
200404,44.0,1.1
200405,58.3,6.2
200406,61.6,0.8
200407,64.2,-0.6
200408,60.4,-2.9
200409,57.2,0.8
200410,49.2,5.0
200411,41.2,7.0
200412,26.5,-0.5
200501,31.1,6.9
200502,31.4,5.2
