#  Louisiana Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,462,-13
199702,313,-31
199703,122,-93
199704,112,60
199705,3,1
199706,0,0
199707,0,0
199708,0,0
199709,0,0
199710,49,-2
199711,291,58
199712,469,55
199801,375,-100
199802,331,-13
199803,240,25
199804,71,19
199805,0,-2
199806,0,0
199807,0,0
199808,0,0
199809,0,0
199810,24,-27
199811,144,-89
199812,325,-89
199901,351,-124
199902,223,-121
199903,217,2
199904,12,-40
199905,1,-1
199906,0,0
199907,0,0
199908,0,0
199909,0,0
199910,53,2
199911,186,-47
199912,415,1
200001,386,-89
200002,222,-122
200003,124,-91
200004,64,12
200005,0,-2
200006,0,0
200007,0,0
200008,0,0
200009,0,0
200010,47,-4
200011,277,44
200012,605,191
200101,575,100
200102,239,-105
200103,283,68
200104,17,-35
200105,0,-2
200106,0,0
200107,0,0
200108,0,0
200109,1,1
200110,85,34
200111,134,-99
200112,318,-96
200201,419,-56
200202,420,76
200203,221,6
200204,18,-34
200205,1,-1
200206,0,0
200207,0,0
200208,0,0
200209,0,0
200210,28,-23
200211,265,32
200212,421,7
200301,580,105
200302,371,27
200303,205,-10
200304,43,-9
200305,0,-2
200306,0,0
200307,0,0
200308,0,0
200309,0,0
200310,43,-8
200311,140,-93
200312,467,53
200401,454,-21
200402,418,74
200403,129,-86
200404,53,1
200405,0,-2
200406,0,0
200407,0,0
200408,0,0
200409,0,0
200410,6,-45
200411,135,-98
200412,452,38
200501,349,-126
200502,268,-76
200503,234,19
200504,58,6
200505,2,0
200506,0,0
200507,0,0
200508,0,0
200509,0,0
200510,48,-3
200511,156,-77
200512,461,47
200601,319,-156
200602,364,20
200603,149,-66
200604,12,-40
200605,0,-2
200606,0,0
200607,0,0
200608,0,0
200609,0,0
200610,40,-11
200611,222,-11
200612,380,-34
200701,460,-15
200702,388,44
200703,134,-81
200704,78,26
200705,0,-2
200706,0,0
200707,0,0
200708,0,0
200709,0,0
200710,30,-21
200711,182,-51
200712,285,-129
200801,496,21
200802,273,-71
200803,193,-22
200804,43,-9
200805,1,-1
200806,0,0
200807,0,0
200808,0,0
200809,1,1
200810,65,14
200811,243,10
200812,354,-60
200901,432,-43
200902,269,-75
200903,169,-46
200904,56,4
200905,1,-1
200906,0,0
200907,0,0
200908,0,0
200909,0,0
200910,51,0
200911,216,-17
200912,481,67
201001,586,111
201002,540,196
201003,307,92
201004,34,-18
201005,0,-2
201006,0,0
201007,0,0
201008,0,0
201009,0,0
201010,39,-12
201011,194,-39
201012,509,95
201101,543,68
201102,346,2
201103,144,-71
201104,14,-38
201105,1,-1
201106,0,0
201107,0,0
201108,0,0
201109,0,0
201110,72,21
201111,180,-53
201112,385,-29
201201,324,-151
201202,249,-95
201203,69,-146
201204,19,-33
201205,0,-2
201206,0,0
201207,0,0
201208,0,0
201209,0,0
201210,65,14
201211,244,11
201212,306,-108
201301,386,-89
201302,295,-49
201303,302,87
201304,67,15
201305,2,0
201306,0,0
201307,0,0
201308,0,0
201309,0,0
201310,34,-17
201311,283,50
201312,438,24
201401,652,177
201402,382,38
201403,302,87
201404,55,3
201405,2,0
201406,0,0
201407,0,0
201408,0,0
201409,0,0
201410,32,-19
201411,339,106
201412,324,-90
201501,526,51
201502,457,113
201503,163,-52
201504,16,-36
201505,1,-1
201506,0,0
201507,0,0
201508,0,0
201509,0,0
201510,26,-25
201511,123,-110
201512,204,-210
201601,487,12
201602,286,-58
201603,120,-95
201604,29,-23
201605,1,-1
201606,0,0
201607,0,0
201608,0,0
201609,0,0
201610,16,-35
201611,130,-103
201612,298,-116
201701,289,-186
201702,156,-188
201703,110,-105
201704,20,-32
201705,3,1
201706,0,0
201707,0,0
201708,0,0
201709,0,0
201710,30,-21
201711,148,-85
201712,410,-4
201801,615,140
201802,157,-187
201803,151,-64
201804,97,45
201805,0,-2
201806,0,0
201807,0,0
201808,0,0
201809,0,0
201810,18,-33
201811,284,51
201812,359,-55
201901,457,-18
201902,208,-136
201903,219,4
201904,58,6
201905,0,-2
201906,0,0
201907,0,0
201908,0,0
201909,0,0
201910,29,-22
201911,293,60
201912,320,-94
202001,355,-120
202002,290,-54
202003,65,-150
202004,40,-12
202005,2,0
202006,0,0
202007,0,0
202008,0,0
202009,0,0
202010,36,-15
202011,132,-101
202012,416,2
202101,440,-35
202102,445,101
202103,142,-73
202104,65,13
202105,2,0
202106,0,0
202107,0,0
202108,0,0
202109,0,0
202110,15,-36
202111,250,17
202112,151,-263
202201,508,33
202202,352,8
202203,205,-10
202204,34,-18
202205,0,-2
202206,0,0
202207,0,0
202208,0,0
202209,0,0
202210,60,9
202211,206,-27
202212,321,-93
