#  Louisiana Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,5.47,0.33
199702,8.65,4.03
199703,4.64,-0.32
199704,7.79,2.95
199705,6.27,1.11
199706,5.45,0.89
199707,4.57,-1.07
199708,3.60,-1.04
199709,2.54,-1.58
199710,4.20,0.79
199711,5.37,1.03
199712,5.76,0.29
199801,12.21,7.07
199802,6.17,1.55
199803,5.16,0.20
199804,3.74,-1.10
199805,0.45,-4.71
199806,2.60,-1.96
199807,3.57,-2.07
199808,4.65,0.01
199809,10.90,6.78
199810,2.84,-0.57
199811,5.18,0.84
199812,5.51,0.04
199901,8.55,3.41
199902,1.38,-3.24
199903,5.49,0.53
199904,2.63,-2.21
199905,4.38,-0.78
199906,6.83,2.27
199907,4.39,-1.25
199908,1.62,-3.02
199909,3.50,-0.62
199910,3.56,0.15
199911,1.04,-3.30
199912,4.47,-1.00
200001,2.10,-3.04
200002,1.03,-3.59
200003,5.12,0.16
200004,4.69,-0.15
200005,4.38,-0.78
200006,5.07,0.51
200007,2.78,-2.86
200008,2.08,-2.56
200009,3.69,-0.43
200010,1.32,-2.09
200011,11.52,7.18
200012,4.02,-1.45
200101,5.58,0.44
200102,3.57,-1.05
200103,9.32,4.36
200104,1.87,-2.97
200105,1.94,-3.22
200106,12.50,7.94
200107,4.34,-1.30
200108,6.32,1.68
200109,6.34,2.22
200110,5.04,1.63
200111,5.94,1.60
200112,5.55,0.08
200201,4.01,-1.13
200202,2.95,-1.67
200203,5.58,0.62
200204,3.72,-1.12
200205,2.41,-2.75
200206,4.83,0.27
200207,5.40,-0.24
200208,4.89,0.25
200209,6.18,2.06
200210,10.85,7.44
200211,5.48,1.14
200212,7.97,2.50
200301,1.11,-4.03
200302,7.18,2.56
200303,3.33,-1.63
200304,3.44,-1.40
200305,2.37,-2.79
200306,8.43,3.87
200307,5.88,0.24
200308,4.19,-0.45
200309,4.82,0.70
200310,2.38,-1.03
200311,5.48,1.14
200312,3.34,-2.13
200401,5.12,-0.02
200402,8.78,4.16
200403,2.48,-2.48
200404,4.45,-0.39
200405,10.02,4.86
200406,11.61,7.05
200407,4.33,-1.31
200408,3.40,-1.24
200409,1.75,-2.37
200410,7.24,3.83
200411,9.23,4.89
200412,4.07,-1.40
200501,3.59,-1.55
200502,6.73,2.11
200503,3.35,-1.61
200504,3.33,-1.51
200505,3.28,-1.88
200506,2.97,-1.59
200507,5.59,-0.05
200508,4.30,-0.34
