#  Louisiana Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.03,1.13
199702,2.05,2.14
199703,1.54,1.59
199704,2.33,2.41
199705,2.48,2.54
199706,2.58,2.70
199707,2.10,2.26
199708,1.60,1.70
199709,0.80,0.97
199710,0.90,1.02
199711,1.09,1.26
199712,1.16,1.30
199801,2.92,3.02
199802,3.01,3.10
199803,2.79,2.84
199804,2.36,2.44
199805,0.61,0.67
199806,-2.58,-2.46
199807,-3.40,-3.24
199808,-3.43,-3.33
199809,-1.40,-1.23
199810,-1.30,-1.18
199811,-0.98,-0.81
199812,-0.87,-0.73
199901,2.06,2.16
199902,0.68,0.77
199903,0.77,0.82
199904,-1.47,-1.39
199905,-1.64,-1.58
199906,-0.90,-0.78
199907,-1.06,-0.90
199908,-2.08,-1.98
199909,-2.19,-2.02
199910,-1.99,-1.87
199911,-2.85,-2.68
199912,-3.09,-2.95
200001,-3.78,-3.68
200002,-4.71,-4.62
200003,-4.46,-4.41
200004,-3.92,-3.84
200005,-3.91,-3.85
200006,-3.38,-3.26
200007,-3.94,-3.78
200008,-4.70,-4.60
200009,-4.60,-4.43
200010,-4.80,-4.68
200011,-2.56,-2.39
200012,-2.54,-2.40
200101,-2.08,-1.98
200102,-2.34,-2.25
200103,-0.71,-0.66
200104,-1.47,-1.39
200105,-2.43,-2.37
200106,1.92,2.04
200107,1.51,1.67
200108,1.98,2.08
200109,2.65,2.82
200110,3.11,3.23
200111,3.22,3.39
200112,2.89,3.03
200201,2.25,2.35
200202,1.53,1.62
200203,1.57,1.62
200204,1.05,1.13
200205,-1.52,-1.46
200206,-1.37,-1.25
200207,-1.37,-1.21
200208,-1.22,-1.12
200209,-0.61,-0.44
200210,2.45,2.57
200211,2.68,2.85
200212,3.19,3.33
200301,1.83,1.93
200302,2.39,2.48
200303,1.66,1.71
200304,1.18,1.26
200305,-1.73,-1.67
200306,-0.70,-0.58
200307,1.03,1.19
200308,0.90,1.00
200309,1.10,1.27
200310,0.76,0.88
200311,0.79,0.96
200312,-0.62,-0.48
200401,-0.56,-0.46
200402,1.26,1.35
200403,-0.91,-0.86
200404,-0.84,-0.76
200405,1.34,1.40
200406,3.18,3.30
200407,2.68,2.84
200408,2.22,2.32
200409,1.17,1.34
200410,1.78,1.90
200411,2.79,2.96
200412,2.18,2.32
200501,1.44,1.54
200502,1.80,1.89
200503,1.17,1.22
200504,0.75,0.83
200505,-1.25,-1.19
200506,-1.62,-1.50
200507,-1.64,-1.48
200508,-1.83,-1.73
200509,-1.46,-1.29
200510,-2.24,-2.12
200511,-2.70,-2.53
