#  Louisiana Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.44,0.57
199702,2.05,2.27
199703,1.06,1.25
199704,2.33,2.43
199705,2.48,2.64
199706,2.58,2.75
199707,1.77,1.91
199708,0.85,0.93
199709,-0.75,-0.57
199710,-0.38,-0.29
199711,0.14,0.26
199712,0.40,0.56
199801,2.92,3.05
199802,3.01,3.23
199803,2.79,2.98
199804,2.11,2.21
199805,-1.56,-1.40
199806,-2.58,-2.41
199807,-3.40,-3.26
199808,-3.43,-3.35
199809,0.66,0.84
199810,0.63,0.72
199811,1.05,1.17
199812,1.04,1.20
199901,2.06,2.19
199902,-0.99,-0.77
199903,-0.61,-0.42
199904,-1.47,-1.37
199905,-1.64,-1.48
199906,0.04,0.21
199907,-0.46,-0.32
199908,-2.08,-2.00
199909,-2.19,-2.01
199910,-1.96,-1.87
199911,-2.85,-2.73
199912,-3.09,-2.93
200001,-3.78,-3.65
200002,-4.71,-4.49
200003,-4.46,-4.27
200004,-3.78,-3.68
200005,-3.91,-3.75
200006,-3.18,-3.01
200007,-3.94,-3.80
200008,-4.70,-4.62
200009,-4.60,-4.42
200010,-4.80,-4.71
200011,-0.53,-0.41
200012,-0.82,-0.66
200101,-0.18,-0.05
200102,-0.97,-0.75
200103,1.93,2.12
200104,0.26,0.36
200105,-1.58,-1.42
200106,1.92,2.09
200107,1.14,1.28
200108,1.98,2.06
200109,2.65,2.83
200110,3.11,3.20
200111,3.22,3.34
200112,2.82,2.98
200201,1.71,1.84
200202,0.37,0.59
200203,0.64,0.83
200204,-0.28,-0.18
200205,-1.52,-1.36
200206,-1.30,-1.13
200207,-1.37,-1.23
200208,-1.12,-1.04
200209,0.39,0.57
200210,2.45,2.54
200211,2.68,2.80
200212,3.19,3.35
200301,0.51,0.64
200302,1.94,2.16
200303,0.62,0.81
200304,-0.20,-0.10
200305,-1.73,-1.57
200306,0.64,0.81
200307,1.03,1.17
200308,0.72,0.80
200309,1.10,1.28
200310,0.19,0.28
200311,0.37,0.49
200312,-0.62,-0.46
200401,-0.56,-0.43
200402,1.26,1.48
200403,-0.91,-0.72
200404,-0.84,-0.74
200405,1.34,1.50
200406,3.18,3.35
200407,2.41,2.55
200408,1.67,1.75
200409,-0.39,-0.21
200410,1.07,1.16
200411,2.79,2.91
200412,1.71,1.87
200501,0.28,0.41
200502,1.23,1.45
200503,0.06,0.25
200504,-0.65,-0.55
200505,-1.25,-1.09
200506,-1.62,-1.45
200507,-1.64,-1.50
200508,-1.83,-1.75
200509,-1.14,-0.96
200510,-2.24,-2.15
200511,-2.70,-2.58
200512,-3.13,-2.97
200601,-3.32,-3.19
200602,-2.46,-2.24
200603,-3.29,-3.10
200604,-3.25,-3.15
200605,-3.68,-3.52
200606,-4.05,-3.88
200607,-3.85,-3.71
200608,-3.77,-3.69
200609,-3.79,-3.61
200610,0.38,0.47
200611,-0.21,-0.09
200612,1.50,1.66
200701,2.24,2.37
200702,0.06,0.28
200703,-1.90,-1.71
200704,-1.75,-1.65
200705,-1.77,-1.61
200706,-1.16,-0.99
200707,1.23,1.37
200708,-0.02,0.06
200709,0.49,0.67
200710,0.50,0.59
200711,-0.40,-0.28
200712,-0.89,-0.73
200801,-0.83,-0.70
200802,-0.65,-0.43
200803,-1.04,-0.85
200804,-1.28,-1.18
200805,-0.59,-0.43
200806,-1.15,-0.98
200807,-2.07,-1.93
200808,0.03,0.11
200809,2.26,2.44
200810,1.41,1.50
200811,1.04,1.16
200812,0.73,0.89
200901,-1.01,-0.88
200902,-1.77,-1.55
200903,-0.24,-0.05
200904,-0.07,0.03
200905,-0.34,-0.18
200906,-1.78,-1.61
200907,-1.34,-1.20
200908,-1.85,-1.77
200909,-0.53,-0.35
200910,3.05,3.14
200911,1.40,1.52
200912,3.53,3.69
201001,2.28,2.41
201002,2.68,2.90
201003,0.97,1.16
201004,-1.11,-1.01
201005,-2.24,-2.08
201006,-2.56,-2.39
201007,-2.62,-2.48
201008,-2.01,-1.93
201009,-3.20,-3.02
201010,-3.57,-3.48
201011,-3.07,-2.95
201012,-3.84,-3.68
201101,-3.52,-3.39
201102,-3.96,-3.74
201103,-4.01,-3.82
201104,-4.29,-4.19
