#  Louisiana Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,40.2,1.1
199702,45.0,3.2
199703,53.2,5.2
199704,51.6,-3.8
199705,62.0,-0.8
199706,69.2,-0.2
199707,72.8,1.0
199708,71.1,-0.1
199709,66.7,0.3
199710,55.4,0.2
199711,44.8,-1.1
199712,38.6,-1.9
199801,44.1,5.0
199802,42.8,1.0
199803,47.1,-0.9
199804,53.0,-2.4
199805,66.0,3.2
199806,73.4,4.0
199807,74.9,3.1
199808,73.2,2.0
199809,71.7,5.3
199810,59.0,3.8
199811,52.1,6.2
199812,44.6,4.1
199901,42.8,3.7
199902,46.5,4.7
199903,47.2,-0.8
199904,60.0,4.6
199905,62.4,-0.4
199906,70.6,1.2
199907,72.8,1.0
199908,73.2,2.0
199909,63.4,-3.0
199910,53.6,-1.6
199911,45.6,-0.3
199912,38.6,-1.9
200001,41.8,2.7
200002,45.4,3.6
200003,52.1,4.1
200004,53.3,-2.1
200005,66.8,4.0
200006,70.1,0.7
200007,72.1,0.3
200008,72.2,1.0
200009,65.8,-0.6
200010,54.4,-0.8
200011,45.5,-0.4
200012,33.8,-6.7
200101,35.7,-3.4
200102,46.0,4.2
200103,45.1,-2.9
200104,59.6,4.2
200105,63.1,0.3
200106,69.0,-0.4
200107,72.9,1.1
200108,72.5,1.3
200109,65.8,-0.6
200110,51.8,-3.4
200111,49.3,3.4
200112,43.6,3.1
200201,40.7,1.6
200202,37.7,-4.1
200203,46.9,-1.1
200204,59.8,4.4
200205,63.2,0.4
200206,69.2,-0.2
200207,72.6,0.8
200208,72.0,0.8
200209,69.6,3.2
200210,61.6,6.4
200211,45.0,-0.9
200212,40.4,-0.1
200301,34.7,-4.4
200302,41.6,-0.2
200303,48.2,0.2
200304,55.2,-0.2
200305,66.6,3.8
200306,70.6,1.2
200307,72.2,0.4
200308,72.9,1.7
200309,65.7,-0.7
200310,55.8,0.6
200311,50.2,4.3
200312,37.3,-3.2
200401,39.8,0.7
200402,40.0,-1.8
200403,52.2,4.2
200404,54.7,-0.7
200405,64.4,1.6
200406,70.7,1.3
200407,72.0,0.2
200408,69.1,-2.1
200409,66.9,0.5
200410,64.8,9.6
200411,52.9,7.0
200412,38.3,-2.2
200501,44.7,5.6
200502,47.1,5.3
200503,47.1,-0.9
200504,53.8,-1.6
200505,60.8,-2.0
200506,69.7,0.3
200507,73.0,1.2
200508,72.7,1.5
200509,69.9,3.5
200510,53.9,-1.3
200511,49.0,3.1
200512,37.4,-3.1
200601,43.8,4.7
200602,39.8,-2.0
200603,50.9,2.9
200604,59.7,4.3
200605,63.2,0.4
200606,68.7,-0.7
200607,72.5,0.7
200608,73.4,2.2
200609,64.4,-2.0
200610,56.3,1.1
200611,45.7,-0.2
200612,41.8,1.3
200701,41.0,1.9
200702,39.5,-2.3
200703,51.4,3.4
200704,52.9,-2.5
200705,63.6,0.8
200706,70.4,1.0
200707,71.9,0.1
200708,73.8,2.6
200709,68.9,2.5
200710,57.5,2.3
200711,48.7,2.8
200712,44.6,4.1
200801,38.4,-0.7
200802,43.0,1.2
200803,48.1,0.1
200804,55.4,0.0
200805,63.8,1.0
200806,71.3,1.9
200807,72.2,0.4
200808,72.2,1.0
200809,66.2,-0.2
200810,53.5,-1.7
200811,44.6,-1.3
200812,41.6,1.1
200901,39.0,-0.1
200902,44.0,2.2
200903,49.6,1.6
200904,54.4,-1.0
200905,65.1,2.3
200906,70.9,1.5
200907,72.7,0.9
200908,71.5,0.3
200909,68.9,2.5
200910,57.1,1.9
200911,47.2,1.3
200912,39.5,-1.0
201001,35.2,-3.9
201002,35.8,-6.0
201003,43.4,-4.6
201004,55.8,0.4
201005,66.7,3.9
201006,74.0,4.6
201007,74.6,2.8
201008,75.5,4.3
201009,68.4,2.0
201010,53.6,-1.6
201011,47.6,1.7
201012,36.6,-3.9
201101,36.7,-2.4
201102,41.4,-0.4
201103,50.4,2.4
201104,58.9,3.5
201105,62.6,-0.2
201106,72.7,3.3
201107,74.6,2.8
201108,75.1,3.9
201109,64.4,-2.0
201110,51.2,-4.0
201111,48.1,2.2
201112,41.5,1.0
201201,43.9,4.8
201202,47.6,5.8
201203,57.3,9.3
201204,58.6,3.2
201205,65.6,2.8
201206,70.1,0.7
201207,73.2,1.4
201208,72.8,1.6
201209,67.2,0.8
201210,53.8,-1.4
201211,43.8,-2.1
201212,44.3,3.8
201301,43.5,4.4
201302,44.2,2.4
201303,43.0,-5.0
201304,53.8,-1.6
201305,61.7,-1.1
201306,71.6,2.2
201307,71.0,-0.8
201308,72.0,0.8
201309,68.9,2.5
201310,58.3,3.1
201311,44.5,-1.4
201312,39.9,-0.6
201401,31.0,-8.1
201402,40.4,-1.4
201403,43.6,-4.4
201404,54.8,-0.6
201405,61.4,-1.4
201406,71.3,1.9
201407,70.6,-1.2
201408,72.1,0.9
201409,68.7,2.3
201410,57.0,1.8
201411,41.7,-4.2
201412,44.4,3.9
201501,36.5,-2.6
201502,36.7,-5.1
201503,50.5,2.5
201504,60.9,5.5
201505,65.5,2.7
201506,71.5,2.1
201507,74.6,2.8
201508,71.7,0.5
201509,67.7,1.3
201510,57.9,2.7
201511,53.5,7.6
201512,49.2,8.7
201601,38.5,-0.6
201602,43.4,1.6
201603,53.7,5.7
201604,58.5,3.1
201605,63.7,0.9
201606,72.1,2.7
201607,74.4,2.6
201608,74.2,3.0
201609,70.5,4.1
201610,58.6,3.4
201611,50.3,4.4
201612,45.8,5.3
201701,47.5,8.4
201702,51.2,9.4
201703,53.9,5.9
201704,58.4,3.0
201705,61.8,-1.0
201706,70.6,1.2
201707,73.5,1.7
201708,73.4,2.2
201709,66.5,0.1
201710,57.3,2.1
201711,50.4,4.5
201712,41.2,0.7
201801,33.5,-5.6
201802,51.6,9.8
201803,51.2,3.2
201804,50.8,-4.6
201805,66.6,3.8
201806,72.7,3.3
201807,73.8,2.0
201808,72.1,0.9
201809,72.1,5.7
201810,61.2,6.0
201811,45.2,-0.7
201812,43.8,3.3
201901,39.9,0.8
201902,48.8,7.0
201903,47.5,-0.5
201904,54.8,-0.6
201905,67.0,4.2
201906,70.6,1.2
201907,73.0,1.2
201908,74.4,3.2
201909,71.3,4.9
201910,58.6,3.4
201911,42.4,-3.5
201912,43.5,3.0
202001,44.6,5.5
202002,44.4,2.6
202003,58.2,10.2
202004,56.1,0.7
202005,63.2,0.4
202006,70.5,1.1
202007,74.6,2.8
202008,72.3,1.1
202009,69.1,2.7
202010,57.4,2.2
202011,50.3,4.4
202012,39.9,-0.6
202101,41.2,2.1
202102,38.4,-3.4
202103,51.5,3.5
202104,54.4,-1.0
202105,63.8,1.0
202106,72.0,2.6
202107,73.2,1.4
202108,73.5,2.3
202109,67.4,1.0
202110,61.2,6.0
202111,44.2,-1.7
202112,53.0,12.5
202201,35.7,-3.4
202202,39.3,-2.5
202203,46.2,-1.8
202204,56.3,0.9
202205,66.8,4.0
202206,72.5,3.1
202207,74.5,2.7
202208,73.6,2.4
202209,66.1,-0.3
202210,52.3,-2.9
202211,47.7,1.8
202212,44.8,4.3
