#  Maine Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,0
199706,18,5
199707,101,13
199708,67,4
199709,0,-2
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,5,5
199806,5,-8
199807,104,16
199808,98,35
199809,6,4
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,3,3
199906,65,52
199907,154,66
199908,79,16
199909,36,34
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,0,0
200006,12,-1
200007,49,-39
200008,60,-3
200009,0,-2
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,0,0
200106,51,38
200107,66,-22
200108,139,76
200109,8,6
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,0,0
200206,6,-7
200207,97,9
200208,134,71
200209,16,14
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,0,0
200306,20,7
200307,105,17
200308,110,47
200309,11,9
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,0,0
200406,2,-11
200407,67,-21
200408,85,22
200409,5,3
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,0
200506,36,23
200507,109,21
200508,107,44
200509,16,14
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,0,0
200606,35,22
200607,173,85
200608,49,-14
200609,5,3
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,0,0
200706,19,6
200707,77,-11
200708,76,13
200709,8,6
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,0
200806,20,7
200807,144,56
200808,54,-9
200809,2,0
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,0,0
200906,5,-8
200907,43,-45
200908,113,50
200909,0,-2
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,3,3
201006,18,5
201007,173,85
201008,98,35
201009,13,11
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,0,0
201106,12,-1
201107,150,62
201108,85,22
201109,15,13
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,0,0
201206,11,-2
201207,143,55
201208,137,74
201209,0,-2
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,0,0
201306,23,10
201307,161,73
201308,73,10
201309,5,3
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,0,0
201406,22,9
201407,130,42
201408,76,13
201409,6,4
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,4,4
201506,0,-13
201507,79,-9
201508,130,67
201509,40,38
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,0,0
201606,14,1
201607,133,45
201608,129,66
201609,17,15
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,0,0
201706,21,8
201707,88,0
201708,70,7
201709,36,34
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,0,0
201806,9,-4
201807,156,68
201808,159,96
201809,10,8
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,0,0
201906,10,-3
201907,159,71
201908,86,23
201909,0,-2
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,0,0
202006,34,21
202007,160,72
202008,111,48
202009,7,5
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,0,0
202106,76,63
202107,62,-26
202108,149,86
202109,18,16
202110,0,0
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,2,2
202206,12,-1
202207,162,74
202208,153,90
202209,7,5
202210,0,0
202211,0,0
202212,0,0
