#  Maine Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.24,3.35
199702,2.80,2.87
199703,2.56,2.51
199704,2.14,2.07
199705,2.41,2.36
199706,1.97,1.89
199707,1.63,1.57
199708,1.92,1.81
199709,1.51,1.41
199710,-1.04,-1.07
199711,-1.09,-0.94
199712,-1.36,-1.14
199801,1.02,1.13
199802,1.32,1.39
199803,1.60,1.55
199804,1.11,1.04
199805,0.56,0.51
199806,1.96,1.88
199807,1.91,1.85
199808,1.38,1.27
199809,0.76,0.66
199810,1.08,1.05
199811,-0.86,-0.71
199812,-1.51,-1.29
199901,1.04,1.15
199902,0.62,0.69
199903,1.68,1.63
199904,-1.38,-1.45
199905,-1.72,-1.77
199906,-2.07,-2.15
199907,-2.41,-2.47
199908,-2.56,-2.67
199909,1.91,1.81
199910,2.34,2.31
199911,1.71,1.86
199912,1.25,1.47
200001,1.32,1.43
200002,1.35,1.42
200003,1.38,1.33
200004,2.40,2.33
200005,2.70,2.65
200006,2.00,1.92
200007,2.11,2.05
200008,1.50,1.39
200009,0.66,0.56
200010,-1.31,-1.34
200011,-1.87,-1.72
200012,-1.36,-1.14
200101,-2.08,-1.97
200102,-1.93,-1.86
200103,-1.47,-1.52
200104,-2.48,-2.55
200105,-3.01,-3.06
200106,-3.02,-3.10
200107,-2.73,-2.79
200108,-3.62,-3.73
200109,-3.64,-3.74
200110,-4.37,-4.40
200111,-5.39,-5.24
200112,-5.78,-5.56
200201,-5.43,-5.32
200202,-4.63,-4.56
200203,-3.99,-4.04
200204,-3.13,-3.20
200205,-2.73,-2.78
200206,-2.09,-2.17
200207,-1.69,-1.75
200208,-2.77,-2.88
200209,-2.66,-2.76
200210,-2.72,-2.75
200211,-2.46,-2.31
200212,-2.45,-2.23
200301,-3.06,-2.95
200302,-2.83,-2.76
200303,-2.37,-2.42
200304,-2.67,-2.74
200305,-2.33,-2.38
200306,-2.32,-2.40
200307,-2.22,-2.28
200308,-2.16,-2.27
200309,-1.95,-2.05
200310,1.70,1.67
200311,1.61,1.76
200312,2.59,2.81
200401,1.30,1.41
200402,-1.64,-1.57
200403,-2.27,-2.32
200404,-2.08,-2.15
200405,-1.79,-1.84
200406,-1.87,-1.95
200407,-1.14,-1.20
200408,1.83,1.72
200409,1.43,1.33
200410,0.95,0.92
200411,0.94,1.09
200412,1.14,1.36
200501,0.64,0.75
200502,-0.53,-0.46
200503,0.55,0.50
200504,2.32,2.25
200505,3.27,3.22
200506,2.68,2.60
200507,2.42,2.36
200508,2.47,2.36
200509,2.52,2.42
200510,5.40,5.37
200511,5.75,5.90
200512,5.86,6.08
200601,5.77,5.88
200602,5.01,5.08
200603,3.49,3.44
200604,2.38,2.31
200605,3.03,2.98
200606,4.33,4.25
200607,4.65,4.59
200608,4.52,4.41
200609,3.93,3.83
200610,5.43,5.40
200611,5.07,5.22
200612,4.23,4.45
200701,3.54,3.65
200702,2.77,2.84
200703,2.97,2.92
200704,4.34,4.27
200705,3.76,3.71
200706,3.04,2.96
200707,2.67,2.61
200708,2.64,2.53
200709,1.67,1.57
200710,1.62,1.59
200711,2.77,2.92
200712,2.74,2.96
200801,2.34,2.45
200802,3.45,3.52
200803,3.82,3.77
200804,3.68,3.61
200805,2.58,2.53
200806,3.28,3.20
200807,3.50,3.44
200808,4.14,4.03
200809,5.00,4.90
200810,4.89,4.86
200811,4.90,5.05
200812,5.11,5.33
200901,4.30,4.41
200902,3.77,3.84
200903,3.01,2.96
200904,2.79,2.72
200905,2.74,2.69
200906,4.00,3.92
200907,5.29,5.23
