#  Maine Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.24,3.37
199702,2.61,2.74
199703,2.38,2.36
199704,1.70,1.69
199705,2.41,2.44
199706,1.64,1.66
199707,1.08,1.08
199708,1.87,1.91
199709,1.11,1.15
199710,-1.04,-1.03
199711,-1.09,-0.87
199712,-1.36,-1.04
199801,1.02,1.15
199802,1.32,1.45
199803,1.60,1.58
199804,0.54,0.53
199805,-0.72,-0.69
199806,1.96,1.98
199807,1.91,1.91
199808,0.83,0.87
199809,-0.49,-0.45
199810,0.38,0.39
199811,-0.86,-0.64
199812,-1.51,-1.19
199901,1.04,1.17
199902,-0.16,-0.03
199903,1.68,1.66
199904,-1.38,-1.39
199905,-1.72,-1.69
199906,-2.07,-2.05
199907,-2.41,-2.41
199908,-2.56,-2.52
199909,1.91,1.95
199910,2.34,2.35
199911,1.13,1.35
199912,0.25,0.57
200001,0.57,0.70
200002,0.76,0.89
200003,0.93,0.91
200004,2.40,2.39
200005,2.70,2.73
200006,1.40,1.42
200007,1.85,1.85
200008,0.70,0.74
200009,-0.96,-0.92
200010,-1.31,-1.30
200011,-1.87,-1.65
200012,-0.84,-0.52
200101,-2.08,-1.95
200102,-1.93,-1.80
200103,-1.03,-1.05
200104,-2.48,-2.49
200105,-3.01,-2.98
200106,-3.02,-3.00
200107,-2.70,-2.70
200108,-3.62,-3.58
200109,-3.64,-3.60
200110,-4.37,-4.36
200111,-5.39,-5.17
200112,-5.78,-5.46
200201,-5.43,-5.30
200202,-4.31,-4.18
200203,-3.43,-3.45
200204,-2.04,-2.05
200205,-1.53,-1.50
200206,-0.52,-0.50
200207,0.03,0.03
200208,-2.20,-2.16
200209,-2.20,-2.16
200210,-2.54,-2.53
200211,-2.25,-2.03
200212,-2.45,-2.13
200301,-3.06,-2.93
200302,-2.83,-2.70
200303,-2.11,-2.13
200304,-2.67,-2.68
200305,-2.17,-2.14
200306,-2.32,-2.30
200307,-2.22,-2.22
200308,-2.16,-2.12
200309,-1.90,-1.86
200310,1.70,1.71
200311,1.61,1.83
200312,2.59,2.91
200401,-0.06,0.07
200402,-1.64,-1.51
200403,-2.27,-2.29
200404,-2.07,-2.08
200405,-1.61,-1.58
200406,-1.87,-1.85
200407,-0.31,-0.31
200408,1.83,1.87
200409,1.06,1.10
200410,0.05,0.06
200411,0.13,0.35
200412,0.69,1.01
200501,-0.32,-0.19
200502,-0.53,-0.40
200503,0.55,0.53
200504,2.32,2.31
200505,3.27,3.30
200506,2.30,2.32
200507,2.01,2.01
200508,2.35,2.39
200509,2.52,2.56
200510,5.40,5.41
200511,5.75,5.97
200512,5.86,6.18
200601,5.77,5.90
200602,4.78,4.91
200603,2.10,2.08
200604,0.17,0.16
200605,1.79,1.82
200606,4.33,4.35
200607,4.65,4.65
200608,4.52,4.56
200609,3.73,3.77
200610,5.43,5.44
200611,5.07,5.29
200612,3.83,4.15
200701,2.78,2.91
200702,1.55,1.68
200703,2.24,2.22
200704,4.34,4.33
200705,3.55,3.58
200706,2.40,2.42
200707,1.93,1.93
200708,2.12,2.16
200709,0.36,0.40
200710,0.44,0.45
200711,2.77,2.99
200712,2.74,3.06
200801,2.12,2.25
200802,3.45,3.58
200803,3.82,3.80
200804,3.68,3.67
200805,1.67,1.70
200806,3.28,3.30
200807,3.50,3.50
200808,4.14,4.18
200809,5.00,5.04
200810,4.89,4.90
200811,4.90,5.12
200812,5.11,5.43
200901,3.93,4.06
200902,3.26,3.39
200903,2.04,2.02
200904,1.89,1.88
200905,2.06,2.09
200906,4.00,4.02
200907,5.29,5.29
200908,4.96,5.00
200909,2.96,3.00
200910,4.30,4.31
200911,3.98,4.20
200912,3.85,4.17
201001,3.28,3.41
201002,2.72,2.85
201003,3.48,3.46
201004,1.57,1.56
201005,-0.39,-0.36
201006,0.88,0.90
201007,-0.43,-0.43
201008,-1.66,-1.62
201009,-0.32,-0.28
201010,1.32,1.33
201011,1.65,1.87
201012,2.62,2.94
201101,0.93,1.06
201102,0.89,1.02
201103,2.36,2.34
201104,2.79,2.78
201105,3.29,3.32
201106,3.15,3.17
201107,2.64,2.64
201108,4.27,4.31
201109,4.01,4.05
201110,4.23,4.24
201111,1.83,2.05
201112,1.34,1.66
201201,1.00,1.13
201202,-0.36,-0.23
201203,-1.93,-1.95
201204,-1.28,-1.29
201205,-0.22,-0.19
201206,2.32,2.34
201207,-0.19,-0.19
201208,-0.19,-0.15
201209,0.59,0.63
201210,2.36,2.37
201211,-0.64,-0.42
201212,0.69,1.01
201301,-1.19,-1.06
201302,-0.59,-0.46
201303,-1.21,-1.23
201304,-1.82,-1.83
201305,0.49,0.52
201306,2.11,2.13
201307,2.41,2.41
201308,2.75,2.79
201309,3.44,3.48
201310,1.50,1.51
201311,1.41,1.63
201312,1.23,1.55
201401,1.22,1.35
201402,1.04,1.17
201403,1.43,1.41
201404,1.24,1.23
201405,1.34,1.37
201406,1.89,1.91
201407,3.16,3.16
201408,2.77,2.81
201409,0.51,0.55
201410,2.05,2.06
201411,1.39,1.61
201412,2.74,3.06
201501,2.39,2.52
201502,0.79,0.92
201503,-0.98,-1.00
201504,-1.16,-1.17
201505,-1.61,-1.58
201506,1.06,1.08
201507,1.00,1.00
201508,0.96,1.00
201509,1.10,1.14
201510,1.63,1.64
201511,-0.74,-0.52
201512,0.93,1.25
201601,0.00,0.13
201602,1.76,1.89
201603,1.86,1.84
201604,0.77,0.76
201605,-0.58,-0.55
201606,-0.92,-0.90
201607,-0.90,-0.90
201608,-0.72,-0.68
201609,-1.85,-1.81
201610,-1.91,-1.90
201611,-2.14,-1.92
201612,-0.94,-0.62
201701,-0.03,0.10
201702,0.44,0.57
201703,-0.06,-0.08
201704,0.36,0.35
201705,1.40,1.43
201706,1.17,1.19
201707,-0.07,-0.07
201708,-0.89,-0.85
201709,-1.52,-1.48
201710,0.84,0.85
201711,-0.50,-0.28
201712,-0.37,-0.05
201801,1.02,1.15
201802,1.03,1.16
201803,0.42,0.40
