#  Maine Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,23.5,-0.1
199702,29.2,3.1
199703,33.1,-3.1
199704,47.0,-1.4
199705,57.0,-5.4
199706,73.7,2.3
199707,77.5,0.9
199708,73.8,-0.5
199709,64.6,-1.3
199710,52.7,-1.6
199711,38.6,-1.5
199712,29.9,2.4
199801,26.0,2.4
199802,34.3,8.2
199803,39.4,3.2
199804,52.2,3.8
199805,68.9,6.5
199806,69.1,-2.3
199807,77.3,0.7
199808,77.1,2.8
199809,67.0,1.1
199810,53.3,-1.0
199811,39.9,-0.2
199812,35.4,7.9
199901,25.8,2.2
199902,32.4,6.3
199903,39.4,3.2
199904,50.5,2.1
199905,68.5,6.1
199906,77.3,5.9
199907,79.0,2.4
199908,75.2,0.9
199909,72.5,6.6
199910,52.5,-1.8
199911,45.5,5.4
199912,32.4,4.9
200001,23.7,0.1
200002,29.7,3.6
200003,42.7,6.5
200004,48.1,-0.3
200005,60.4,-2.0
200006,71.0,-0.4
200007,73.7,-2.9
200008,73.5,-0.8
200009,65.6,-0.3
200010,54.8,0.5
200011,41.4,1.3
200012,26.0,-1.5
200101,24.9,1.3
200102,27.2,1.1
200103,34.4,-1.8
200104,49.1,0.7
200105,68.4,6.0
200106,74.3,2.9
200107,75.2,-1.4
200108,79.7,5.4
200109,69.4,3.5
200110,58.2,3.9
200111,44.9,4.8
200112,36.1,8.6
200201,29.2,5.6
200202,30.6,4.5
200203,36.5,0.3
200204,49.0,0.6
200205,60.6,-1.8
200206,69.6,-1.8
200207,76.6,0.0
200208,79.3,5.0
200209,71.3,5.4
200210,50.9,-3.4
200211,37.8,-2.3
200212,29.7,2.2
200301,18.5,-5.1
200302,22.7,-3.4
200303,35.7,-0.5
200304,46.8,-1.6
200305,60.6,-1.8
200306,73.2,1.8
200307,76.2,-0.4
200308,75.7,1.4
200309,69.7,3.8
200310,53.8,-0.5
200311,43.6,3.5
200312,31.9,4.4
200401,14.8,-8.8
200402,29.0,2.9
200403,38.5,2.3
200404,50.0,1.6
200405,63.6,1.2
200406,69.1,-2.3
200407,74.4,-2.2
200408,74.8,0.5
200409,68.0,2.1
200410,55.7,1.4
200411,41.3,1.2
200412,28.2,0.7
200501,21.9,-1.7
200502,30.8,4.7
200503,35.5,-0.7
200504,51.7,3.3
200505,56.1,-6.3
200506,75.0,3.6
200507,78.3,1.7
200508,77.0,2.7
200509,69.5,3.6
200510,54.6,0.3
200511,43.2,3.1
200512,29.1,1.6
200601,31.2,7.6
200602,27.5,1.4
200603,38.3,2.1
200604,53.6,5.2
200605,63.7,1.3
200606,72.8,1.4
