#  Maryland Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,990,-25
199702,697,-179
199703,626,-70
199704,426,45
199705,192,65
199706,10,2
199707,0,0
199708,1,-1
199709,48,4
199710,285,-10
199711,660,53
199712,845,-81
199801,767,-248
199802,683,-193
199803,622,-74
199804,293,-88
199805,68,-59
199806,5,-3
199807,0,0
199808,0,-2
199809,6,-38
199810,258,-37
199811,542,-65
199812,717,-209
199901,911,-104
199902,769,-107
199903,736,40
199904,342,-39
199905,103,-24
199906,1,-7
199907,0,0
199908,0,-2
199909,34,-10
199910,329,34
199911,430,-177
199912,807,-119
200001,1006,-9
200002,741,-135
200003,510,-186
200004,362,-19
200005,79,-48
200006,0,-8
200007,1,1
200008,1,-1
200009,56,12
200010,250,-45
200011,641,34
200012,1110,184
200101,1025,10
200102,761,-115
200103,759,63
200104,309,-72
200105,112,-15
200106,1,-7
200107,1,1
200108,0,-2
200109,54,10
200110,273,-22
200111,426,-181
200112,696,-230
200201,807,-208
200202,707,-169
200203,612,-84
200204,253,-128
200205,128,1
200206,0,-8
200207,0,0
200208,0,-2
200209,18,-26
200210,288,-7
200211,612,5
200212,958,32
200301,1130,115
200302,964,88
200303,647,-49
200304,368,-13
200305,177,50
200306,11,3
200307,0,0
200308,0,-2
200309,31,-13
200310,328,33
200311,430,-177
200312,885,-41
200401,1159,144
200402,858,-18
200403,600,-96
200404,313,-68
200405,25,-102
200406,5,-3
200407,0,0
200408,0,-2
200409,21,-23
200410,297,2
200411,498,-109
200412,854,-72
200501,973,-42
200502,794,-82
200503,780,84
200504,298,-83
200505,198,71
200506,0,-8
200507,0,0
200508,0,-2
200509,7,-37
200510,237,-58
200511,499,-108
200512,974,48
200601,742,-273
200602,810,-66
200603,625,-71
200604,255,-126
200605,122,-5
200606,1,-7
200607,0,0
200608,0,-2
200609,61,17
200610,314,19
200611,480,-127
200612,691,-235
200701,826,-189
200702,1028,152
200703,626,-70
200704,413,32
200705,78,-49
200706,1,-7
200707,0,0
200708,0,-2
200709,15,-29
200710,115,-180
200711,581,-26
200712,846,-80
200801,905,-110
200802,781,-95
200803,629,-67
200804,283,-98
200805,165,38
200806,0,-8
200807,0,0
200808,1,-1
200809,21,-23
200810,310,15
200811,609,2
200812,834,-92
200901,1115,100
200902,776,-100
200903,679,-17
200904,304,-77
200905,104,-23
200906,5,-3
200907,1,1
200908,0,-2
200909,44,0
200910,309,14
200911,465,-142
200912,926,0
201001,1007,-8
201002,947,71
201003,525,-171
201004,227,-154
201005,66,-61
201006,0,-8
201007,0,0
201008,0,-2
201009,13,-31
201010,237,-58
201011,561,-46
201012,1041,115
201101,1098,83
201102,774,-102
201103,658,-38
201104,250,-131
201105,64,-63
201106,0,-8
201107,0,0
201108,0,-2
201109,21,-23
201110,291,-4
201111,464,-143
201112,724,-202
201201,859,-156
201202,682,-194
201203,386,-310
201204,319,-62
201205,40,-87
201206,1,-7
201207,0,0
201208,0,-2
201209,29,-15
201210,247,-48
201211,670,63
201212,713,-213
201301,892,-123
201302,854,-22
201303,775,79
201304,311,-70
201305,115,-12
201306,1,-7
201307,0,0
201308,1,-1
201309,49,5
201310,229,-66
201311,654,47
201312,825,-101
201401,1166,151
201402,905,29
201403,838,142
201404,362,-19
201405,91,-36
201406,0,-8
201407,0,0
201408,4,2
201409,28,-16
201410,227,-68
201411,669,62
201412,789,-137
201501,1074,59
201502,1112,236
201503,803,107
201504,320,-61
201505,37,-90
201506,1,-7
201507,0,0
201508,0,-2
201509,9,-35
201510,302,7
201511,432,-175
201512,519,-407
201601,1029,14
201602,789,-87
201603,484,-212
201604,350,-31
201605,151,24
201606,0,-8
201607,0,0
201608,0,-2
201609,6,-38
201610,198,-97
201611,519,-88
201612,837,-89
201701,829,-186
201702,596,-280
201703,684,-12
201704,178,-203
201705,131,4
201706,1,-7
201707,0,0
201708,1,-1
201709,27,-17
201710,154,-141
201711,582,-25
201712,921,-5
201801,1046,31
201802,667,-209
201803,793,97
201804,423,42
201805,31,-96
201806,3,-5
201807,0,0
201808,0,-2
201809,5,-39
201810,212,-83
201811,662,55
201812,805,-121
201901,971,-44
201902,779,-97
201903,707,11
201904,221,-160
201905,49,-78
201906,1,-7
201907,0,0
201908,0,-2
201909,7,-37
201910,181,-114
201911,674,67
201912,819,-107
202001,805,-210
202002,673,-203
202003,488,-208
202004,399,18
202005,158,31
202006,1,-7
202007,0,0
202008,0,-2
202009,38,-6
202010,210,-85
202011,420,-187
202012,829,-97
202101,913,-102
202102,860,-16
202103,546,-150
202104,297,-84
202105,123,-4
202106,1,-7
202107,0,0
202108,0,-2
202109,16,-28
202110,122,-173
202111,620,13
202112,661,-265
202201,1056,41
202202,740,-136
202203,566,-130
202204,352,-29
202205,83,-44
202206,0,-8
202207,0,0
202208,0,-2
202209,24,-20
202210,327,32
202211,486,-121
202212,883,-43
