#  Maryland Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.50,4.53
199702,3.79,3.83
199703,3.84,3.92
199704,3.19,3.25
199705,2.46,2.62
199706,2.01,2.05
199707,1.27,1.29
199708,0.88,0.86
199709,-1.68,-1.59
199710,-1.85,-1.72
199711,-0.77,-0.57
199712,-0.90,-0.78
199801,1.61,1.64
199802,2.64,2.68
199803,3.01,3.09
199804,2.76,2.82
199805,2.61,2.77
199806,2.89,2.93
199807,1.99,2.01
199808,0.99,0.97
199809,-2.17,-2.08
199810,-2.74,-2.61
199811,-3.85,-3.65
199812,-4.72,-4.60
199901,-3.83,-3.80
199902,-3.64,-3.60
199903,-2.97,-2.89
199904,-2.89,-2.83
199905,-3.52,-3.36
199906,-3.91,-3.87
199907,-4.56,-4.54
199908,-4.40,-4.42
199909,-1.77,-1.68
199910,-1.35,-1.22
199911,-1.51,-1.31
199912,-1.52,-1.40
200001,-1.37,-1.34
200002,-1.59,-1.55
200003,-1.16,-1.08
200004,-0.72,-0.66
200005,-1.02,-0.86
200006,1.00,1.04
200007,1.99,2.01
200008,1.97,1.95
200009,2.61,2.70
200010,1.39,1.52
200011,0.91,1.11
200012,0.79,0.91
200101,-1.14,-1.11
200102,-1.40,-1.36
200103,-0.70,-0.62
200104,-1.29,-1.23
200105,-1.01,-0.85
200106,-0.57,-0.53
200107,0.79,0.81
200108,0.75,0.73
200109,-0.30,-0.21
200110,-1.20,-1.07
200111,-2.34,-2.14
200112,-3.26,-3.14
200201,-3.71,-3.68
200202,-4.58,-4.54
200203,-4.04,-3.96
200204,-3.72,-3.66
200205,-3.56,-3.40
200206,-3.63,-3.59
200207,-4.03,-4.01
200208,-4.46,-4.48
200209,-4.16,-4.07
200210,-2.75,-2.62
200211,-1.83,-1.63
200212,-1.09,-0.97
200301,-1.35,-1.32
200302,2.61,2.65
200303,2.41,2.49
200304,2.01,2.07
200305,2.87,3.03
200306,3.93,3.97
200307,4.11,4.13
200308,4.04,4.02
200309,5.29,5.38
200310,5.41,5.54
200311,5.54,5.74
200312,5.72,5.84
200401,4.76,4.79
200402,4.09,4.13
200403,3.07,3.15
200404,3.45,3.51
200405,2.71,2.87
200406,2.70,2.74
200407,3.17,3.19
200408,3.38,3.36
200409,3.75,3.84
200410,3.00,3.13
200411,3.35,3.55
200412,2.96,3.08
200501,2.94,2.97
200502,2.19,2.23
200503,2.37,2.45
200504,2.07,2.13
200505,1.96,2.12
200506,1.45,1.49
200507,1.70,1.72
200508,0.98,0.96
200509,-1.80,-1.71
200510,1.48,1.61
200511,1.46,1.66
200512,1.48,1.60
200601,1.33,1.36
200602,0.64,0.68
200603,-1.90,-1.82
200604,-2.04,-1.98
200605,-2.43,-2.27
200606,2.15,2.19
200607,1.76,1.78
200608,-1.29,-1.31
200609,1.12,1.21
200610,1.88,2.01
200611,2.65,2.85
200612,1.85,1.97
200701,1.48,1.51
200702,1.16,1.20
200703,0.92,1.00
200704,1.30,1.36
200705,-1.27,-1.11
200706,-1.71,-1.67
200707,-2.40,-2.38
200708,-2.68,-2.70
200709,-3.52,-3.43
200710,-3.17,-3.04
200711,-3.71,-3.51
200712,-3.34,-3.22
200801,-3.68,-3.65
200802,-3.05,-3.01
200803,-3.12,-3.04
200804,-2.44,-2.38
200805,-1.04,-0.88
200806,-0.72,-0.68
200807,-0.55,-0.53
200808,-1.22,-1.24
200809,-0.81,-0.72
200810,-1.40,-1.27
200811,-1.45,-1.25
200812,-0.81,-0.69
200901,-1.00,-0.97
200902,-2.02,-1.98
200903,-2.38,-2.30
200904,-1.74,-1.68
200905,-0.90,-0.74
200906,1.61,1.65
200907,1.25,1.27
200908,1.62,1.60
200909,1.63,1.72
200910,2.57,2.70
200911,2.96,3.16
200912,4.21,4.33
201001,3.62,3.65
201002,3.55,3.59
201003,3.50,3.58
201004,2.24,2.30
201005,1.44,1.60
201006,-2.22,-2.18
201007,-2.67,-2.65
201008,-2.78,-2.80
201009,-2.24,-2.15
201010,-1.55,-1.42
201011,-1.75,-1.55
201012,-1.80,-1.68
201101,-1.94,-1.91
201102,-2.07,-2.03
201103,-1.38,-1.30
201104,-0.91,-0.85
201105,-1.27,-1.11
201106,-1.76,-1.72
201107,-2.36,-2.34
201108,-0.87,-0.89
201109,2.75,2.84
201110,2.87,3.00
201111,2.83,3.03
201112,2.68,2.80
201201,1.94,1.97
201202,1.24,1.28
201203,-1.85,-1.77
201204,-2.14,-2.08
201205,-2.29,-2.13
201206,-2.38,-2.34
201207,-2.67,-2.65
201208,-2.48,-2.50
201209,-2.36,-2.27
201210,1.65,1.78
201211,0.93,1.13
201212,1.05,1.17
201301,0.99,1.02
201302,0.61,0.65
201303,-0.50,-0.42
201304,-0.70,-0.64
201305,-0.93,-0.77
201306,1.41,1.45
201307,1.52,1.54
201308,1.50,1.48
201309,0.76,0.85
201310,1.27,1.40
201311,1.25,1.45
201312,1.90,2.02
201401,1.49,1.52
201402,1.97,2.01
201403,1.92,2.00
201404,2.31,2.37
201405,2.43,2.59
201406,2.11,2.15
201407,1.86,1.88
201408,1.59,1.57
201409,1.04,1.13
201410,0.81,0.94
201411,0.64,0.84
201412,0.69,0.81
201501,0.89,0.92
201502,-0.45,-0.41
201503,-0.09,-0.01
201504,-0.08,-0.02
201505,-0.88,-0.72
201506,2.02,2.06
201507,1.84,1.86
201508,1.14,1.12
201509,0.92,1.01
201510,0.96,1.09
201511,-0.73,-0.53
201512,0.20,0.32
201601,0.11,0.14
201602,0.58,0.62
201603,-1.04,-0.96
201604,-1.50,-1.44
201605,-0.56,-0.40
201606,0.85,0.89
201607,0.94,0.96
201608,0.17,0.15
201609,0.92,1.01
201610,-0.46,-0.33
201611,-1.36,-1.16
201612,-1.49,-1.37
201701,-1.46,-1.43
201702,-2.35,-2.31
201703,-2.12,-2.04
201704,-2.36,-2.30
201705,-1.42,-1.26
201706,-1.96,-1.92
201707,-0.63,-0.61
201708,1.58,1.56
201709,1.00,1.09
201710,0.93,1.06
201711,-0.66,-0.46
201712,-1.35,-1.23
201801,-1.52,-1.49
201802,-0.70,-0.66
201803,-0.89,-0.81
201804,-0.59,-0.53
201805,1.45,1.61
201806,1.82,1.86
201807,3.26,3.28
201808,3.22,3.20
201809,4.85,4.94
201810,4.77,4.90
201811,6.07,6.27
201812,6.17,6.29
201901,5.55,5.58
201902,5.25,5.29
201903,4.87,4.95
201904,3.93,3.99
201905,3.72,3.88
201906,3.50,3.54
201907,3.34,3.36
201908,2.54,2.52
201909,1.02,1.11
201910,1.34,1.47
201911,0.65,0.85
201912,0.59,0.71
202001,-1.40,-1.37
202002,-1.27,-1.23
202003,-1.72,-1.64
202004,-0.92,-0.86
202005,-1.06,-0.90
202006,-1.06,-1.02
202007,-1.19,-1.17
202008,1.35,1.33
202009,1.58,1.67
202010,2.06,2.19
202011,2.58,2.78
202012,3.23,3.35
202101,2.39,2.42
202102,2.83,2.87
202103,2.25,2.33
202104,1.60,1.66
202105,1.24,1.40
202106,1.06,1.10
202107,0.96,0.98
202108,1.20,1.18
202109,1.88,1.97
202110,1.64,1.77
202111,0.94,1.14
202112,-1.42,-1.30
202201,-0.99,-0.96
202202,-1.30,-1.26
202203,-1.67,-1.59
202204,-1.37,-1.31
202205,-0.73,-0.57
202206,-0.74,-0.70
202207,0.58,0.60
202208,-0.51,-0.53
202209,-0.70,-0.61
202210,-0.56,-0.43
202211,-0.80,-0.60
202212,-0.24,-0.12
