#  Maryland Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,42.3,1.2
199702,49.4,6.2
199703,55.3,2.6
199704,61.6,-1.8
199705,71.4,-2.3
199706,80.4,-1.1
199707,86.9,1.3
199708,83.7,0.1
199709,77.1,-0.5
199710,67.2,0.3
199711,51.2,-3.5
199712,46.2,2.3
199801,48.4,7.3
199802,48.6,5.4
199803,54.3,1.6
199804,66.7,3.3
199805,75.5,1.8
199806,80.3,-1.2
199807,86.2,0.6
199808,86.1,2.5
199809,83.1,5.5
199810,67.7,0.8
199811,58.1,3.4
199812,51.3,7.4
199901,45.9,4.8
199902,47.4,4.2
199903,51.3,-1.4
199904,65.6,2.2
199905,75.4,1.7
199906,82.2,0.7
199907,90.2,4.6
199908,85.9,2.3
199909,77.0,-0.6
199910,66.2,-0.7
199911,61.2,6.5
199912,48.2,4.3
200001,42.0,0.9
200002,49.3,6.1
200003,60.0,7.3
200004,63.0,-0.4
200005,76.1,2.4
200006,82.4,0.9
200007,81.6,-4.0
200008,81.7,-1.9
200009,75.7,-1.9
200010,69.4,2.5
200011,53.3,-1.4
200012,37.9,-6.0
200101,40.7,-0.4
200102,48.0,4.8
200103,50.0,-2.7
200104,66.4,3.0
200105,74.0,0.3
200106,82.8,1.3
200107,83.0,-2.6
200108,85.8,2.2
200109,76.7,-0.9
200110,69.2,2.3
200111,63.1,8.4
200112,52.2,8.3
200201,48.4,7.3
200202,51.5,8.3
200203,56.2,3.5
200204,68.3,4.9
200205,74.0,0.3
200206,84.3,2.8
200207,88.6,3.0
200208,88.3,4.7
200209,80.3,2.7
200210,64.6,-2.3
200211,53.5,-1.2
200212,42.9,-1.0
200301,36.2,-4.9
200302,38.8,-4.4
200303,55.5,2.8
200304,63.6,0.2
200305,68.4,-5.3
200306,78.8,-2.7
200307,84.8,-0.8
200308,85.1,1.5
200309,76.6,-1.0
200310,65.6,-1.3
200311,60.9,6.2
200312,45.0,1.1
200401,36.3,-4.8
200402,44.2,1.0
200403,55.9,3.2
200404,64.4,1.0
200405,79.8,6.1
200406,80.6,-0.9
200407,84.5,-1.1
200408,82.7,-0.9
200409,78.1,0.5
200410,65.0,-1.9
200411,57.8,3.1
200412,47.1,3.2
200501,42.3,1.2
200502,46.1,2.9
200503,48.7,-4.0
200504,66.6,3.2
200505,70.0,-3.7
200506,83.2,1.7
200507,87.1,1.5
200508,86.6,3.0
200509,83.0,5.4
200510,66.7,-0.2
200511,59.8,5.1
200512,42.1,-1.8
200601,50.4,9.3
200602,45.6,2.4
200603,55.2,2.5
200604,68.7,5.3
200605,74.0,0.3
200606,81.7,0.2
200607,87.4,1.8
200608,87.5,3.9
200609,74.3,-3.3
200610,65.3,-1.6
200611,58.2,3.5
200612,53.2,9.3
200701,47.2,6.1
200702,36.8,-6.4
200703,56.6,3.9
200704,61.4,-2.0
200705,77.0,3.3
200706,83.5,2.0
200707,86.5,0.9
200708,86.7,3.1
200709,81.5,3.9
200710,74.4,7.5
200711,55.0,0.3
200712,45.8,1.9
200801,44.6,3.5
200802,47.2,4.0
200803,55.7,3.0
200804,66.4,3.0
200805,71.9,-1.8
200806,85.6,4.1
200807,86.8,1.2
200808,83.6,0.0
200809,78.8,1.2
200810,66.5,-0.4
200811,52.8,-1.9
200812,47.8,3.9
200901,37.4,-3.7
200902,47.7,4.5
200903,53.3,0.6
200904,66.2,2.8
200905,73.4,-0.3
200906,80.5,-1.0
200907,83.8,-1.8
200908,85.9,2.3
200909,75.5,-2.1
200910,65.0,-1.9
200911,58.1,3.4
200912,43.4,-0.5
201001,40.2,-0.9
201002,38.2,-5.0
201003,57.4,4.7
201004,70.0,6.6
201005,76.6,2.9
201006,86.8,5.3
201007,90.5,4.9
201008,86.4,2.8
201009,81.9,4.3
201010,68.3,1.4
201011,56.4,1.7
201012,38.1,-5.8
201101,37.2,-3.9
201102,48.2,5.0
201103,53.7,1.0
201104,67.0,3.6
201105,76.2,2.5
201106,84.8,3.3
201107,90.6,5.0
201108,85.3,1.7
201109,77.0,-0.6
201110,65.7,-1.2
201111,60.2,5.5
201112,51.3,7.4
201201,47.1,6.0
201202,50.2,7.0
201203,64.0,11.3
201204,66.0,2.6
201205,78.0,4.3
201206,83.1,1.6
201207,90.1,4.5
201208,85.5,1.9
201209,78.5,0.9
201210,67.2,0.3
201211,51.8,-2.9
201212,50.5,6.6
201301,44.7,3.6
201302,42.6,-0.6
201303,48.3,-4.4
201304,65.8,2.4
201305,73.5,-0.2
201306,82.4,0.9
201307,86.5,0.9
201308,81.6,-2.0
201309,77.4,-0.2
201310,68.0,1.1
201311,53.0,-1.7
201312,47.3,3.4
201401,38.0,-3.1
201402,42.0,-1.2
201403,48.9,-3.8
201404,64.2,0.8
201405,75.4,1.7
201406,82.6,1.1
201407,84.8,-0.8
201408,81.9,-1.7
201409,78.1,0.5
201410,68.0,1.1
201411,52.2,-2.5
201412,47.2,3.3
201501,38.8,-2.3
201502,35.4,-7.8
201503,50.2,-2.5
201504,65.6,2.2
201505,78.9,5.2
201506,82.1,0.6
201507,85.2,-0.4
201508,84.7,1.1
201509,81.0,3.4
201510,66.1,-0.8
201511,60.9,6.2
201512,57.3,13.4
201601,41.6,0.5
201602,45.9,2.7
201603,60.4,7.7
201604,65.0,1.6
201605,69.9,-3.8
201606,82.6,1.1
201607,88.1,2.5
201608,88.1,4.5
201609,81.0,3.4
201610,69.7,2.8
201611,59.0,4.3
201612,46.6,2.7
201701,45.2,4.1
201702,54.8,11.6
201703,53.3,0.6
201704,70.2,6.8
201705,71.7,-2.0
201706,83.4,1.9
201707,87.0,1.4
201708,82.3,-1.3
201709,78.1,0.5
201710,71.8,4.9
201711,55.8,1.1
201712,43.9,0.0
201801,40.8,-0.3
201802,50.8,7.6
201803,48.2,-4.5
201804,61.4,-2.0
201805,79.3,5.6
201806,81.5,0.0
201807,86.2,0.6
201808,86.2,2.6
201809,79.8,2.2
201810,68.0,1.1
201811,51.2,-3.5
201812,47.5,3.6
201901,42.6,1.5
201902,46.6,3.4
201903,52.0,-0.7
201904,68.6,5.2
201905,77.2,3.5
201906,82.7,1.2
201907,89.1,3.5
201908,85.8,2.2
201909,82.7,5.1
201910,69.9,3.0
201911,52.5,-2.2
201912,47.5,3.6
202001,47.6,6.5
202002,50.2,7.0
202003,59.2,6.5
202004,61.9,-1.5
202005,70.3,-3.4
202006,83.1,1.6
202007,90.5,4.9
202008,85.5,1.9
202009,76.8,-0.8
202010,68.9,2.0
202011,61.9,7.2
202012,46.7,2.8
202101,42.9,1.8
202102,41.2,-2.0
202103,58.6,5.9
202104,66.5,3.1
202105,74.1,0.4
202106,83.2,1.7
202107,87.4,1.8
202108,86.5,2.9
202109,79.8,2.2
202110,72.0,5.1
202111,55.0,0.3
202112,53.5,9.6
202201,39.8,-1.3
202202,49.7,6.5
202203,57.8,5.1
202204,64.1,0.7
202205,74.6,0.9
202206,83.0,1.5
202207,87.5,1.9
202208,86.9,3.3
202209,78.8,1.2
202210,65.0,-1.9
202211,59.1,4.4
202212,46.3,2.4
