#  Maryland Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-1.01,-1.11
199702,-0.76,-0.76
199703,1.33,1.28
199704,-0.76,-0.84
199705,-1.20,-0.92
199706,-0.58,-0.74
199707,-1.61,-1.66
199708,-0.77,-0.81
199709,-1.34,-1.33
199710,-1.02,-0.90
199711,2.67,2.93
199712,-0.63,-0.64
199801,3.24,3.14
199802,3.59,3.59
199803,1.94,1.89
199804,0.17,0.09
199805,0.40,0.68
199806,1.65,1.49
199807,-1.80,-1.85
199808,-2.40,-2.44
199809,-2.89,-2.88
199810,-2.39,-2.27
199811,-4.17,-3.91
199812,-3.81,-3.82
199901,1.21,1.11
199902,-0.60,-0.60
199903,0.86,0.81
199904,-0.65,-0.73
199905,-2.78,-2.50
199906,-2.26,-2.42
199907,-3.15,-3.20
199908,-0.95,-0.99
199909,6.54,6.55
199910,0.70,0.82
199911,-0.87,-0.61
199912,-0.52,-0.53
200001,-0.01,-0.11
200002,-1.07,-1.07
200003,0.78,0.73
200004,0.98,0.90
200005,-1.14,-0.86
200006,1.28,1.12
200007,3.29,3.24
200008,0.56,0.52
200009,2.52,2.53
200010,-2.86,-2.74
200011,-1.00,-0.74
200012,-0.07,-0.08
200101,-0.50,-0.60
200102,-1.13,-1.13
200103,1.68,1.63
200104,-2.00,-2.08
200105,0.47,0.75
200106,0.99,0.83
200107,1.12,1.07
200108,0.13,0.09
200109,-0.89,-0.88
200110,-2.79,-2.67
200111,-3.79,-3.53
200112,-3.48,-3.49
200201,-2.37,-2.47
200202,-3.75,-3.75
200203,0.20,0.15
200204,-0.28,-0.36
200205,-0.67,-0.39
200206,-1.33,-1.49
200207,-2.30,-2.35
200208,-2.54,-2.58
200209,-0.48,-0.47
200210,2.95,3.07
200211,1.91,2.17
200212,1.65,1.64
200301,-1.12,-1.22
200302,4.21,4.21
200303,0.23,0.18
200304,-0.45,-0.53
200305,3.19,3.47
200306,4.06,3.90
200307,1.77,1.72
200308,1.06,1.02
200309,5.00,5.01
200310,1.98,2.10
200311,2.06,2.32
200312,2.26,2.25
