#  Massachusetts Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.10,0.12
199702,-0.62,-0.41
199703,0.22,0.36
199704,0.76,0.89
199705,0.69,0.89
199706,-0.87,-0.70
199707,-1.08,-1.00
199708,-0.81,-0.76
199709,-1.47,-1.50
199710,-1.97,-1.90
199711,0.55,0.75
199712,0.28,0.47
199801,1.04,1.26
199802,1.45,1.66
199803,1.65,1.79
199804,1.27,1.40
199805,1.39,1.59
199806,3.27,3.44
199807,-0.21,-0.13
199808,-0.61,-0.56
199809,-1.16,-1.19
199810,-0.70,-0.63
199811,-1.27,-1.07
199812,-2.00,-1.81
199901,1.00,1.22
199902,1.06,1.27
199903,1.28,1.42
199904,-1.20,-1.07
199905,-1.07,-0.87
199906,-1.91,-1.74
199907,-2.33,-2.25
199908,-2.68,-2.63
199909,1.41,1.38
199910,1.90,1.97
199911,-0.46,-0.26
199912,-0.96,-0.77
200001,-0.92,-0.70
200002,0.07,0.28
200003,0.05,0.19
200004,0.82,0.95
200005,0.77,0.97
200006,1.59,1.76
200007,2.36,2.44
200008,2.31,2.36
200009,2.16,2.13
200010,-0.21,-0.14
200011,-0.33,-0.13
200012,-0.10,0.09
200101,-0.63,-0.41
200102,-0.77,-0.56
200103,1.91,2.05
200104,-0.91,-0.78
200105,-1.16,-0.96
200106,0.67,0.84
200107,0.69,0.77
200108,-0.18,-0.13
200109,-0.30,-0.33
200110,-1.24,-1.17
200111,-2.50,-2.30
200112,-2.96,-2.77
200201,-3.05,-2.83
200202,-3.19,-2.98
200203,-2.81,-2.67
200204,-2.75,-2.62
200205,-1.82,-1.62
200206,-1.28,-1.11
200207,-1.75,-1.67
200208,-2.14,-2.09
200209,-2.04,-2.07
200210,0.18,0.25
200211,0.77,0.97
200212,1.23,1.42
200301,0.79,1.01
200302,1.08,1.29
200303,1.18,1.32
200304,1.23,1.36
200305,1.31,1.51
200306,1.87,2.04
200307,1.37,1.45
200308,1.81,1.86
200309,2.13,2.10
200310,2.96,3.03
200311,2.27,2.47
200312,2.73,2.92
200401,-0.79,-0.57
200402,-1.37,-1.16
200403,-1.83,-1.69
200404,1.27,1.40
200405,-0.11,0.09
200406,-0.59,-0.42
200407,0.14,0.22
200408,0.72,0.77
200409,1.84,1.81
200410,1.37,1.44
200411,1.16,1.36
200412,1.30,1.49
200501,1.66,1.88
200502,1.27,1.48
200503,1.63,1.77
200504,1.70,1.83
200505,2.01,2.21
200506,-0.58,-0.41
200507,-0.77,-0.69
200508,-1.21,-1.16
200509,-1.70,-1.73
200510,3.54,3.61
200511,3.52,3.72
200512,3.20,3.39
200601,3.57,3.79
200602,2.83,3.04
200603,1.30,1.44
200604,0.65,0.78
200605,2.19,2.39
200606,4.01,4.18
200607,3.49,3.57
200608,3.35,3.40
200609,2.73,2.70
200610,3.25,3.32
200611,3.30,3.50
200612,2.34,2.53
200701,1.98,2.20
200702,1.28,1.49
200703,1.66,1.80
200704,3.04,3.17
200705,-0.29,-0.09
200706,-0.52,-0.35
200707,-0.07,0.01
200708,-0.94,-0.89
200709,-1.47,-1.50
200710,-1.72,-1.65
200711,-1.94,-1.74
200712,0.46,0.65
200801,0.00,0.22
200802,2.40,2.61
200803,2.78,2.92
200804,2.35,2.48
200805,1.63,1.83
200806,1.60,1.77
200807,2.71,2.79
200808,2.67,2.72
200809,3.94,3.91
200810,3.52,3.59
200811,3.13,3.33
200812,3.99,4.18
200901,3.62,3.84
200902,2.59,2.80
200903,1.98,2.12
200904,1.72,1.85
200905,1.51,1.71
200906,2.13,2.30
200907,4.12,4.20
200908,4.15,4.20
200909,3.38,3.35
200910,4.08,4.15
200911,3.28,3.48
200912,3.34,3.53
201001,2.88,3.10
201002,3.14,3.35
201003,5.07,5.21
201004,-1.20,-1.07
201005,-1.61,-1.41
201006,-1.78,-1.61
201007,-2.17,-2.09
201008,-2.23,-2.18
201009,-2.72,-2.75
201010,0.80,0.87
201011,0.64,0.84
201012,0.68,0.87
201101,0.56,0.78
201102,0.94,1.15
201103,0.82,0.96
201104,1.18,1.31
201105,0.91,1.11
201106,1.44,1.61
201107,0.84,0.92
201108,2.74,2.79
201109,3.64,3.61
201110,4.74,4.81
201111,-0.21,-0.01
201112,-0.03,0.16
201201,-0.19,0.03
201202,-1.20,-0.99
201203,-2.26,-2.12
201204,-2.61,-2.48
201205,-2.19,-1.99
201206,-1.83,-1.66
201207,-2.05,-1.97
201208,-1.68,-1.63
201209,-1.08,-1.11
201210,-0.58,-0.51
201211,-1.46,-1.26
201212,-0.76,-0.57
201301,-1.33,-1.11
201302,-0.72,-0.51
201303,-0.95,-0.81
201304,-1.59,-1.46
201305,0.40,0.60
201306,2.41,2.58
201307,0.01,0.09
201308,-0.02,0.03
201309,-0.13,-0.16
201310,-0.93,-0.86
201311,-1.16,-0.96
201312,0.11,0.30
201401,0.01,0.23
201402,0.44,0.65
201403,0.72,0.86
201404,0.58,0.71
201405,0.45,0.65
201406,0.04,0.21
201407,1.15,1.23
201408,-0.08,-0.03
201409,-0.83,-0.86
201410,0.77,0.84
201411,1.00,1.20
201412,1.50,1.69
201501,1.48,1.70
201502,-0.11,0.10
201503,-0.41,-0.27
201504,-0.94,-0.81
201505,-2.10,-1.90
201506,-1.02,-0.85
201507,-1.07,-0.99
201508,-1.38,-1.33
201509,-1.37,-1.40
201510,-1.19,-1.12
201511,-1.81,-1.61
201512,-1.49,-1.30
201601,-1.78,-1.56
201602,-0.93,-0.72
201603,-1.38,-1.24
201604,-1.63,-1.50
201605,-1.80,-1.60
201606,-2.38,-2.21
201607,-2.95,-2.87
201608,-3.33,-3.28
201609,-3.78,-3.81
201610,-3.24,-3.17
201611,-3.67,-3.47
201612,-3.40,-3.21
201701,-2.92,-2.70
201702,-2.90,-2.69
201703,-2.77,-2.63
201704,0.39,0.52
201705,1.08,1.28
201706,1.20,1.37
201707,1.12,1.20
201708,0.74,0.79
201709,0.37,0.34
201710,1.22,1.29
201711,-0.73,-0.53
201712,-1.06,-0.87
201801,0.30,0.52
201802,0.96,1.17
201803,1.07,1.21
201804,1.51,1.64
201805,-0.83,-0.63
201806,0.01,0.18
201807,0.25,0.33
201808,0.88,0.93
201809,1.95,1.92
201810,2.45,2.52
201811,3.93,4.13
201812,3.59,3.78
201901,3.81,4.03
201902,3.41,3.62
201903,2.58,2.72
201904,3.32,3.45
201905,2.98,3.18
201906,2.88,3.05
201907,2.92,3.00
201908,2.68,2.73
201909,1.78,1.75
201910,2.44,2.51
201911,2.06,2.26
201912,3.01,3.20
202001,-0.68,-0.46
202002,-0.58,-0.37
202003,-0.78,-0.64
202004,-0.04,0.09
202005,-0.50,-0.30
202006,-1.01,-0.84
202007,-1.53,-1.45
202008,-2.17,-2.12
202009,-2.72,-2.75
202010,-2.20,-2.13
202011,-2.36,-2.16
202012,-1.20,-1.01
202101,-1.60,-1.38
202102,-1.44,-1.23
202103,-2.06,-1.92
202104,-1.81,-1.68
202105,-1.22,-1.02
202106,-1.71,-1.54
202107,2.66,2.74
202108,2.94,2.99
202109,3.90,3.87
