#  Massachusetts Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.92,4.11
199702,2.30,2.42
199703,2.40,2.49
199704,3.23,3.29
199705,2.83,2.95
199706,0.58,0.80
199707,-0.24,-0.10
199708,-0.01,0.04
199709,-1.47,-1.41
199710,-1.97,-1.92
199711,-0.39,-0.22
199712,-0.72,-0.54
199801,1.04,1.23
199802,1.45,1.57
199803,1.65,1.74
199804,0.89,0.95
199805,1.30,1.42
199806,3.27,3.49
199807,2.42,2.56
199808,1.16,1.21
199809,-0.41,-0.35
199810,0.23,0.28
199811,-1.18,-1.01
199812,-2.00,-1.82
199901,0.67,0.86
199902,1.06,1.18
199903,1.28,1.37
199904,-1.20,-1.14
199905,-0.97,-0.85
199906,-1.91,-1.69
199907,-2.33,-2.19
199908,-2.68,-2.63
199909,0.85,0.91
199910,1.90,1.95
199911,0.52,0.69
199912,-0.93,-0.75
200001,-0.92,-0.73
200002,-0.76,-0.64
200003,-0.69,-0.60
200004,0.82,0.88
200005,0.77,0.89
200006,1.59,1.81
200007,2.36,2.50
200008,2.31,2.36
200009,2.16,2.22
200010,1.37,1.42
200011,0.82,0.99
200012,1.07,1.25
200101,-0.36,-0.17
200102,-0.77,-0.65
200103,1.91,2.00
200104,-0.56,-0.50
200105,-1.16,-1.04
200106,0.67,0.89
200107,0.69,0.83
200108,0.43,0.48
200109,-0.30,-0.24
200110,-1.24,-1.19
200111,-2.50,-2.33
200112,-2.96,-2.78
200201,-3.05,-2.86
200202,-3.19,-3.07
200203,-2.68,-2.59
200204,-2.75,-2.69
200205,-0.96,-0.84
200206,0.06,0.28
200207,-1.14,-1.00
200208,-2.11,-2.06
200209,-2.04,-1.98
200210,-1.33,-1.28
200211,0.34,0.51
200212,1.23,1.41
200301,0.13,0.32
200302,1.01,1.13
200303,1.18,1.27
200304,1.23,1.29
200305,1.31,1.43
200306,1.87,2.09
200307,0.85,0.99
200308,1.81,1.86
200309,2.13,2.19
200310,2.96,3.01
200311,1.73,1.90
200312,2.73,2.91
200401,0.60,0.79
200402,-1.04,-0.92
200403,-1.83,-1.74
200404,1.27,1.33
200405,0.74,0.86
200406,-0.59,-0.37
200407,-0.39,-0.25
200408,0.72,0.77
200409,1.84,1.90
200410,0.89,0.94
200411,0.54,0.71
200412,0.98,1.16
200501,1.66,1.85
200502,0.86,0.98
200503,1.63,1.72
200504,1.70,1.76
200505,2.01,2.13
200506,0.34,0.56
200507,-0.37,-0.23
200508,-1.21,-1.16
200509,-1.70,-1.64
200510,3.54,3.59
200511,3.52,3.69
200512,3.20,3.38
200601,3.57,3.76
200602,2.33,2.45
200603,-0.70,-0.61
200604,-1.82,-1.76
200605,1.49,1.61
200606,4.01,4.23
200607,3.31,3.45
200608,3.35,3.40
200609,2.35,2.41
200610,3.25,3.30
200611,3.30,3.47
200612,1.52,1.70
200701,0.98,1.17
200702,-0.28,-0.16
200703,0.68,0.77
200704,3.04,3.10
200705,2.03,2.15
200706,1.14,1.36
200707,1.78,1.92
200708,-0.39,-0.34
200709,-1.47,-1.41
200710,-1.72,-1.67
200711,-1.94,-1.77
200712,-0.58,-0.40
200801,-1.36,-1.17
200802,2.40,2.52
200803,2.78,2.87
200804,2.11,2.17
200805,0.73,0.85
200806,0.85,1.07
200807,2.71,2.85
200808,2.67,2.72
200809,3.94,4.00
200810,3.45,3.50
200811,2.96,3.13
200812,3.99,4.17
200901,3.62,3.81
200902,1.76,1.88
200903,0.72,0.81
200904,0.39,0.45
200905,0.16,0.28
200906,1.56,1.78
200907,4.12,4.26
200908,4.15,4.20
200909,2.92,2.98
200910,4.08,4.13
200911,2.78,2.95
200912,3.24,3.42
201001,2.58,2.77
201002,3.14,3.26
201003,5.07,5.16
201004,1.95,2.01
201005,0.47,0.59
201006,-0.40,-0.18
201007,-1.62,-1.48
201008,-2.08,-2.03
201009,-2.72,-2.66
201010,-0.58,-0.53
201011,-0.57,-0.40
201012,-0.17,0.01
201101,-0.14,0.05
201102,0.84,0.96
201103,0.78,0.87
201104,1.18,1.24
201105,0.52,0.64
201106,1.44,1.66
201107,0.02,0.16
201108,2.74,2.79
201109,3.64,3.70
201110,4.74,4.79
201111,3.75,3.92
201112,3.62,3.80
201201,2.82,3.01
201202,0.27,0.39
201203,-2.26,-2.17
201204,-2.61,-2.55
201205,-1.93,-1.81
201206,-1.35,-1.13
201207,-2.01,-1.87
201208,-1.37,-1.32
201209,-0.14,-0.08
201210,0.86,0.91
201211,-1.12,-0.95
201212,0.29,0.47
201301,-0.99,-0.80
201302,0.25,0.37
201303,-0.33,-0.24
201304,-1.59,-1.53
201305,-0.34,-0.22
201306,2.41,2.63
201307,2.11,2.25
201308,1.78,1.83
201309,1.27,1.33
201310,-0.82,-0.77
201311,-1.16,-0.99
201312,-0.62,-0.44
201401,-0.70,-0.51
201402,0.44,0.56
201403,0.72,0.81
201404,0.58,0.64
201405,0.45,0.57
201406,-0.47,-0.25
201407,1.15,1.29
201408,0.71,0.76
201409,-0.83,-0.77
201410,0.77,0.82
201411,1.00,1.17
201412,1.50,1.68
201501,1.48,1.67
201502,0.96,1.08
201503,-0.04,0.05
201504,-0.94,-0.88
201505,-2.10,-1.98
201506,0.22,0.44
201507,-0.04,0.10
201508,-0.85,-0.80
201509,-0.95,-0.89
201510,-0.68,-0.63
201511,-1.81,-1.64
201512,-1.23,-1.05
201601,-1.78,-1.59
201602,0.12,0.24
201603,-1.08,-0.99
201604,-1.63,-1.57
201605,-1.80,-1.68
201606,-2.38,-2.16
201607,-2.95,-2.81
201608,-3.33,-3.28
201609,-3.78,-3.72
201610,-3.00,-2.95
201611,-3.67,-3.50
201612,-3.40,-3.22
201701,-2.71,-2.52
201702,-2.90,-2.78
201703,-2.77,-2.68
201704,-1.55,-1.49
201705,0.35,0.47
201706,0.92,1.14
201707,0.99,1.13
201708,0.45,0.50
201709,-0.08,-0.02
201710,1.22,1.27
201711,-0.73,-0.56
201712,-1.06,-0.88
201801,0.09,0.28
201802,0.96,1.08
201803,1.07,1.16
201804,1.51,1.57
201805,-0.83,-0.71
201806,-0.73,-0.51
201807,-0.42,-0.28
201808,0.88,0.93
201809,1.95,2.01
201810,2.45,2.50
201811,3.93,4.10
201812,3.59,3.77
201901,3.81,4.00
201902,3.35,3.47
201903,1.89,1.98
201904,3.32,3.38
201905,2.91,3.03
201906,2.88,3.10
201907,2.92,3.06
201908,2.68,2.73
201909,0.93,0.99
201910,2.44,2.49
201911,1.82,1.99
201912,3.01,3.19
202001,1.13,1.32
202002,0.96,1.08
202003,0.18,0.27
202004,1.43,1.49
202005,0.24,0.36
202006,-1.01,-0.79
202007,-1.53,-1.39
202008,-2.17,-2.12
202009,-2.72,-2.66
202010,-1.83,-1.78
202011,-2.36,-2.19
202012,0.06,0.24
202101,-0.99,-0.80
202102,-0.80,-0.68
202103,-2.06,-1.97
202104,-1.69,-1.63
202105,-0.48,-0.36
202106,-1.71,-1.49
202107,2.66,2.80
202108,2.94,2.99
202109,3.90,3.96
202110,4.65,4.70
202111,2.87,3.04
202112,1.74,1.92
202201,0.79,0.98
202202,2.19,2.31
202203,0.96,1.05
202204,0.70,0.76
202205,-0.87,-0.75
202206,-1.57,-1.35
202207,-2.30,-2.16
202208,-3.06,-3.01
202209,-1.91,-1.85
202210,-1.03,-0.98
202211,-1.68,-1.51
202212,-0.21,-0.03
