#  Massachusetts Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,34.0,0.7
199702,41.2,6.5
199703,42.6,-1.2
199704,54.1,-1.4
199705,63.5,-3.9
199706,77.4,1.7
199707,81.4,0.7
199708,78.2,-0.2
199709,71.2,-0.1
199710,60.0,-1.0
199711,45.7,-2.5
199712,39.4,2.7
199801,38.4,5.1
199802,42.1,7.4
199803,47.2,3.4
199804,58.5,3.0
199805,71.1,3.7
199806,73.1,-2.6
199807,81.1,0.4
199808,81.0,2.6
199809,74.6,3.3
199810,60.9,-0.1
199811,49.2,1.0
199812,45.1,8.4
199901,36.3,3.0
199902,40.0,5.3
199903,45.8,2.0
199904,58.4,2.9
199905,69.3,1.9
199906,80.5,4.8
199907,84.4,3.7
199908,79.3,0.9
199909,74.6,3.3
199910,60.5,-0.5
199911,54.5,6.3
199912,41.4,4.7
200001,33.5,0.2
200002,39.3,4.6
200003,51.3,7.5
200004,54.3,-1.2
200005,67.5,0.1
200006,75.6,-0.1
200007,77.0,-3.7
200008,76.7,-1.7
200009,71.2,-0.1
200010,61.1,0.1
200011,47.5,-0.7
200012,34.1,-2.6
200101,34.4,1.1
200102,37.4,2.7
200103,40.2,-3.6
200104,57.7,2.2
200105,69.9,2.5
200106,78.7,3.0
200107,78.6,-2.1
200108,82.4,4.0
200109,73.4,2.1
200110,64.3,3.3
200111,54.9,6.7
200112,44.5,7.8
200201,40.6,7.3
200202,42.9,8.2
200203,46.9,3.1
200204,59.7,4.2
200205,65.8,-1.6
200206,75.2,-0.5
200207,82.6,1.9
200208,83.0,4.6
200209,75.4,4.1
200210,58.1,-2.9
200211,46.8,-1.4
200212,37.1,0.4
200301,27.8,-5.5
200302,31.8,-2.9
200303,46.3,2.5
200304,53.0,-2.5
200305,64.3,-3.1
200306,73.4,-2.3
200307,81.4,0.7
200308,80.8,2.4
200309,72.4,1.1
200310,59.0,-2.0
200311,51.7,3.5
200312,40.1,3.4
200401,25.1,-8.2
200402,37.4,2.7
200403,45.4,1.6
200404,57.4,1.9
200405,69.8,2.4
200406,74.8,-0.9
200407,78.3,-2.4
200408,78.5,0.1
200409,72.9,1.6
200410,59.3,-1.7
200411,50.4,2.2
200412,38.9,2.2
200501,31.9,-1.4
200502,38.4,3.7
200503,41.1,-2.7
200504,60.4,4.9
200505,61.0,-6.4
200506,79.1,3.4
200507,81.6,0.9
200508,82.5,4.1
200509,76.5,5.2
200510,59.9,-1.1
200511,52.8,4.6
200512,36.5,-0.2
200601,41.7,8.4
200602,37.3,2.6
200603,45.6,1.8
200604,59.8,4.3
200605,65.6,-1.8
200606,74.9,-0.8
200607,83.3,2.6
