#  Michigan Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,2,-26
199706,115,15
199707,165,-24
199708,83,-61
199709,21,-12
199710,0,-2
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,88,60
199806,106,6
199807,194,5
199808,196,52
199809,77,44
199810,5,3
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,50,22
199906,146,46
199907,287,98
199908,115,-29
199909,41,8
199910,0,-2
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,43,15
200006,107,7
200007,116,-73
200008,137,-7
200009,21,-12
200010,7,5
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,43,15
200106,103,3
200107,188,-1
200108,212,68
200109,16,-17
200110,0,-2
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,9,-19
200206,140,40
200207,285,96
200208,185,41
200209,86,53
200210,0,-2
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,15,-13
200306,68,-32
200307,166,-23
200308,190,46
200309,25,-8
200310,0,-2
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,35,7
200406,78,-22
200407,146,-43
200408,87,-57
200409,69,36
200410,0,-2
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,13,-15
200506,217,117
200507,241,52
200508,217,73
200509,85,52
200510,5,3
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,33,5
200606,103,3
200607,251,62
200608,180,36
200609,16,-17
200610,0,-2
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,52,24
200706,153,53
200707,165,-24
200708,205,61
200709,62,29
200710,20,18
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,14,-14
200806,130,30
200807,187,-2
200808,145,1
200809,50,17
200810,0,-2
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,26,-2
200906,84,-16
200907,85,-104
200908,133,-11
200909,40,7
200910,0,-2
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,1,1
201005,52,24
201006,139,39
201007,279,90
201008,251,107
201009,34,1
201010,5,3
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,34,6
201106,122,22
201107,329,140
201108,176,32
201109,26,-7
201110,0,-2
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,10,10
201204,0,0
201205,73,45
201206,148,48
201207,350,161
201208,164,20
201209,28,-5
201210,0,-2
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,55,27
201306,107,7
201307,198,9
201308,143,-1
201309,34,1
201310,3,1
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,32,4
201406,133,33
201407,102,-87
201408,151,7
201409,25,-8
201410,0,-2
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,62,34
201506,93,-7
201507,157,-32
201508,149,5
201509,98,65
201510,3,1
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,32,4
201606,127,27
201607,251,62
201608,266,122
201609,86,53
201610,9,7
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,22,-6
201706,136,36
201707,202,13
201708,123,-21
201709,66,33
201710,12,10
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,91,63
201806,135,35
201807,236,47
201808,237,93
201809,79,46
201810,0,-2
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,20,-8
201906,85,-15
201907,279,90
201908,163,19
201909,84,51
201910,3,1
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,22,-6
202006,148,48
202007,308,119
202008,196,52
202009,25,-8
202010,0,-2
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,24,-4
202106,182,82
202107,201,12
202108,267,123
202109,67,34
202110,21,19
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,58,30
202206,132,32
202207,222,33
202208,202,58
202209,55,22
202210,0,-2
202211,0,0
202212,0,0
