#  Michigan Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.04,1.23
199702,2.67,1.17
199703,2.16,0.12
199704,1.14,-1.46
199705,3.69,0.60
199706,2.46,-0.82
199707,2.87,-0.17
199708,3.82,0.70
199709,3.29,-0.09
199710,2.01,-0.69
199711,1.65,-0.92
199712,1.13,-0.88
199801,2.82,1.01
199802,1.32,-0.18
199803,3.80,1.76
199804,2.27,-0.33
199805,2.11,-0.98
199806,2.95,-0.33
199807,1.93,-1.11
199808,3.18,0.06
199809,2.44,-0.94
199810,2.79,0.09
199811,2.24,-0.33
199812,1.71,-0.30
199901,3.31,1.50
199902,1.45,-0.05
199903,0.82,-1.22
199904,3.29,0.69
199905,3.13,0.04
199906,3.90,0.62
199907,4.92,1.88
199908,2.55,-0.57
199909,2.74,-0.64
199910,1.92,-0.78
199911,1.18,-1.39
199912,2.19,0.18
200001,1.68,-0.13
200002,1.42,-0.08
200003,1.62,-0.42
200004,2.41,-0.19
200005,4.64,1.55
200006,4.07,0.79
200007,3.45,0.41
200008,2.85,-0.27
200009,3.95,0.57
200010,1.63,-1.07
200011,2.77,0.20
200012,2.53,0.52
200101,1.23,-0.58
200102,2.63,1.13
200103,0.71,-1.33
200104,3.12,0.52
200105,4.71,1.62
200106,3.24,-0.04
200107,2.02,-1.02
200108,3.38,0.26
200109,4.25,0.87
200110,5.47,2.77
200111,2.44,-0.13
200112,1.97,-0.04
200201,1.12,-0.69
200202,2.13,0.63
200203,2.59,0.55
200204,3.57,0.97
200205,3.83,0.74
200206,3.01,-0.27
200207,3.22,0.18
200208,3.51,0.39
200209,2.13,-1.25
200210,3.07,0.37
200211,1.58,-0.99
200212,1.14,-0.87
200301,0.86,-0.95
200302,1.06,-0.44
200303,1.97,-0.07
200304,2.79,0.19
200305,3.99,0.90
200306,2.21,-1.07
200307,3.34,0.30
200308,2.69,-0.43
200309,3.33,-0.05
200310,2.31,-0.39
200311,4.60,2.03
200312,1.93,-0.08
200401,2.03,0.22
200402,1.20,-0.30
200403,3.17,1.13
200404,2.06,-0.54
200405,6.64,3.55
200406,3.27,-0.01
200407,3.30,0.26
200408,3.17,0.05
200409,1.07,-2.31
200410,3.73,1.03
200411,2.79,0.22
200412,2.92,0.91
200501,2.93,1.12
200502,1.78,0.28
200503,1.20,-0.84
200504,1.36,-1.24
200505,2.05,-1.04
200506,2.87,-0.41
200507,3.69,0.65
200508,2.59,-0.53
200509,3.58,0.20
200510,1.73,-0.97
200511,4.15,1.58
200512,1.96,-0.05
200601,3.00,1.19
200602,1.80,0.30
200603,2.21,0.17
200604,2.10,-0.50
200605,4.63,1.54
200606,2.42,-0.86
200607,3.82,0.78
200608,3.13,0.01
200609,3.35,-0.03
200610,4.20,1.50
200611,2.34,-0.23
200612,2.85,0.84
200701,2.19,0.38
200702,0.96,-0.54
200703,2.51,0.47
200704,3.00,0.40
200705,2.31,-0.78
200706,2.67,-0.61
200707,2.04,-1.00
200708,4.11,0.99
200709,2.84,-0.54
200710,3.80,1.10
200711,1.61,-0.96
200712,2.62,0.61
200801,3.19,1.38
200802,2.56,1.06
200803,1.50,-0.54
