#  Michigan Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.00,3.09
199702,3.55,3.60
199703,3.30,3.34
199704,-0.79,-0.77
199705,0.83,0.76
199706,-0.66,-0.54
199707,-0.67,-0.57
199708,-0.14,0.01
199709,-0.23,-0.07
199710,-0.58,-0.49
199711,-1.24,-1.05
199712,-1.93,-1.72
199801,0.73,0.82
199802,0.52,0.57
199803,1.67,1.71
199804,-0.47,-0.45
199805,-1.45,-1.52
199806,-1.66,-1.54
199807,-2.41,-2.31
199808,-2.65,-2.50
199809,-3.40,-3.24
199810,-3.53,-3.44
199811,-4.27,-4.08
199812,-4.78,-4.57
199901,-3.52,-3.43
199902,-3.19,-3.14
199903,-3.66,-3.62
199904,-3.12,-3.10
199905,-3.04,-3.11
199906,-2.59,-2.47
199907,-1.15,-1.05
199908,-1.26,-1.11
199909,-1.55,-1.39
199910,-1.78,-1.69
199911,-2.98,-2.79
199912,-3.21,-3.00
200001,-2.97,-2.88
200002,-2.73,-2.68
200003,-3.17,-3.13
200004,-2.98,-2.96
200005,0.73,0.66
200006,1.09,1.21
200007,1.59,1.69
200008,1.38,1.53
200009,1.63,1.79
200010,0.98,1.07
200011,0.90,1.09
200012,1.28,1.49
200101,0.81,0.90
200102,1.55,1.60
200103,-0.88,-0.84
200104,0.03,0.05
200105,0.75,0.68
200106,-0.12,0.00
200107,-0.60,-0.50
200108,-0.80,-0.65
200109,0.37,0.53
200110,1.81,1.90
200111,1.67,1.86
200112,1.61,1.82
200201,1.03,1.12
200202,1.38,1.43
200203,1.66,1.70
200204,2.01,2.03
200205,2.55,2.48
200206,-0.33,-0.21
200207,-0.33,-0.23
200208,-0.33,-0.18
200209,-1.40,-1.24
200210,-1.16,-1.07
200211,-1.81,-1.62
200212,-2.46,-2.25
200301,-2.86,-2.77
200302,-2.88,-2.83
200303,-2.60,-2.56
200304,-2.15,-2.13
200305,-1.31,-1.38
200306,-1.75,-1.63
200307,-1.32,-1.22
200308,-1.72,-1.57
200309,-1.76,-1.60
200310,-1.88,-1.79
200311,0.71,0.90
200312,0.73,0.94
200401,0.87,0.96
200402,0.56,0.61
200403,1.16,1.20
200404,-0.49,-0.47
200405,2.09,2.02
200406,1.94,2.06
200407,2.21,2.31
200408,2.21,2.36
200409,-1.52,-1.36
200410,0.27,0.36
200411,0.14,0.33
200412,0.84,1.05
200501,1.59,1.68
200502,1.64,1.69
200503,-0.54,-0.50
200504,-1.58,-1.56
200505,-2.03,-2.10
200506,-2.53,-2.41
200507,-2.21,-2.11
200508,-2.72,-2.57
200509,-2.86,-2.70
200510,-3.53,-3.44
200511,-3.23,-3.04
200512,-3.17,-2.96
200601,0.89,0.98
200602,1.02,1.07
200603,1.04,1.08
200604,0.22,0.24
200605,0.96,0.89
200606,0.26,0.38
200607,0.56,0.66
200608,0.30,0.45
200609,0.22,0.38
200610,1.08,1.17
200611,1.05,1.24
200612,1.61,1.82
200701,1.77,1.86
200702,-0.39,-0.34
200703,0.18,0.22
200704,0.44,0.46
200705,-0.72,-0.79
200706,-1.33,-1.21
200707,-2.05,-1.95
200708,-1.73,-1.58
200709,-2.27,-2.11
200710,-2.15,-2.06
200711,-2.95,-2.76
200712,-2.82,-2.61
200801,1.02,1.11
200802,1.69,1.74
200803,1.18,1.22
200804,1.25,1.27
200805,0.92,0.85
200806,1.54,1.66
200807,2.07,2.17
200808,1.07,1.22
200809,1.81,1.97
200810,1.63,1.72
200811,1.49,1.68
200812,2.87,3.08
200901,2.30,2.39
200902,2.72,2.77
200903,2.67,2.71
200904,3.17,3.19
200905,2.80,2.73
200906,2.69,2.81
200907,2.40,2.50
200908,3.11,3.26
200909,1.90,2.06
200910,3.17,3.26
200911,-0.61,-0.42
200912,-0.20,0.01
201001,-0.71,-0.62
201002,-0.98,-0.93
201003,-2.12,-2.08
201004,-2.74,-2.72
201005,-0.05,-0.12
201006,1.42,1.54
201007,2.09,2.19
201008,1.30,1.45
201009,1.98,2.14
201010,-0.21,-0.12
201011,-0.41,-0.22
201012,-0.59,-0.38
201101,-0.73,-0.64
201102,0.02,0.07
201103,0.18,0.22
201104,1.96,1.98
201105,2.38,2.31
201106,2.27,2.39
201107,2.00,2.10
201108,1.56,1.71
201109,1.46,1.62
201110,1.53,1.62
201111,1.54,1.73
201112,1.44,1.65
201201,1.64,1.73
201202,-0.14,-0.09
201203,-0.62,-0.58
201204,-1.13,-1.11
201205,-1.42,-1.49
201206,-1.69,-1.57
201207,-1.55,-1.45
201208,-1.93,-1.78
201209,-2.36,-2.20
201210,-1.36,-1.27
201211,-2.11,-1.92
201212,0.11,0.32
201301,1.20,1.29
201302,1.64,1.69
201303,1.05,1.09
201304,3.10,3.12
201305,2.90,2.83
201306,2.79,2.91
201307,3.01,3.11
201308,2.63,2.78
201309,1.48,1.64
201310,1.73,1.82
201311,2.39,2.58
201312,2.40,2.61
201401,2.50,2.59
201402,2.30,2.35
201403,1.65,1.69
201404,2.32,2.34
201405,2.31,2.24
201406,2.25,2.37
201407,2.68,2.78
201408,2.76,2.91
201409,2.86,3.02
201410,3.58,3.67
201411,4.43,4.62
201412,-0.01,0.20
201501,-0.31,-0.22
201502,-0.67,-0.62
201503,-1.36,-1.32
201504,-1.39,-1.37
201505,-0.85,-0.92
201506,-0.27,-0.15
201507,-0.32,-0.22
201508,-0.23,-0.08
201509,-0.85,-0.69
201510,-1.05,-0.96
201511,-1.25,-1.06
201512,0.87,1.08
201601,0.78,0.87
201602,0.97,1.02
201603,1.74,1.78
201604,1.79,1.81
201605,-0.36,-0.43
201606,-0.94,-0.82
201607,0.34,0.44
201608,1.07,1.22
201609,0.96,1.12
201610,1.08,1.17
201611,-0.57,-0.38
201612,0.22,0.43
201701,0.93,1.02
201702,1.22,1.27
201703,1.75,1.79
201704,2.32,2.34
201705,2.32,2.25
201706,2.78,2.90
201707,2.55,2.65
201708,2.60,2.75
