#  Michigan Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.00,3.15
199702,3.55,3.71
199703,3.30,3.48
199704,1.17,1.28
199705,2.72,2.78
199706,0.91,1.03
199707,0.52,0.41
199708,1.34,1.39
199709,0.89,1.08
199710,-0.08,0.07
199711,-1.24,-1.08
199712,-1.93,-1.73
199801,0.09,0.24
199802,-0.11,0.05
199803,1.67,1.85
199804,0.24,0.35
199805,-1.45,-1.39
199806,-1.66,-1.54
199807,-2.41,-2.52
199808,-2.65,-2.60
199809,-3.40,-3.21
199810,-3.53,-3.38
199811,-4.27,-4.11
199812,-4.78,-4.58
199901,-2.59,-2.44
199902,-2.27,-2.11
199903,-3.57,-3.39
199904,-2.79,-2.68
199905,-2.90,-2.84
199906,-2.25,-2.13
199907,0.59,0.48
199908,0.16,0.21
199909,-0.59,-0.40
199910,-1.18,-1.03
199911,-2.98,-2.82
199912,-3.21,-3.01
200001,-2.97,-2.82
200002,-2.73,-2.57
200003,-3.17,-2.99
200004,-2.98,-2.87
200005,-0.99,-0.93
200006,0.19,0.31
200007,1.57,1.46
200008,1.38,1.43
200009,1.63,1.82
200010,0.17,0.32
200011,0.09,0.25
200012,1.08,1.28
200101,0.03,0.18
200102,1.55,1.71
200103,-0.88,-0.70
200104,-0.75,-0.64
200105,0.75,0.81
200106,0.56,0.68
200107,-0.60,-0.71
200108,-0.80,-0.75
200109,0.37,0.56
200110,1.81,1.96
200111,1.66,1.82
200112,1.61,1.81
200201,0.31,0.46
200202,1.29,1.45
200203,1.66,1.84
200204,2.01,2.12
200205,2.55,2.61
200206,1.46,1.58
200207,1.15,1.04
200208,0.84,0.89
200209,-1.40,-1.21
200210,-0.92,-0.77
200211,-1.81,-1.65
200212,-2.46,-2.26
200301,-2.86,-2.71
200302,-2.88,-2.72
200303,-2.55,-2.37
200304,-1.82,-1.71
200305,-0.15,-0.09
200306,-1.27,-1.15
200307,-0.52,-0.63
200308,-1.44,-1.39
200309,-1.67,-1.48
200310,-1.88,-1.73
200311,0.11,0.27
200312,0.43,0.63
200401,0.87,1.02
200402,0.56,0.72
200403,1.16,1.34
200404,-0.49,-0.38
200405,2.09,2.15
200406,1.94,2.06
200407,2.21,2.10
200408,2.21,2.26
200409,-1.52,-1.33
200410,-0.58,-0.43
200411,-0.68,-0.52
200412,0.84,1.04
200501,1.59,1.74
200502,1.64,1.80
200503,0.04,0.22
200504,-1.58,-1.47
200505,-2.03,-1.97
200506,-2.53,-2.41
200507,-2.08,-2.19
200508,-2.72,-2.67
200509,-2.86,-2.67
200510,-3.53,-3.38
200511,-3.23,-3.07
200512,-3.17,-2.97
200601,-0.81,-0.66
200602,-0.13,0.03
200603,0.28,0.46
200604,-1.09,-0.98
200605,0.63,0.69
200606,-0.50,-0.38
200607,0.24,0.13
200608,-0.08,-0.03
200609,-0.09,0.10
200610,1.08,1.23
200611,1.05,1.21
200612,1.61,1.81
200701,1.77,1.92
200702,0.55,0.71
200703,0.81,0.99
200704,1.28,1.39
200705,-0.72,-0.66
200706,-1.33,-1.21
200707,-2.05,-2.16
200708,-1.52,-1.47
200709,-2.27,-2.08
200710,-2.15,-2.00
200711,-2.95,-2.79
200712,-2.82,-2.62
200801,-0.18,-0.03
200802,1.65,1.81
200803,0.86,1.04
200804,1.22,1.33
200805,0.77,0.83
200806,1.54,1.66
200807,2.07,1.96
200808,-0.06,-0.01
200809,1.75,1.94
200810,1.51,1.66
200811,1.34,1.50
200812,2.87,3.07
200901,1.89,2.04
200902,2.72,2.88
200903,2.67,2.85
200904,3.17,3.28
200905,2.68,2.74
200906,2.69,2.81
200907,2.33,2.22
200908,3.11,3.16
200909,0.75,0.94
200910,3.17,3.32
200911,1.42,1.58
200912,1.93,2.13
201001,0.47,0.62
201002,-0.39,-0.23
201003,-2.12,-1.94
201004,-2.74,-2.63
201005,-2.50,-2.44
201006,1.07,1.19
201007,2.09,1.98
201008,0.46,0.51
201009,1.98,2.17
201010,1.21,1.36
201011,0.46,0.62
201012,-0.20,0.00
201101,-0.72,-0.57
201102,-0.63,-0.47
201103,-0.41,-0.23
201104,1.96,2.07
201105,2.38,2.44
201106,2.27,2.39
201107,1.89,1.78
201108,1.07,1.12
201109,1.01,1.20
201110,1.28,1.43
201111,1.44,1.60
201112,1.35,1.55
201201,1.64,1.79
201202,1.05,1.21
201203,-0.40,-0.22
201204,-1.13,-1.02
201205,-1.42,-1.36
201206,-1.69,-1.57
201207,-1.52,-1.63
201208,-1.93,-1.88
201209,-2.36,-2.17
201210,-0.30,-0.15
201211,-2.11,-1.95
201212,-1.57,-1.37
201301,1.20,1.35
201302,1.64,1.80
201303,0.32,0.50
201304,3.10,3.21
201305,2.90,2.96
201306,2.79,2.91
201307,3.01,2.90
201308,2.47,2.52
201309,0.20,0.39
201310,0.93,1.08
201311,2.39,2.55
201312,2.40,2.60
201401,2.50,2.65
201402,2.30,2.46
201403,1.05,1.23
201404,2.32,2.43
201405,2.31,2.37
201406,2.25,2.37
201407,2.68,2.57
201408,2.76,2.81
201409,2.86,3.05
201410,3.58,3.73
201411,4.43,4.59
201412,3.91,4.11
201501,2.78,2.93
201502,1.58,1.74
201503,-0.31,-0.13
201504,-0.73,-0.62
201505,0.01,0.07
201506,0.84,0.96
201507,0.50,0.39
201508,0.47,0.52
201509,-0.77,-0.58
201510,-1.05,-0.90
201511,-1.25,-1.09
201512,0.87,1.07
201601,0.78,0.93
201602,0.97,1.13
201603,1.74,1.92
201604,1.79,1.90
201605,0.66,0.72
201606,-0.94,-0.82
201607,-0.50,-0.61
201608,1.07,1.12
201609,0.86,1.05
201610,1.08,1.23
201611,-0.57,-0.41
201612,-0.29,-0.09
201701,0.93,1.08
201702,1.22,1.38
201703,1.75,1.93
201704,2.32,2.43
201705,2.32,2.38
201706,2.78,2.90
201707,2.55,2.44
201708,2.60,2.65
201709,-0.44,-0.25
201710,2.71,2.86
201711,3.10,3.26
201712,2.84,3.04
201801,2.52,2.67
201802,3.36,3.52
201803,1.67,1.85
201804,2.94,3.05
201805,2.88,2.94
201806,1.75,1.87
201807,0.79,0.68
201808,1.48,1.53
201809,0.71,0.90
201810,2.58,2.73
201811,2.94,3.10
201812,2.65,2.85
201901,2.79,2.94
201902,3.55,3.71
201903,2.86,3.04
201904,3.38,3.49
201905,4.16,4.22
201906,4.27,4.39
201907,3.92,3.81
201908,2.54,2.59
201909,3.49,3.68
201910,4.85,5.00
201911,5.09,5.25
201912,5.60,5.80
202001,5.80,5.95
202002,4.43,4.59
202003,4.68,4.86
202004,4.66,4.77
202005,4.82,4.88
202006,3.60,3.72
202007,4.02,3.91
202008,3.81,3.86
202009,2.95,3.14
202010,3.57,3.72
