#  Michigan Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.75,2.70
199702,2.56,2.57
199703,0.36,0.39
199704,-2.36,-2.42
199705,2.50,2.41
199706,-1.98,-1.86
199707,-0.24,-0.50
199708,1.39,1.59
199709,-0.31,-0.13
199710,-1.14,-1.16
199711,-2.15,-2.02
199712,-2.47,-2.26
199801,2.19,2.14
199802,-0.39,-0.38
199803,3.60,3.63
199804,-1.41,-1.47
199805,-3.07,-3.16
199806,-1.08,-0.96
199807,-2.75,-3.01
199808,-1.46,-1.26
199809,-3.08,-2.90
199810,-1.43,-1.45
199811,-3.32,-3.19
199812,-2.85,-2.64
199901,2.31,2.26
199902,-0.11,-0.10
199903,-2.40,-2.37
199904,0.49,0.43
199905,-0.70,-0.79
199906,0.39,0.51
199907,3.51,3.25
199908,-0.68,-0.48
199909,-1.26,-1.08
199910,-1.17,-1.19
199911,-4.13,-4.00
199912,-1.63,-1.42
200001,-0.28,-0.33
200002,-0.17,-0.16
200003,-2.17,-2.14
200004,-0.41,-0.47
200005,2.18,2.09
200006,1.30,1.42
200007,1.83,1.57
200008,-0.14,0.06
200009,1.20,1.38
200010,-1.46,-1.48
200011,0.07,0.20
200012,1.42,1.63
200101,-1.03,-1.08
200102,2.48,2.49
200103,-2.63,-2.60
200104,0.10,0.04
200105,2.17,2.08
200106,-0.35,-0.23
200107,-1.49,-1.75
200108,-0.79,-0.59
200109,1.12,1.30
200110,4.42,4.40
200111,0.13,0.26
200112,0.36,0.57
200201,-1.26,-1.31
200202,1.38,1.39
200203,1.25,1.28
200204,1.56,1.50
200205,2.25,2.16
200206,-1.00,-0.88
200207,-0.08,-0.34
200208,-0.11,0.09
200209,-3.30,-3.12
200210,0.28,0.26
200211,-2.31,-2.18
200212,-2.51,-2.30
200301,-1.96,-2.01
200302,-0.96,-0.95
200303,-0.03,0.00
200304,0.53,0.47
200305,1.87,1.78
200306,-1.73,-1.61
200307,0.74,0.48
200308,-1.59,-1.39
200309,-0.65,-0.47
200310,-0.90,-0.92
200311,2.13,2.26
200312,0.29,0.50
200401,0.64,0.59
200402,-0.65,-0.64
200403,1.96,1.99
200404,-1.47,-1.53
200405,6.28,6.19
200406,0.17,0.29
200407,1.43,1.17
200408,0.68,0.88
200409,-4.56,-4.38
200410,0.82,0.80
200411,-0.33,-0.20
200412,2.15,2.36
200501,2.52,2.47
200502,0.62,0.63
200503,-1.62,-1.59
200504,-3.29,-3.35
200505,-1.85,-1.94
200506,-2.10,-1.98
200507,0.16,-0.10
200508,-2.21,-2.01
200509,-1.25,-1.07
200510,-2.92,-2.94
200511,-0.17,-0.04
200512,-0.82,-0.61
200601,2.67,2.62
200602,0.66,0.67
200603,0.40,0.43
200604,-2.15,-2.21
200605,2.27,2.18
200606,-1.79,-1.67
200607,0.98,0.72
200608,-0.62,-0.42
200609,-0.14,0.04
200610,2.66,2.64
200611,0.23,0.36
200612,2.02,2.23
200701,0.98,0.93
200702,-1.18,-1.17
200703,0.53,0.56
200704,0.84,0.78
200705,-2.15,-2.24
200706,-2.07,-1.95
200707,-2.56,-2.82
200708,0.31,0.51
200709,-2.16,-1.98
200710,-0.33,-0.35
200711,-3.07,-2.94
200712,-0.52,-0.31
200801,3.06,3.01
200802,2.32,2.33
200803,-1.00,-0.97
200804,0.57,0.51
200805,-0.60,-0.69
200806,2.13,2.25
200807,2.07,1.81
200808,-2.34,-2.14
200809,2.53,2.71
200810,0.02,0.00
200811,0.08,0.21
200812,4.62,4.83
200901,-0.84,-0.89
200902,1.97,1.98
200903,0.69,0.72
200904,2.32,2.26
200905,-0.14,-0.23
200906,0.54,0.66
200907,-0.02,-0.28
200908,2.86,3.06
200909,-2.68,-2.50
200910,4.40,4.38
200911,-1.84,-1.71
200912,1.06,1.27
201001,-1.61,-1.66
201002,-1.00,-0.99
201003,-3.74,-3.71
201004,-2.51,-2.57
201005,-0.15,-0.24
201006,4.26,4.38
201007,2.43,2.17
201008,-1.71,-1.51
201009,2.45,2.63
201010,-0.62,-0.64
201011,-0.67,-0.54
201012,-0.66,-0.45
201101,-0.61,-0.66
201102,0.07,0.08
201103,0.47,0.50
201104,5.40,5.34
201105,1.86,1.77
201106,0.42,0.54
201107,-0.11,-0.37
201108,-0.71,-0.51
201109,0.20,0.38
201110,0.64,0.62
201111,0.52,0.65
201112,0.17,0.38
201201,1.04,0.99
201202,-0.41,-0.40
201203,-1.49,-1.46
201204,-1.72,-1.78
201205,-1.21,-1.30
201206,-1.27,-1.15
201207,-0.09,-0.35
201208,-1.61,-1.41
201209,-1.88,-1.70
201210,2.27,2.25
201211,-2.69,-2.56
201212,0.33,0.54
201301,3.29,3.24
201302,1.71,1.72
201303,-1.29,-1.26
201304,6.48,6.42
201305,0.37,0.28
201306,0.55,0.67
201307,1.54,1.28
201308,-0.23,-0.03
201309,-2.63,-2.45
201310,1.21,1.19
201311,2.51,2.64
201312,0.78,0.99
201401,1.02,0.97
201402,0.18,0.19
201403,-1.22,-1.19
201404,2.52,2.46
201405,0.68,0.59
201406,0.52,0.64
201407,1.98,1.72
201408,1.09,1.29
201409,1.14,1.32
201410,3.04,3.02
201411,3.67,3.80
201412,-0.02,0.19
201501,-0.92,-0.97
201502,-1.16,-1.15
201503,-2.30,-2.27
201504,-0.49,-0.55
201505,1.18,1.09
201506,1.48,1.60
201507,-0.25,-0.51
201508,0.17,0.37
201509,-1.91,-1.73
201510,-0.88,-0.90
201511,-0.93,-0.80
201512,2.60,2.81
201601,0.02,-0.03
201602,0.81,0.82
201603,2.61,2.64
201604,0.69,0.63
201605,-1.07,-1.16
201606,-1.86,-1.74
201607,1.03,0.77
201608,2.29,2.49
201609,0.00,0.18
201610,0.65,0.63
201611,-1.71,-1.58
201612,0.66,0.87
201701,2.21,2.16
201702,1.14,1.15
201703,1.97,2.00
201704,2.24,2.18
201705,0.72,0.63
201706,2.11,2.23
201707,0.16,-0.10
201708,0.95,1.15
201709,-3.58,-3.40
201710,5.06,5.04
201711,1.99,2.12
201712,0.19,0.40
201801,0.04,-0.01
201802,3.20,3.21
201803,-1.76,-1.73
201804,2.27,2.21
201805,0.73,0.64
201806,-1.03,-0.91
201807,-0.92,-1.18
201808,1.22,1.42
201809,-0.73,-0.55
201810,3.73,3.71
201811,1.88,2.01
201812,0.10,0.31
201901,1.18,1.13
201902,3.13,3.14
201903,-0.36,-0.33
201904,1.91,1.85
201905,3.38,3.29
201906,1.61,1.73
201907,0.26,0.00
201908,-1.27,-1.07
201909,2.15,2.33
201910,5.16,5.14
201911,2.23,2.36
201912,3.09,3.30
202001,2.33,2.28
202002,-1.02,-1.01
202003,1.15,1.18
202004,1.21,1.15
202005,1.90,1.81
202006,-0.94,-0.82
202007,1.27,1.01
202008,0.62,0.82
202009,-0.56,-0.38
202010,2.02,2.00
202011,-0.67,-0.54
202012,-0.17,0.04
202101,-1.40,-1.45
202102,-0.48,-0.47
202103,-1.77,-1.74
202104,-1.64,-1.70
202105,-1.81,-1.90
202106,1.89,2.01
202107,2.65,2.39
202108,0.91,1.11
202109,0.09,0.27
202110,1.06,1.04
202111,-0.76,-0.63
202112,1.44,1.65
202201,-1.61,-1.66
202202,1.14,1.15
202203,2.88,2.91
202204,2.18,2.12
202205,-0.47,-0.56
202206,-1.56,-1.44
202207,-0.35,-0.61
202208,0.88,1.08
202209,-2.25,-2.07
202210,-0.36,-0.38
202211,-1.63,-1.50
202212,-0.63,-0.42
