#  Minnesota Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1812,51
199702,1347,-92
199703,1200,14
199704,743,62
199705,462,125
199706,58,-47
199707,38,4
199708,82,21
199709,167,-73
199710,549,-44
199711,1168,94
199712,1250,-317
199801,1528,-233
199802,986,-453
199803,1116,-70
199804,528,-153
199805,179,-158
199806,125,20
199807,27,-7
199808,30,-31
199809,112,-128
199810,505,-88
199811,932,-142
199812,1344,-223
199901,1731,-30
199902,1133,-306
199903,1036,-150
199904,587,-94
199905,262,-75
199906,91,-14
199907,12,-22
199908,55,-6
199909,237,-3
199910,608,15
199911,793,-281
199912,1323,-244
200001,1645,-116
200002,1151,-288
200003,856,-330
200004,657,-24
200005,266,-71
200006,138,33
200007,32,-2
200008,38,-23
200009,239,-1
200010,483,-110
200011,1061,-13
200012,1881,314
200101,1489,-272
200102,1587,148
200103,1235,49
200104,616,-65
200105,274,-63
200106,81,-24
200107,18,-16
200108,23,-38
200109,232,-8
200110,603,10
200111,680,-394
200112,1262,-305
200201,1387,-374
200202,1119,-320
200203,1364,178
200204,702,21
200205,448,111
200206,57,-48
200207,10,-24
200208,53,-8
200209,151,-89
200210,805,212
200211,1069,-5
200212,1313,-254
200301,1653,-108
200302,1486,47
200303,1166,-20
200304,633,-48
200305,340,3
200306,104,-1
200307,28,-6
200308,19,-42
200309,205,-35
200310,540,-53
200311,1091,17
200312,1336,-231
200401,1787,26
200402,1309,-130
200403,1012,-174
200404,602,-79
200405,404,67
200406,150,45
200407,49,15
200408,137,76
200409,113,-127
200410,541,-52
200411,898,-176
200412,1445,-122
200501,1708,-53
200502,1194,-245
200503,1166,-20
200504,506,-175
200505,388,51
200506,45,-60
200507,15,-19
200508,49,-12
200509,125,-115
200510,508,-85
200511,945,-129
200512,1478,-89
200601,1227,-534
200602,1401,-38
200603,1055,-131
200604,470,-211
200605,265,-72
200606,72,-33
200607,6,-28
200608,36,-25
200609,259,19
200610,684,91
200611,950,-124
200612,1226,-341
200701,1513,-248
200702,1561,122
200703,986,-200
200704,675,-6
200705,216,-121
200706,49,-56
200707,17,-17
200708,48,-13
200709,173,-67
200710,448,-145
200711,999,-75
200712,1613,46
200801,1709,-52
200802,1510,71
200803,1250,64
200804,733,52
200805,400,63
200806,108,3
200807,30,-4
200808,49,-12
200809,188,-52
200810,566,-27
200811,993,-81
200812,1736,169
200901,1915,154
200902,1343,-96
200903,1153,-33
200904,653,-28
200905,331,-6
200906,121,16
200907,86,52
200908,84,23
200909,115,-125
200910,754,161
200911,783,-291
200912,1582,15
201001,1708,-53
201002,1404,-35
201003,869,-317
201004,436,-245
201005,282,-55
201006,96,-9
201007,16,-18
201008,17,-44
201009,279,39
201010,475,-118
201011,991,-83
201012,1618,51
201101,1793,32
201102,1403,-36
201103,1238,52
201104,680,-1
201105,348,11
201106,106,1
201107,7,-27
201108,34,-27
201109,223,-17
201110,447,-146
201111,917,-157
201112,1276,-291
201201,1408,-353
201202,1137,-302
201203,682,-504
201204,563,-118
201205,225,-112
201206,57,-48
201207,1,-33
201208,49,-12
201209,220,-20
201210,649,56
201211,968,-106
201212,1428,-139
201301,1611,-150
201302,1407,-32
201303,1330,144
201304,886,205
201305,365,28
201306,103,-2
201307,26,-8
201308,36,-25
201309,133,-107
201310,597,4
201311,1088,14
201312,1790,223
201401,1909,148
201402,1682,243
201403,1368,182
201404,780,99
201405,328,-9
201406,79,-26
201407,49,15
201408,43,-18
201409,200,-40
201410,577,-16
201411,1276,202
201412,1336,-231
201501,1548,-213
201502,1618,179
201503,1042,-144
201504,586,-95
201505,329,-8
201506,87,-18
201507,24,-10
201508,63,2
201509,89,-151
201510,516,-77
201511,805,-269
201512,1182,-385
201601,1592,-169
201602,1230,-209
201603,870,-316
201604,638,-43
201605,282,-55
201606,76,-29
201607,24,-10
201608,32,-29
201609,144,-96
201610,493,-100
201611,727,-347
201612,1486,-81
201701,1509,-252
201702,1098,-341
201703,1100,-86
201704,584,-97
201705,352,15
201706,84,-21
201707,27,-7
201708,94,33
201709,135,-105
201710,528,-65
201711,1082,8
201712,1552,-15
201801,1655,-106
201802,1526,87
201803,1130,-56
201804,959,278
201805,169,-168
201806,60,-45
201807,22,-12
201808,38,-23
201809,168,-72
201810,719,126
201811,1224,150
201812,1338,-229
201901,1743,-18
201902,1604,165
201903,1273,87
201904,683,2
201905,439,102
201906,92,-13
201907,17,-17
201908,67,6
201909,153,-87
201910,668,75
201911,1143,69
201912,1444,-123
202001,1514,-247
202002,1374,-65
202003,1009,-177
202004,729,48
202005,342,5
202006,48,-57
202007,12,-22
202008,33,-28
202009,247,7
202010,779,186
202011,887,-187
202012,1336,-231
202101,1428,-333
202102,1600,161
202103,885,-301
202104,652,-29
202105,312,-25
202106,26,-79
202107,16,-18
202108,24,-37
202109,135,-105
202110,403,-190
202111,954,-120
202112,1391,-176
202201,1861,100
202202,1580,141
202203,1156,-30
202204,841,160
202205,291,-46
202206,65,-40
202207,23,-11
202208,44,-17
202209,156,-84
202210,536,-57
202211,998,-76
202212,1572,5
