#  Minnesota Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.94,3.62
199702,3.42,3.05
199703,3.26,2.94
199704,2.74,2.48
199705,2.28,1.99
199706,1.95,1.66
199707,2.79,2.39
199708,2.46,2.17
199709,1.99,1.66
199710,2.07,1.76
199711,1.83,1.52
199712,1.37,1.08
199801,1.49,1.17
199802,1.86,1.49
199803,2.10,1.78
199804,1.21,0.95
199805,1.08,0.79
199806,1.81,1.52
199807,1.60,1.20
199808,1.13,0.84
199809,-1.18,-1.51
199810,1.07,0.76
199811,1.42,1.11
199812,1.40,1.11
199901,1.81,1.49
199902,1.63,1.26
199903,1.58,1.26
199904,1.66,1.40
199905,2.42,2.13
199906,2.33,2.04
199907,3.30,2.90
199908,3.53,3.24
199909,3.78,3.45
199910,3.36,3.05
199911,2.52,2.21
199912,2.09,1.80
200001,1.97,1.65
200002,2.26,1.89
200003,1.81,1.49
200004,1.19,0.93
200005,1.25,0.96
200006,1.84,1.55
200007,1.99,1.59
200008,1.85,1.56
200009,1.09,0.76
200010,0.86,0.55
200011,2.14,1.83
200012,2.30,2.01
200101,2.37,2.05
200102,2.84,2.47
200103,2.16,1.84
200104,3.81,3.55
200105,3.85,3.56
200106,3.35,3.06
200107,2.97,2.57
200108,2.20,1.91
200109,1.62,1.29
200110,1.44,1.13
200111,1.22,0.91
200112,0.82,0.53
200201,-1.38,-1.70
200202,-1.44,-1.81
200203,-1.43,-1.75
200204,-1.10,-1.36
200205,-1.11,-1.40
200206,1.01,0.72
200207,1.70,1.30
200208,2.75,2.46
200209,2.38,2.05
200210,3.15,2.84
200211,2.64,2.33
200212,2.35,2.06
200301,1.96,1.64
200302,1.75,1.38
200303,1.45,1.13
200304,1.16,0.90
200305,1.35,1.06
200306,1.65,1.36
200307,1.48,1.08
200308,-1.35,-1.64
200309,-1.35,-1.68
200310,-1.91,-2.22
200311,-2.33,-2.64
200312,-2.60,-2.89
200401,-2.81,-3.13
200402,-2.83,-3.20
200403,-2.83,-3.15
200404,-3.12,-3.38
200405,-1.06,-1.35
200406,-1.38,-1.67
200407,-0.66,-1.06
200408,1.47,1.18
200409,2.62,2.29
200410,3.17,2.86
200411,2.81,2.50
200412,2.86,2.57
200501,3.31,2.99
200502,3.23,2.86
200503,2.68,2.36
200504,1.89,1.63
200505,2.42,2.13
200506,2.84,2.55
200507,2.11,1.71
200508,1.84,1.55
200509,2.31,1.98
200510,2.67,2.36
200511,3.57,3.26
200512,3.72,3.43
200601,3.39,3.07
200602,3.12,2.75
200603,3.27,2.95
200604,2.79,2.53
200605,2.09,1.80
200606,1.00,0.71
200607,-2.49,-2.89
200608,-2.54,-2.83
200609,-2.28,-2.61
200610,-2.50,-2.81
200611,-2.95,-3.26
200612,-2.72,-3.01
200701,-3.07,-3.39
