#  Minnesota Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.94,3.62
199702,3.23,2.83
199703,3.23,2.96
199704,2.43,2.28
199705,1.70,1.52
199706,1.22,1.04
199707,2.79,2.47
199708,2.34,2.13
199709,1.54,1.29
199710,1.91,1.63
199711,1.57,1.27
199712,0.71,0.44
199801,1.11,0.79
199802,1.86,1.46
199803,2.10,1.83
199804,0.23,0.08
199805,0.06,-0.12
199806,1.81,1.63
199807,1.48,1.16
199808,0.51,0.30
199809,-1.18,-1.43
199810,1.07,0.79
199811,1.42,1.12
199812,1.40,1.13
199901,1.81,1.49
199902,1.56,1.16
199903,1.58,1.31
199904,1.66,1.51
199905,2.42,2.24
199906,2.33,2.15
199907,3.30,2.98
199908,3.53,3.32
199909,3.78,3.53
199910,3.25,2.97
199911,1.78,1.48
199912,1.13,0.86
200001,1.09,0.77
200002,1.86,1.46
200003,1.13,0.86
200004,0.03,-0.12
200005,0.30,0.12
200006,1.48,1.30
200007,1.97,1.65
200008,1.84,1.63
200009,0.20,-0.05
200010,-0.20,-0.48
200011,2.14,1.84
200012,2.30,2.03
200101,2.37,2.05
200102,2.84,2.44
200103,1.62,1.35
200104,3.81,3.66
200105,3.85,3.67
200106,3.17,2.99
200107,2.69,2.37
200108,1.34,1.13
200109,0.32,0.07
200110,0.14,-0.14
200111,-0.12,-0.42
200112,-0.74,-1.01
200201,-1.38,-1.70
200202,-1.44,-1.84
200203,-1.43,-1.70
200204,-0.72,-0.87
200205,-0.85,-1.03
200206,1.01,0.83
200207,1.70,1.38
200208,2.75,2.54
200209,2.21,1.96
200210,3.15,2.87
200211,2.35,2.05
200212,1.99,1.72
200301,1.35,1.03
200302,1.11,0.71
200303,0.62,0.35
200304,0.17,0.02
200305,0.69,0.51
200306,1.33,1.15
200307,1.09,0.77
200308,-1.35,-1.56
200309,-1.35,-1.60
200310,-1.91,-2.19
200311,-2.33,-2.63
200312,-2.60,-2.87
200401,-2.81,-3.13
200402,-2.83,-3.23
200403,-2.83,-3.10
200404,-3.12,-3.27
200405,1.11,0.93
200406,0.20,0.02
200407,1.46,1.14
200408,1.47,1.26
200409,2.62,2.37
200410,3.17,2.89
200411,2.70,2.40
200412,2.86,2.59
200501,3.31,2.99
