#  Minnesota Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,13.8,-2.7
199702,25.6,2.7
199703,34.1,-1.5
199704,50.2,-2.5
199705,61.5,-5.1
199706,79.4,3.9
199707,78.2,-2.5
199708,75.7,-2.5
199709,71.5,3.2
199710,57.0,1.2
199711,31.7,-4.6
199712,30.2,8.5
199801,21.3,4.8
199802,35.4,12.5
199803,35.6,0.0
199804,59.2,6.5
199805,73.8,7.2
199806,72.0,-3.5
199807,80.2,-0.5
199808,80.3,2.1
199809,75.5,7.2
199810,57.2,1.4
199811,39.0,2.7
199812,28.7,7.0
199901,16.4,-0.1
199902,32.8,9.9
199903,40.7,5.1
199904,55.4,2.7
199905,67.8,1.2
199906,74.9,-0.6
199907,82.4,1.7
199908,77.0,-1.2
199909,67.2,-1.1
199910,55.6,-0.2
199911,48.4,12.1
199912,31.1,9.4
200001,20.8,4.3
200002,33.0,10.1
200003,47.4,11.8
200004,53.9,1.2
200005,68.9,2.3
200006,72.6,-2.9
200007,79.4,-1.3
200008,78.8,0.6
200009,69.1,0.8
200010,59.3,3.5
200011,34.7,-1.6
200012,11.4,-10.3
200101,25.1,8.6
200102,17.7,-5.2
200103,34.0,-1.6
200104,53.4,0.7
200105,68.0,1.4
200106,76.2,0.7
200107,81.9,1.2
200108,81.4,3.2
200109,68.3,0.0
200110,54.9,-0.9
200111,50.2,13.9
200112,29.8,8.1
200201,27.0,10.5
200202,34.3,11.4
200203,29.3,-6.3
200204,50.9,-1.8
200205,62.4,-4.2
200206,78.2,2.7
200207,83.3,2.6
200208,76.9,-1.3
200209,71.6,3.3
200210,45.6,-10.2
200211,36.3,0.0
200212,29.7,8.0
200301,19.2,2.7
200302,21.1,-1.8
200303,37.0,1.4
200304,55.6,2.9
200305,66.7,0.1
200306,75.2,-0.3
200307,80.3,-0.4
200308,82.5,4.3
200309,69.5,1.2
200310,58.3,2.5
200311,34.5,-1.8
200312,28.4,6.7
200401,14.5,-2.0
200402,26.2,3.3
200403,40.5,4.9
200404,56.9,4.2
200405,62.5,-4.1
200406,72.0,-3.5
200407,77.8,-2.9
200408,72.1,-6.1
200409,72.9,4.6
200410,56.1,0.3
200411,42.8,6.5
200412,25.8,4.1
200501,17.0,0.5
200502,30.2,7.3
200503,37.4,1.8
200504,59.9,7.2
200505,62.4,-4.2
200506,77.7,2.2
200507,81.9,1.2
200508,77.9,-0.3
200509,73.2,4.9
200510,58.2,2.4
200511,40.8,4.5
200512,23.0,1.3
200601,30.9,14.4
200602,23.5,0.6
200603,37.9,2.3
200604,60.9,8.2
200605,67.7,1.1
200606,77.7,2.2
200607,85.9,5.2
200608,79.3,1.1
200609,67.1,-1.2
200610,52.4,-3.4
200611,41.3,5.0
200612,31.9,10.2
200701,23.1,6.6
200702,17.0,-5.9
200703,41.4,5.8
200704,53.0,0.3
200705,71.1,4.5
200706,78.8,3.3
200707,82.6,1.9
200708,77.7,-0.5
200709,71.1,2.8
200710,58.7,2.9
200711,38.5,2.2
200712,20.0,-1.7
200801,18.2,1.7
200802,20.3,-2.6
200803,33.7,-1.9
200804,50.2,-2.5
200805,63.9,-2.7
200806,74.1,-1.4
200807,80.1,-0.6
200808,79.3,1.1
200809,69.7,1.4
200810,55.9,0.1
200811,38.4,2.1
200812,17.2,-4.5
200901,13.5,-3.0
200902,25.3,2.4
200903,35.8,0.2
200904,52.5,-0.2
200905,66.4,-0.2
200906,73.6,-1.9
200907,75.0,-5.7
200908,75.1,-3.1
200909,74.1,5.8
200910,46.5,-9.3
200911,46.8,10.5
200912,19.1,-2.6
201001,17.2,0.7
201002,24.0,1.1
201003,45.6,10.0
201004,63.3,10.6
201005,67.9,1.3
201006,74.0,-1.5
201007,81.3,0.6
201008,81.1,2.9
201009,65.0,-3.3
201010,61.0,5.2
201011,39.4,3.1
201012,18.9,-2.8
201101,13.9,-2.6
201102,23.4,0.5
201103,33.5,-2.1
201104,51.2,-1.5
201105,64.4,-2.2
201106,73.6,-1.9
201107,83.6,2.9
201108,79.8,1.6
201109,69.7,1.4
