#  Minnesota Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-4.7,-1.1
199702,4.3,3.1
199703,14.0,-1.1
199704,27.4,-2.6
199705,37.8,-4.0
199706,54.6,2.6
199707,57.9,1.0
199708,54.1,-0.2
199709,48.4,3.1
199710,35.6,1.4
199711,18.2,-1.4
199712,17.5,13.4
199801,6.6,10.2
199802,22.3,21.1
199803,19.4,4.3
199804,34.3,4.3
199805,47.0,5.2
199806,52.2,0.2
199807,57.9,1.0
199808,57.5,3.2
199809,49.2,3.9
199810,38.2,4.0
199811,24.8,5.2
199812,10.1,6.0
199901,-1.2,2.4
199902,13.6,12.4
199903,20.2,5.1
199904,33.9,3.9
199905,45.9,4.1
199906,53.8,1.8
199907,60.3,3.4
199908,55.6,1.3
199909,45.6,0.3
199910,32.7,-1.5
199911,26.7,7.1
199912,11.8,7.7
200001,-0.2,3.4
200002,12.6,11.4
200003,25.4,10.3
200004,30.4,0.4
200005,44.5,2.7
200006,50.4,-1.6
200007,57.7,0.8
200008,56.3,2.0
200009,44.1,-1.2
200010,37.2,3.0
200011,22.0,2.4
200012,-6.4,-10.5
200101,6.8,10.4
200102,-4.4,-5.6
200103,14.4,-0.7
200104,33.4,3.4
200105,45.3,3.5
200106,53.9,1.9
200107,58.8,1.9
200108,57.3,3.0
200109,46.4,1.1
200110,34.0,-0.2
200111,31.2,11.6
200112,14.9,10.8
200201,9.3,12.9
200202,13.4,12.2
200203,9.7,-5.4
200204,30.0,0.0
200205,37.3,-4.5
200206,55.7,3.7
200207,61.0,4.1
200208,56.2,1.9
200209,49.4,4.1
200210,29.8,-4.4
200211,19.4,-0.2
200212,12.7,8.6
200301,1.0,4.6
200302,-1.3,-2.5
200303,14.7,-0.4
200304,31.1,1.1
200305,41.9,0.1
200306,52.1,0.1
200307,57.3,0.4
200308,57.9,3.6
200309,46.2,0.9
200310,35.8,1.6
200311,18.8,-0.8
200312,12.7,8.6
200401,-4.3,-0.7
200402,7.2,6.0
200403,21.3,6.2
200404,30.4,0.4
200405,39.9,-1.9
200406,49.3,-2.7
200407,55.6,-1.3
200408,49.7,-4.6
200409,51.3,6.0
200410,37.4,3.2
200411,25.3,5.7
200412,7.8,3.7
200501,-1.8,1.8
200502,10.5,9.3
200503,14.9,-0.2
200504,35.4,5.4
200505,42.4,0.6
200506,57.1,5.1
200507,59.2,2.3
200508,54.9,0.6
200509,49.9,4.6
200510,37.4,3.2
200511,23.7,4.1
200512,10.2,6.1
200601,17.3,20.9
200602,1.9,0.7
200603,20.9,5.8
200604,36.8,6.8
200605,45.8,4.0
200606,53.6,1.6
200607,60.3,3.4
200608,56.1,1.8
200609,45.4,0.1
200610,32.0,-2.2
200611,22.7,3.1
200612,15.8,11.7
200701,5.8,9.4
200702,-1.6,-2.8
200703,22.0,6.9
200704,29.5,-0.5
200705,46.3,4.5
200706,55.7,3.7
200707,58.6,1.7
200708,55.3,1.0
200709,47.4,2.1
200710,40.1,5.9
200711,22.3,2.7
200712,3.3,-0.8
200801,-1.3,2.3
200802,-1.4,-2.6
200803,13.4,-1.7
200804,29.0,-1.0
200805,39.0,-2.8
200806,51.8,-0.2
200807,56.8,-0.1
200808,54.4,0.1
200809,47.6,2.3
200810,36.1,1.9
200811,23.2,3.6
200812,-3.4,-7.5
200901,-9.2,-5.6
200902,4.7,3.5
200903,16.1,1.0
200904,31.2,1.2
200905,40.2,-1.6
200906,51.0,-1.0
200907,53.1,-3.8
200908,53.2,-1.1
200909,51.0,5.7
200910,33.3,-0.9
200911,28.8,9.2
200912,4.9,0.8
201001,0.5,4.1
201002,1.7,0.5
201003,25.9,10.8
201004,36.6,6.6
201005,44.2,2.4
201006,53.7,1.7
201007,59.4,2.5
201008,59.3,5.0
201009,45.0,-0.3
201010,37.3,3.1
201011,22.0,2.4
201012,4.1,0.0
201101,-3.8,-0.2
201102,2.9,1.7
201103,13.7,-1.4
201104,32.0,2.0
201105,42.8,1.0
201106,53.2,1.2
201107,61.8,4.9
201108,56.6,2.3
201109,45.3,0.0
201110,38.8,4.6
201111,23.5,3.9
201112,14.3,10.2
201201,9.3,12.9
201202,12.9,11.7
201203,30.9,15.8
201204,33.8,3.8
201205,46.4,4.6
201206,54.7,2.7
201207,62.6,5.7
201208,53.9,-0.4
201209,42.8,-2.5
201210,33.6,-0.6
201211,22.4,2.8
201212,8.6,4.5
201301,1.7,5.3
201302,3.2,2.0
201303,10.1,-5.0
201304,24.8,-5.2
201305,42.0,0.2
201306,53.3,1.3
201307,58.1,1.2
201308,55.6,1.3
201309,50.0,4.7
201310,36.0,1.8
201311,18.7,-0.9
201312,-4.3,-8.4
201401,-9.0,-5.4
201402,-7.2,-8.4
201403,8.7,-6.4
201404,27.9,-2.1
201405,43.3,1.5
201406,54.8,2.8
201407,55.9,-1.0
201408,56.9,2.6
201409,47.7,2.4
201410,36.1,1.9
