#  Minnesota Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.71,2.59
199702,-0.34,-0.45
199703,0.58,0.67
199704,-0.56,-0.44
199705,-0.53,-0.68
199706,-0.28,-0.41
199707,3.14,2.88
199708,-0.14,-0.09
199709,-0.64,-0.83
199710,0.86,0.70
199711,-0.09,-0.24
199712,-0.82,-0.88
199801,0.79,0.67
199802,1.58,1.47
199803,1.30,1.39
199804,-2.03,-1.91
199805,-0.04,-0.19
199806,2.55,2.42
199807,-0.09,-0.35
199808,-0.91,-0.86
199809,-2.65,-2.84
199810,3.21,3.05
199811,1.38,1.23
199812,0.37,0.31
199901,1.68,1.56
199902,0.00,-0.11
199903,0.35,0.44
199904,0.73,0.85
199905,2.80,2.65
199906,0.48,0.35
199907,3.64,3.38
199908,1.72,1.77
199909,1.84,1.65
199910,-0.12,-0.28
199911,-1.48,-1.63
199912,-0.49,-0.55
200001,0.28,0.16
200002,1.46,1.35
200003,-0.66,-0.57
200004,-1.30,-1.18
200005,0.56,0.41
200006,2.16,2.03
200007,1.02,0.76
200008,0.19,0.24
200009,-1.71,-1.90
200010,-0.34,-0.50
200011,4.10,3.95
200012,1.13,1.07
200101,0.94,0.82
200102,2.13,2.02
200103,-1.15,-1.06
200104,5.62,5.74
200105,1.30,1.15
200106,-0.32,-0.45
200107,-0.10,-0.36
200108,-1.39,-1.34
200109,-1.07,-1.26
200110,-0.05,-0.21
200111,-0.21,-0.36
200112,-0.83,-0.89
200201,-1.48,-1.60
200202,-0.62,-0.73
200203,-0.41,-0.32
200204,0.55,0.67
200205,-0.36,-0.51
200206,2.90,2.77
200207,2.40,2.14
200208,3.68,3.73
200209,-0.26,-0.45
200210,3.05,2.89
200211,-0.56,-0.71
200212,-0.05,-0.11
200301,-0.47,-0.59
200302,0.00,-0.11
200303,-0.39,-0.30
200304,-0.41,-0.29
200305,0.93,0.78
200306,1.33,1.20
200307,-0.02,-0.28
200308,-4.04,-3.99
200309,-0.40,-0.59
200310,-2.10,-2.26
200311,-1.86,-2.01
200312,-1.53,-1.59
200401,-1.42,-1.54
200402,-0.95,-1.06
200403,-0.85,-0.76
200404,-1.74,-1.62
200405,5.20,5.05
200406,-1.28,-1.41
200407,1.72,1.46
200408,0.14,0.19
200409,3.91,3.72
200410,2.46,2.30
200411,-0.11,-0.26
200412,1.02,0.96
200501,2.24,2.12
200502,0.77,0.66
200503,-0.63,-0.54
200504,-1.56,-1.44
200505,2.20,2.05
200506,2.00,1.87
200507,-1.32,-1.58
200508,-0.15,-0.10
200509,1.96,1.77
200510,1.81,1.65
200511,3.53,3.38
200512,1.53,1.47
200601,0.16,0.04
200602,0.25,0.14
200603,1.41,1.50
200604,-0.44,-0.32
200605,-1.23,-1.38
200606,-2.63,-2.76
200607,-3.81,-4.07
200608,-0.91,-0.86
200609,0.00,-0.19
200610,-1.37,-1.53
200611,-2.11,-2.26
200612,-0.24,-0.30
200701,-1.89,-2.01
200702,-0.23,-0.34
200703,0.98,1.07
200704,0.67,0.79
200705,-0.94,-1.09
200706,-1.39,-1.52
200707,-2.69,-2.95
200708,0.41,0.46
200709,1.26,1.07
200710,3.98,3.82
200711,-0.92,-1.07
200712,1.59,1.53
200801,-0.51,-0.63
200802,-0.10,-0.21
200803,-0.66,-0.57
200804,2.68,2.80
200805,0.22,0.07
200806,1.71,1.58
200807,-0.30,-0.56
200808,-2.26,-2.21
200809,0.48,0.29
200810,2.41,2.25
200811,1.22,1.07
200812,2.41,2.35
200901,0.40,0.28
200902,1.48,1.37
200903,3.45,3.54
200904,-0.92,-0.80
200905,-2.08,-2.23
200906,-0.95,-1.08
200907,-0.60,-0.86
200908,0.86,0.91
200909,-3.24,-3.43
200910,5.55,5.39
200911,-0.64,-0.79
200912,2.73,2.67
201001,1.08,0.96
201002,0.35,0.24
201003,-1.10,-1.01
201004,-3.09,-2.97
201005,-0.27,-0.42
201006,1.83,1.70
201007,2.66,2.40
201008,1.80,1.85
201009,6.82,6.63
201010,1.26,1.10
201011,1.69,1.54
201012,3.08,3.02
201101,1.45,1.33
201102,0.60,0.49
201103,0.29,0.38
201104,1.16,1.28
201105,2.08,1.93
201106,0.48,0.35
201107,1.84,1.58
201108,-1.20,-1.15
201109,-2.58,-2.77
201110,-2.57,-2.73
201111,-3.02,-3.17
201112,-2.21,-2.27
201201,-2.26,-2.38
201202,-0.64,-0.75
201203,-3.43,-3.34
201204,-0.55,-0.43
201205,4.23,4.08
201206,0.10,-0.03
201207,-0.83,-1.09
201208,-2.74,-2.69
201209,-4.02,-4.21
201210,-0.58,-0.74
201211,-1.96,-2.11
201212,-0.68,-0.74
201301,-0.55,-0.67
201302,0.42,0.31
201303,0.73,0.82
201304,3.29,3.41
201305,2.61,2.46
201306,2.06,1.93
201307,-0.61,-0.87
201308,-2.99,-2.94
201309,-1.59,-1.78
201310,1.90,1.74
201311,-1.29,-1.44
201312,1.08,1.02
201401,0.46,0.34
201402,1.04,0.93
201403,-0.43,-0.34
201404,3.66,3.78
201405,0.83,0.68
201406,6.43,6.30
201407,-0.86,-1.12
201408,0.40,0.45
201409,-0.81,-1.00
201410,-1.38,-1.54
201411,-1.39,-1.54
201412,-0.76,-0.82
201501,-1.18,-1.30
201502,-1.03,-1.14
201503,-2.19,-2.10
201504,-2.13,-2.01
201505,3.92,3.77
201506,-0.39,-0.52
201507,1.22,0.96
201508,0.99,1.04
201509,-0.88,-1.07
201510,0.08,-0.08
201511,2.21,2.06
201512,3.32,3.26
201601,0.26,0.14
201602,0.74,0.63
201603,1.19,1.28
201604,-0.04,0.08
201605,-1.40,-1.55
201606,-0.21,-0.34
201607,4.37,4.11
201608,3.40,3.45
201609,3.37,3.18
201610,1.25,1.09
201611,1.09,0.94
201612,2.64,2.58
201701,1.29,1.17
201702,1.31,1.20
201703,-0.57,-0.48
201704,0.22,0.34
201705,0.45,0.30
201706,-0.51,-0.64
201707,-1.16,-1.42
201708,3.24,3.29
201709,1.28,1.09
201710,2.59,2.43
201711,-0.09,-0.24
201712,0.62,0.56
201801,0.33,0.21
201802,1.44,1.33
201803,0.24,0.33
201804,-0.03,0.09
201805,-1.90,-2.05
201806,1.92,1.79
201807,1.56,1.30
201808,-0.46,-0.41
201809,2.35,2.16
201810,4.10,3.94
201811,1.03,0.88
201812,2.06,2.00
201901,0.51,0.39
201902,3.16,3.05
201903,1.34,1.43
201904,1.22,1.34
201905,2.67,2.52
201906,-0.73,-0.86
201907,1.96,1.70
201908,0.17,0.22
201909,5.15,4.96
201910,5.48,5.32
201911,1.27,1.12
201912,3.19,3.13
202001,1.05,0.93
202002,-0.24,-0.35
202003,0.26,0.35
202004,-1.05,-0.93
202005,-1.50,-1.65
202006,-0.78,-0.91
202007,1.85,1.59
202008,1.66,1.71
202009,-1.85,-2.04
202010,0.76,0.60
202011,-0.33,-0.48
202012,-0.11,-0.17
202101,-0.06,-0.18
202102,-0.32,-0.43
202103,0.05,0.14
202104,0.63,0.75
202105,-2.40,-2.55
202106,-5.01,-5.14
202107,-4.68,-4.94
202108,-0.72,-0.67
202109,-1.48,-1.67
202110,0.15,-0.01
202111,-1.41,-1.56
202112,1.47,1.41
202201,-0.81,-0.93
202202,-0.01,-0.12
202203,-0.18,-0.09
202204,4.24,4.36
202205,3.28,3.13
202206,-2.31,-2.44
202207,-1.00,-1.26
202208,-0.07,-0.02
202209,-2.85,-3.04
202210,-2.94,-3.10
202211,-0.35,-0.50
202212,1.55,1.49
