#  Mississippi Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,10,-4
199702,12,2
199703,68,35
199704,19,-45
199705,154,-58
199706,331,-68
199707,500,12
199708,425,-46
199709,326,15
199710,79,-14
199711,2,-10
199712,1,-5
199801,19,5
199802,9,-1
199803,21,-12
199804,42,-22
199805,285,73
199806,498,99
199807,553,65
199808,509,38
199809,411,100
199810,140,47
199811,29,17
199812,11,5
199901,24,10
199902,20,10
199903,18,-15
199904,133,69
199905,203,-9
199906,400,1
199907,510,22
199908,545,74
199909,270,-41
199910,81,-12
199911,17,5
199912,4,-2
200001,16,2
200002,20,10
200003,58,25
200004,36,-28
200005,297,85
200006,393,-6
200007,532,44
200008,560,89
200009,316,5
200010,97,4
200011,4,-8
200012,0,-6
200101,3,-11
200102,19,9
200103,12,-21
200104,108,44
200105,219,7
200106,348,-51
200107,492,4
200108,454,-17
200109,250,-61
200110,44,-49
200111,31,19
200112,12,6
200201,16,2
200202,3,-7
200203,23,-10
200204,109,45
200205,203,-9
200206,383,-16
200207,496,8
200208,467,-4
200209,381,70
200210,138,45
200211,4,-8
200212,3,-3
200301,3,-11
200302,4,-6
200303,31,-2
200304,68,4
200305,263,51
200306,354,-45
200307,453,-35
200308,483,12
200309,262,-49
200310,88,-5
200311,29,17
200312,0,-6
200401,10,-4
200402,2,-8
200403,56,23
200404,44,-20
200405,243,31
200406,376,-23
200407,452,-36
200408,367,-104
200409,299,-12
200410,201,108
200411,31,19
200412,1,-5
200501,25,11
200502,15,5
200503,18,-15
200504,48,-16
200505,164,-48
200506,381,-18
200507,494,6
200508,525,54
200509,392,81
200510,85,-8
200511,19,7
200512,1,-5
200601,31,17
200602,4,-6
200603,37,4
200604,139,75
200605,219,7
200606,410,11
200607,523,35
200608,557,86
200609,254,-57
200610,77,-16
200611,7,-5
200612,8,2
200701,12,-2
200702,4,-6
200703,71,38
200704,33,-31
200705,229,17
200706,426,27
200707,440,-48
200708,592,121
200709,355,44
200710,123,30
200711,13,1
200712,16,10
200801,7,-7
200802,11,1
200803,29,-4
200804,55,-9
200805,207,-5
200806,426,27
200807,501,13
200808,420,-51
200809,281,-30
200810,63,-30
200811,5,-7
200812,7,1
200901,12,-2
200902,11,1
200903,41,8
200904,51,-13
200905,227,15
200906,458,59
200907,449,-39
200908,426,-45
200909,330,19
200910,70,-23
200911,10,-2
200912,1,-5
201001,2,-12
201002,0,-10
201003,12,-21
201004,79,15
201005,299,87
201006,511,112
201007,547,59
201008,576,105
201009,363,52
201010,97,4
201011,15,3
201012,0,-6
201101,5,-9
201102,9,-1
201103,42,9
201104,113,49
201105,193,-19
201106,516,117
201107,552,64
201108,558,87
201109,239,-72
201110,47,-46
201111,15,3
201112,6,0
201201,28,14
201202,17,7
201203,132,99
201204,93,29
201205,291,79
201206,397,-2
201207,521,33
201208,450,-21
201209,290,-21
201210,58,-35
201211,4,-8
201212,14,8
201301,22,8
201302,8,-2
201303,8,-25
201304,42,-22
201305,150,-62
201306,418,19
201307,425,-63
201308,451,-20
201309,360,49
201310,106,13
201311,4,-8
201312,4,-2
201401,0,-14
201402,4,-6
201403,11,-22
201404,50,-14
201405,192,-20
201406,406,7
201407,390,-98
201408,461,-10
201409,346,35
201410,120,27
201411,1,-11
201412,11,5
201501,8,-6
201502,0,-10
201503,46,13
201504,116,52
201505,238,26
201506,424,25
201507,549,61
201508,467,-4
201509,337,26
201510,122,29
201511,35,23
201512,38,32
201601,7,-7
201602,12,2
201603,64,31
201604,82,18
201605,189,-23
201606,454,55
201607,540,52
201608,525,54
201609,418,107
201610,169,76
201611,27,15
201612,10,4
201701,39,25
201702,39,29
201703,63,30
201704,115,51
201705,178,-34
201706,350,-49
201707,501,13
201708,444,-27
201709,289,-22
201710,115,22
201711,20,8
201712,4,-2
201801,2,-12
201802,47,37
201803,36,3
201804,19,-45
201805,334,122
201806,469,70
201807,519,31
201808,471,0
201809,419,108
201810,141,48
201811,3,-9
201812,7,1
201901,12,-2
201902,33,23
201903,23,-10
201904,51,-13
201905,295,83
201906,399,0
201907,487,-1
201908,507,36
201909,482,171
201910,126,33
201911,2,-10
201912,11,5
202001,24,10
202002,13,3
202003,119,86
202004,58,-6
202005,185,-27
202006,394,-5
202007,527,39
202008,477,6
202009,314,3
202010,116,23
202011,32,20
202012,3,-3
202101,14,0
202102,2,-8
202103,60,27
202104,40,-24
202105,177,-35
202106,394,-5
202107,478,-10
202108,491,20
202109,301,-10
202110,156,63
202111,6,-6
202112,55,49
202201,8,-6
202202,8,-2
202203,35,2
202204,68,4
202205,315,103
202206,488,89
202207,555,67
202208,472,1
202209,301,-10
202210,65,-28
202211,12,0
202212,10,4
