#  Mississippi Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,614,-2
199702,401,-65
199703,200,-117
199704,187,84
199705,29,15
199706,0,0
199707,0,0
199708,0,0
199709,2,-2
199710,112,8
199711,432,94
199712,612,53
199801,515,-101
199802,426,-40
199803,330,13
199804,123,20
199805,4,-10
199806,0,0
199807,0,0
199808,0,0
199809,0,-4
199810,57,-47
199811,228,-110
199812,456,-103
199901,485,-131
199902,339,-127
199903,359,42
199904,39,-64
199905,13,-1
199906,0,0
199907,0,0
199908,0,0
199909,4,0
199910,108,4
199911,260,-78
199912,537,-22
200001,550,-66
200002,342,-124
200003,212,-105
200004,139,36
200005,3,-11
200006,0,0
200007,0,0
200008,0,0
200009,2,-2
200010,88,-16
200011,382,44
200012,806,247
200101,737,121
200102,356,-110
200103,412,95
200104,52,-51
200105,9,-5
200106,0,0
200107,0,0
200108,0,0
200109,6,2
200110,160,56
200111,213,-125
200112,441,-118
200201,549,-67
200202,527,61
200203,328,11
200204,53,-50
200205,15,1
200206,0,0
200207,0,0
200208,0,0
200209,0,-4
200210,65,-39
200211,396,58
200212,565,6
200301,749,133
200302,503,37
200303,288,-29
200304,87,-16
200305,7,-7
200306,0,0
200307,0,0
200308,0,0
200309,6,2
200310,100,-4
200311,216,-122
200312,615,56
200401,611,-5
200402,541,75
200403,217,-100
200404,122,19
200405,5,-9
200406,0,0
200407,0,0
200408,0,0
200409,4,0
200410,34,-70
200411,210,-128
200412,595,36
200501,474,-142
200502,380,-86
200503,354,37
200504,113,10
200505,23,9
200506,0,0
200507,0,0
200508,0,0
200509,0,-4
200510,105,1
200511,261,-77
200512,634,75
200601,437,-179
200602,521,55
200603,270,-47
200604,34,-69
200605,10,-4
200606,0,0
200607,0,0
200608,0,0
200609,7,3
200610,119,15
200611,346,8
200612,493,-66
200701,582,-34
200702,524,58
200703,186,-131
200704,145,42
200705,7,-7
200706,0,0
200707,0,0
200708,0,0
200709,0,-4
200710,68,-36
200711,303,-35
200712,408,-151
200801,660,44
200802,418,-48
200803,293,-24
200804,108,5
200805,13,-1
200806,0,0
200807,0,0
200808,0,0
200809,4,0
200810,131,27
200811,385,47
200812,508,-51
200901,611,-5
200902,408,-58
200903,259,-58
200904,110,7
200905,10,-4
200906,0,0
200907,0,0
200908,0,0
200909,2,-2
200910,130,26
200911,318,-20
200912,629,70
201001,748,132
201002,670,204
201003,401,84
201004,76,-27
201005,3,-11
201006,0,0
201007,0,0
201008,0,0
201009,1,-3
201010,91,-13
201011,285,-53
201012,696,137
201101,700,84
201102,428,-38
201103,255,-62
201104,51,-52
201105,15,1
201106,0,0
201107,0,0
201108,0,0
201109,8,4
201110,157,53
201111,277,-61
201112,518,-41
201201,456,-160
201202,365,-101
201203,116,-201
201204,65,-38
201205,3,-11
201206,0,0
201207,0,0
201208,0,0
201209,4,0
201210,140,36
201211,388,50
201212,420,-139
201301,501,-115
201302,444,-22
201303,451,134
201304,125,22
201305,25,11
201306,0,0
201307,0,0
201308,0,0
201309,1,-3
201310,85,-19
201311,411,73
201312,559,0
201401,812,196
201402,515,49
201403,418,101
201404,112,9
201405,13,-1
201406,0,0
201407,0,0
201408,0,0
201409,2,-2
201410,71,-33
201411,478,140
201412,456,-103
201501,652,36
201502,633,167
201503,258,-59
201504,51,-52
201505,8,-6
201506,0,0
201507,0,0
201508,0,0
201509,2,-2
201510,71,-33
201511,202,-136
201512,288,-271
201601,655,39
201602,403,-63
201603,203,-114
201604,74,-29
201605,16,2
201606,0,0
201607,0,0
201608,0,0
201609,0,-4
201610,39,-65
201611,224,-114
201612,477,-82
201701,403,-213
201702,255,-211
201703,208,-109
201704,46,-57
201705,16,2
201706,0,0
201707,0,0
201708,0,0
201709,4,0
201710,76,-28
201711,260,-78
201712,550,-9
201801,761,145
201802,258,-208
201803,275,-42
201804,194,91
201805,1,-13
201806,0,0
201807,0,0
201808,0,0
201809,0,-4
201810,61,-43
201811,428,90
201812,491,-68
201901,582,-34
201902,297,-169
201903,333,16
201904,107,4
201905,2,-12
201906,0,0
201907,0,0
201908,0,0
201909,0,-4
201910,70,-34
201911,437,99
201912,448,-111
202001,474,-142
202002,394,-72
202003,136,-181
202004,110,7
202005,17,3
202006,0,0
202007,0,0
202008,0,0
202009,3,-1
202010,80,-24
202011,219,-119
202012,550,-9
202101,573,-43
202102,568,102
202103,208,-109
202104,130,27
202105,20,6
202106,0,0
202107,0,0
202108,0,0
202109,3,-1
202110,49,-55
202111,367,29
202112,244,-315
202201,644,28
202202,451,-15
202203,270,-47
202204,92,-11
202205,3,-11
202206,0,0
202207,0,0
202208,0,0
202209,2,-2
202210,128,24
202211,303,-35
202212,462,-97
