#  Mississippi Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,6.48,1.20
199702,7.30,2.29
199703,5.35,-0.61
199704,7.09,1.81
199705,7.10,2.36
199706,7.34,3.25
199707,4.11,-0.87
199708,3.46,-0.46
199709,2.58,-0.85
199710,4.59,1.68
199711,4.27,-0.01
199712,5.18,-0.39
199801,9.29,4.01
199802,6.00,0.99
199803,5.75,-0.21
199804,5.35,0.07
199805,2.29,-2.45
199806,2.38,-1.71
199807,6.49,1.51
199808,3.07,-0.85
199809,4.77,1.34
199810,1.54,-1.37
199811,3.78,-0.50
199812,6.34,0.77
199901,9.67,4.39
199902,2.16,-2.85
199903,6.59,0.63
199904,3.45,-1.83
199905,3.77,-0.97
199906,5.05,0.96
199907,3.83,-1.15
199908,1.89,-2.03
199909,2.60,-0.83
199910,3.15,0.24
199911,1.99,-2.29
199912,3.75,-1.82
200001,3.14,-2.14
200002,1.88,-3.13
200003,5.15,-0.81
200004,6.73,1.45
200005,2.36,-2.38
200006,4.51,0.42
200007,1.88,-3.10
200008,1.95,-1.97
200009,2.67,-0.76
200010,0.99,-1.92
200011,9.17,4.89
200012,4.21,-1.36
200101,5.91,0.63
200102,5.71,0.70
200103,7.71,1.75
200104,3.48,-1.80
200105,3.29,-1.45
200106,6.58,2.49
200107,4.50,-0.48
200108,5.86,1.94
200109,5.06,1.63
200110,5.61,2.70
200111,6.59,2.31
200112,5.98,0.41
200201,6.06,0.78
200202,3.42,-1.59
200203,7.30,1.34
200204,2.84,-2.44
200205,4.66,-0.08
200206,3.23,-0.86
200207,5.36,0.38
200208,4.02,0.10
200209,9.69,6.26
200210,8.05,5.14
200211,4.32,0.04
200212,7.13,1.56
200301,1.75,-3.53
200302,8.83,3.82
200303,3.48,-2.48
200304,5.11,-0.17
200305,5.79,1.05
200306,8.01,3.92
200307,6.01,1.03
200308,4.89,0.97
200309,3.97,0.54
200310,2.50,-0.41
200311,5.27,0.99
200312,3.37,-2.20
200401,4.25,-1.03
200402,8.44,3.43
200403,2.87,-3.09
200404,4.07,-1.21
200405,7.32,2.58
200406,9.65,5.56
200407,4.33,-0.65
200408,4.09,0.17
200409,1.60,-1.83
200410,5.12,2.21
200411,8.29,4.01
200412,5.78,0.21
200501,3.60,-1.68
200502,5.42,0.41
200503,4.18,-1.78
200504,6.96,1.68
200505,3.19,-1.55
200506,3.42,-0.67
200507,6.26,1.28
200508,6.95,3.03
200509,3.28,-0.15
200510,0.08,-2.83
200511,2.93,-1.35
200512,4.37,-1.20
200601,6.13,0.85
200602,6.15,1.14
200603,3.75,-2.21
200604,3.49,-1.79
200605,3.70,-1.04
200606,1.78,-2.31
200607,3.14,-1.84
200608,3.73,-0.19
200609,3.85,0.42
200610,7.05,4.14
200611,3.53,-0.75
200612,6.17,0.60
200701,4.89,-0.39
200702,2.44,-2.57
200703,0.85,-5.11
200704,3.64,-1.64
200705,2.40,-2.34
200706,3.16,-0.93
200707,7.44,2.46
200708,2.14,-1.78
200709,3.86,0.43
200710,4.72,1.81
200711,2.22,-2.06
200712,4.02,-1.55
200801,4.13,-1.15
200802,5.56,0.55
200803,4.22,-1.74
200804,5.55,0.27
200805,6.11,1.37
200806,2.50,-1.59
200807,2.84,-2.14
200808,8.54,4.62
200809,5.95,2.52
200810,2.58,-0.33
200811,3.26,-1.02
200812,8.20,2.63
200901,3.70,-1.58
200902,3.32,-1.69
200903,8.32,2.36
200904,3.53,-1.75
200905,8.69,3.95
200906,1.55,-2.54
200907,6.98,2.00
200908,3.69,-0.23
200909,7.86,4.43
200910,9.89,6.98
200911,2.00,-2.28
200912,8.89,3.32
201001,5.14,-0.14
201002,4.31,-0.70
201003,3.89,-2.07
201004,2.77,-2.51
201005,5.89,1.15
201006,3.11,-0.98
201007,4.15,-0.83
201008,4.91,0.99
201009,0.84,-2.59
201010,1.73,-1.18
201011,5.58,1.30
201012,1.59,-3.98
201101,4.44,-0.84
201102,2.71,-2.30
201103,6.80,0.84
201104,6.34,1.06
201105,1.99,-2.75
201106,3.26,-0.83
201107,5.69,0.71
201108,2.31,-1.61
201109,7.98,4.55
201110,1.11,-1.80
201111,4.10,-0.18
201112,6.11,0.54
201201,4.23,-1.05
201202,5.72,0.71
201203,6.76,0.80
201204,3.39,-1.89
201205,3.14,-1.60
201206,3.46,-0.63
201207,7.02,2.04
201208,8.71,4.79
201209,4.18,0.75
201210,3.18,0.27
201211,2.18,-2.10
201212,7.20,1.63
201301,9.07,3.79
201302,7.12,2.11
201303,4.00,-1.96
201304,6.62,1.34
201305,6.11,1.37
201306,4.15,0.06
201307,4.36,-0.62
201308,3.28,-0.64
201309,5.29,1.86
201310,2.27,-0.64
201311,5.25,0.97
201312,5.41,-0.16
201401,2.08,-3.20
201402,6.00,0.99
201403,5.60,-0.36
201404,8.86,3.58
201405,5.16,0.42
201406,6.96,2.87
201407,4.14,-0.84
201408,3.71,-0.21
201409,2.54,-0.89
201410,4.28,1.37
201411,3.17,-1.11
201412,5.72,0.15
201501,4.70,-0.58
201502,4.09,-0.92
201503,6.40,0.44
201504,6.09,0.81
201505,6.18,1.44
201506,4.05,-0.04
201507,4.40,-0.58
201508,3.14,-0.78
201509,1.58,-1.85
201510,5.26,2.35
201511,7.45,3.17
201512,7.23,1.66
201601,3.60,-1.68
201602,5.41,0.40
201603,10.83,4.87
201604,5.71,0.43
201605,2.52,-2.22
201606,3.71,-0.38
201607,4.90,-0.08
201608,5.79,1.87
201609,1.80,-1.63
201610,0.55,-2.36
201611,3.29,-0.99
201612,5.02,-0.55
201701,6.70,1.42
201702,2.83,-2.18
201703,4.10,-1.86
201704,5.57,0.29
201705,6.65,1.91
201706,9.39,5.30
201707,4.83,-0.15
201708,6.92,3.00
201709,2.64,-0.79
201710,2.94,0.03
201711,1.32,-2.96
201712,5.04,-0.53
201801,3.66,-1.62
201802,10.15,5.14
201803,5.57,-0.39
201804,6.61,1.33
201805,3.58,-1.16
201806,3.87,-0.22
201807,4.61,-0.37
201808,4.58,0.66
201809,6.60,3.17
201810,2.54,-0.37
201811,6.52,2.24
201812,8.52,2.95
201901,6.17,0.89
201902,7.72,2.71
201903,3.32,-2.64
201904,8.73,3.45
201905,5.97,1.23
201906,5.24,1.15
201907,6.79,1.81
201908,5.31,1.39
201909,0.41,-3.02
201910,10.22,7.31
201911,2.71,-1.57
201912,5.47,-0.10
202001,8.72,3.44
202002,9.64,4.63
202003,6.10,0.14
202004,7.21,1.93
202005,3.77,-0.97
202006,6.35,2.26
202007,6.00,1.02
202008,4.65,0.73
202009,3.57,0.14
202010,5.24,2.33
202011,2.84,-1.44
202012,4.75,-0.82
202101,3.76,-1.52
202102,5.11,0.10
202103,7.70,1.74
202104,6.96,1.68
202105,4.93,0.19
202106,9.59,5.50
202107,7.23,2.25
202108,7.53,3.61
202109,4.76,1.33
202110,3.17,0.26
202111,1.26,-3.02
202112,3.50,-2.07
202201,3.78,-1.50
202202,5.06,0.05
202203,7.01,1.05
202204,6.05,0.77
202205,4.88,0.14
202206,2.65,-1.44
202207,5.44,0.46
202208,9.28,5.36
202209,1.60,-1.83
202210,2.11,-0.80
202211,5.43,1.15
202212,6.29,0.72
