#  Mississippi Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.71,0.91
199702,1.21,1.38
199703,0.71,0.94
199704,1.28,1.51
199705,1.97,2.08
199706,2.98,3.08
199707,2.57,2.68
199708,2.44,2.49
199709,1.87,2.00
199710,2.18,2.30
199711,1.99,2.14
199712,1.75,1.91
199801,2.60,2.80
199802,2.55,2.72
199803,2.21,2.44
199804,2.09,2.32
199805,1.06,1.17
199806,-1.65,-1.55
199807,-1.46,-1.35
199808,-1.89,-1.84
199809,-1.64,-1.51
199810,-2.09,-1.97
199811,-2.20,-2.05
199812,-1.89,-1.73
199901,-0.58,-0.38
199902,-1.50,-1.33
199903,-1.14,-0.91
199904,-1.62,-1.39
199905,-1.68,-1.57
199906,-1.15,-1.05
199907,-1.37,-1.26
199908,-2.09,-2.04
199909,-2.25,-2.12
199910,-2.02,-1.90
199911,-2.56,-2.41
199912,-2.86,-2.70
200001,-3.23,-3.03
200002,-3.96,-3.79
200003,-3.96,-3.73
200004,-3.08,-2.85
200005,-3.57,-3.46
200006,-3.18,-3.08
200007,-3.99,-3.88
200008,-4.71,-4.66
200009,-4.70,-4.57
200010,-4.93,-4.81
200011,-3.19,-3.04
200012,-3.08,-2.92
200101,-2.52,-2.32
200102,-2.19,-2.02
200103,-1.39,-1.16
200104,-1.79,-1.56
200105,-2.00,-1.89
200106,-0.90,-0.80
200107,-0.79,-0.68
200108,1.92,1.97
200109,2.46,2.59
200110,3.27,3.39
200111,3.41,3.56
200112,3.12,3.28
200201,2.98,3.18
200202,2.22,2.39
200203,2.36,2.59
200204,1.42,1.65
200205,1.26,1.37
200206,0.95,1.05
200207,0.91,1.02
200208,0.92,0.97
200209,2.67,2.80
200210,4.10,4.22
200211,3.73,3.88
200212,3.79,3.95
200301,2.51,2.71
200302,3.36,3.53
200303,2.26,2.49
200304,1.99,2.22
200305,2.03,2.14
200306,3.22,3.32
200307,3.45,3.56
200308,3.87,3.92
200309,3.88,4.01
200310,3.50,3.62
200311,3.24,3.39
200312,2.40,2.56
200401,1.88,2.08
200402,2.69,2.86
200403,1.38,1.61
200404,1.02,1.25
200405,1.62,1.73
200406,3.33,3.43
200407,3.05,3.16
200408,3.25,3.30
200409,2.43,2.56
200410,2.62,2.74
200411,3.23,3.38
200412,3.00,3.16
200501,2.16,2.36
200502,1.95,2.12
200503,1.27,1.50
200504,1.62,1.85
200505,1.14,1.25
200506,0.89,0.99
200507,1.08,1.19
200508,2.03,2.08
200509,1.72,1.85
200510,0.72,0.84
200511,-1.31,-1.16
200512,-1.49,-1.33
200601,-1.22,-1.02
200602,-0.76,-0.59
200603,-1.38,-1.15
200604,-1.84,-1.61
200605,-1.93,-1.82
200606,-2.42,-2.32
200607,-3.03,-2.92
200608,-3.18,-3.13
200609,-2.81,-2.68
200610,-1.34,-1.22
200611,-1.41,-1.26
200612,-1.12,-0.96
200701,-1.12,-0.92
200702,-1.74,-1.57
200703,-3.22,-2.99
200704,-3.35,-3.12
200705,-3.69,-3.58
200706,-3.73,-3.63
200707,-2.69,-2.58
200708,-3.11,-3.06
200709,-2.88,-2.75
200710,-2.19,-2.07
200711,-2.59,-2.44
200712,-2.85,-2.69
200801,-2.83,-2.63
200802,-2.46,-2.29
200803,-2.75,-2.52
200804,-2.34,-2.11
200805,-1.67,-1.56
200806,-1.97,-1.87
200807,-2.56,-2.45
200808,-0.72,-0.67
200809,2.37,2.50
200810,2.28,2.40
200811,1.81,1.96
200812,2.31,2.47
200901,1.66,1.86
200902,0.91,1.08
200903,1.38,1.61
200904,0.86,1.09
200905,1.91,2.02
200906,0.87,0.97
200907,1.25,1.36
200908,1.14,1.19
200909,2.32,2.45
200910,4.38,4.50
200911,3.30,3.45
200912,3.89,4.05
201001,3.53,3.73
