#  Mississippi Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,45.0,-0.1
199702,50.9,2.6
199703,60.4,4.8
199704,59.2,-4.4
199705,68.9,-2.4
199706,76.0,-2.3
199707,81.3,0.5
199708,78.6,-1.6
199709,75.6,0.5
199710,63.7,-0.7
199711,50.4,-3.5
199712,44.9,-1.9
199801,48.7,3.6
199802,49.9,1.6
199803,54.9,-0.7
199804,62.2,-1.4
199805,74.1,2.8
199806,81.6,3.3
199807,82.9,2.1
199808,81.4,1.2
199809,78.8,3.7
199810,67.6,3.2
199811,58.0,4.1
199812,50.1,3.3
199901,49.8,4.7
199902,53.3,5.0
199903,53.6,-2.0
199904,68.0,4.4
199905,71.1,-0.2
199906,78.4,0.1
199907,81.6,0.8
199908,82.5,2.3
199909,73.7,-1.4
199910,63.9,-0.5
199911,56.7,2.8
199912,47.6,0.8
200001,47.3,2.2
200002,53.2,4.9
200003,59.8,4.2
200004,61.3,-2.3
200005,74.4,3.1
200006,78.1,-0.2
200007,82.2,1.4
200008,83.2,3.0
200009,75.4,0.3
200010,65.2,0.8
200011,52.1,-1.8
200012,38.4,-8.4
200101,40.9,-4.2
200102,52.5,4.2
200103,51.7,-3.9
200104,66.8,3.2
200105,71.7,0.4
200106,76.6,-1.7
200107,81.0,0.2
200108,79.7,-0.5
200109,73.0,-2.1
200110,61.1,-3.3
200111,58.6,4.7
200112,50.8,4.0
200201,47.5,2.4
200202,46.0,-2.3
200203,54.9,-0.7
200204,66.7,3.1
200205,70.9,-0.4
200206,77.8,-0.5
200207,81.1,0.3
200208,80.1,-0.1
200209,77.6,2.5
200210,67.0,2.6
200211,51.6,-2.3
200212,46.6,-0.2
200301,40.5,-4.6
200302,46.7,-1.6
200303,56.4,0.8
200304,64.3,0.7
200305,73.0,1.7
200306,76.6,-1.7
200307,79.7,-1.1
200308,80.6,0.4
200309,73.4,-1.7
200310,64.5,0.1
200311,58.6,4.7
200312,44.9,-1.9
200401,45.3,0.2
200402,45.4,-2.9
200403,59.6,4.0
200404,62.3,-1.3
200405,72.6,1.3
200406,77.4,-0.9
200407,79.5,-1.3
200408,76.8,-3.4
200409,74.7,-0.4
200410,70.2,5.8
200411,58.8,4.9
200412,45.5,-1.3
200501,50.1,5.0
200502,51.6,3.3
200503,53.8,-1.8
200504,62.8,-0.8
200505,69.4,-1.9
200506,77.7,-0.6
200507,81.0,0.2
200508,82.0,1.8
200509,77.9,2.8
200510,64.1,-0.3
200511,56.7,2.8
200512,44.2,-2.6
200601,51.5,6.4
200602,46.0,-2.3
200603,57.1,1.5
200604,68.4,4.8
200605,71.6,0.3
200606,78.6,0.3
200607,82.0,1.2
200608,83.0,2.8
200609,73.0,-2.1
200610,63.4,-1.0
200611,53.5,-0.4
200612,49.0,2.2
200701,46.2,1.1
200702,46.0,-2.3
200703,61.3,5.7
200704,61.0,-2.6
200705,72.2,0.9
200706,79.2,0.9
200707,79.1,-1.7
200708,84.2,4.0
200709,76.7,1.6
200710,66.5,2.1
200711,55.1,1.2
200712,51.9,5.1
200801,43.5,-1.6
200802,50.1,1.8
200803,56.3,0.7
200804,63.0,-0.6
200805,71.1,-0.2
200806,79.2,0.9
200807,81.2,0.4
200808,78.5,-1.7
200809,74.1,-1.0
200810,62.6,-1.8
200811,52.0,-1.9
200812,48.3,1.5
200901,45.1,0.0
200902,50.6,2.3
200903,57.6,2.0
200904,62.8,-0.8
200905,71.8,0.5
200906,80.2,1.9
200907,79.4,-1.4
200908,78.7,-1.5
200909,75.8,0.7
200910,62.6,-1.8
200911,54.7,0.8
200912,44.3,-2.5
201001,40.6,-4.5
201002,40.7,-7.6
201003,52.3,-3.3
201004,65.1,1.5
201005,74.4,3.1
201006,82.2,3.9
201007,82.7,1.9
