#  Mississippi Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,35.3,0.9
199702,41.5,4.4
199703,48.3,4.5
199704,47.4,-4.1
199705,57.3,-2.2
199706,67.0,0.2
199707,71.0,1.2
199708,68.0,-0.9
199709,63.2,-0.1
199710,50.9,-0.3
199711,40.2,-1.3
199712,35.2,-0.8
199801,39.3,4.9
199802,39.7,2.6
199803,44.1,0.3
199804,50.5,-1.0
199805,62.3,2.8
199806,70.9,4.1
199807,72.9,3.1
199808,70.3,1.4
199809,68.0,4.7
199810,54.4,3.2
199811,46.7,5.2
199812,40.9,4.9
199901,38.5,4.1
199902,41.4,4.3
199903,41.6,-2.2
199904,56.5,5.0
199905,58.6,-0.9
199906,68.4,1.6
199907,71.4,1.6
199908,69.7,0.8
199909,59.9,-3.4
199910,50.2,-1.0
199911,42.7,1.2
199912,35.8,-0.2
200001,36.7,2.3
200002,39.8,2.7
200003,47.3,3.5
200004,49.1,-2.4
200005,63.2,3.7
200006,66.9,0.1
200007,69.5,-0.3
200008,69.8,0.9
200009,63.1,-0.2
200010,50.3,-0.9
200011,41.6,0.1
200012,27.9,-8.1
200101,30.6,-3.8
200102,41.3,4.2
200103,41.3,-2.5
200104,55.3,3.8
200105,59.2,-0.3
200106,66.2,-0.6
200107,70.8,1.0
200108,69.9,1.0
200109,62.3,-1.0
200110,47.2,-4.0
200111,44.0,2.5
200112,39.6,3.6
200201,36.5,2.1
200202,33.9,-3.2
200203,42.7,-1.1
200204,55.6,4.1
200205,59.2,-0.3
200206,66.8,0.0
200207,70.8,1.0
200208,69.7,0.8
200209,67.6,4.3
200210,58.7,7.5
200211,40.5,-1.0
200212,35.8,-0.2
200301,29.2,-5.2
200302,37.1,0.0
200303,45.3,1.5
200304,51.9,0.4
200305,62.8,3.3
200306,66.8,0.0
200307,70.0,0.2
200308,70.6,1.7
200309,62.0,-1.3
200310,52.1,0.9
200311,46.4,4.9
200312,32.8,-3.2
200401,34.0,-0.4
200402,35.9,-1.2
200403,47.3,3.5
200404,49.5,-2.0
200405,62.3,2.8
200406,68.5,1.7
200407,69.5,-0.3
200408,65.7,-3.2
200409,63.4,0.1
200410,60.1,8.9
200411,49.4,7.9
200412,33.5,-2.5
200501,40.2,5.8
200502,42.3,5.2
200503,42.5,-1.3
200504,50.3,-1.2
200505,56.9,-2.6
200506,67.2,0.4
200507,71.3,1.5
200508,71.1,2.2
200509,66.2,2.9
200510,50.2,-1.0
200511,43.4,1.9
200512,32.2,-3.8
200601,39.8,5.4
200602,35.1,-2.0
200603,45.0,1.2
200604,55.6,4.1
200605,60.0,0.5
200606,65.8,-1.0
200607,70.3,0.5
200608,71.5,2.6
200609,60.6,-2.7
200610,50.2,-1.0
200611,40.6,-0.9
200612,37.7,1.7
200701,36.8,2.4
200702,34.1,-3.0
200703,47.2,3.4
200704,48.5,-3.0
200705,59.6,0.1
200706,67.2,0.4
200707,69.5,-0.3
200708,71.9,3.0
200709,65.9,2.6
200710,54.6,3.4
200711,42.8,1.3
200712,40.9,4.9
200801,33.0,-1.4
200802,37.9,0.8
200803,43.2,-0.6
