#  Mississippi Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.01,1.03
199702,1.72,1.86
199703,-1.12,-0.99
199704,1.91,1.83
199705,2.49,2.47
199706,3.63,3.60
199707,-0.30,-0.17
199708,0.40,0.26
199709,-0.95,-0.76
199710,1.50,1.55
199711,0.10,0.29
199712,-0.12,-0.08
199801,3.10,3.12
199802,0.65,0.79
199803,-0.21,-0.08
199804,0.30,0.22
199805,-2.44,-2.46
199806,-2.76,-2.79
199807,0.06,0.19
199808,-1.75,-1.89
199809,0.18,0.37
199810,-1.88,-1.83
199811,-0.98,-0.79
199812,0.27,0.31
199901,3.34,3.36
199902,-2.93,-2.79
199903,0.61,0.74
199904,-1.79,-1.87
199905,-0.70,-0.72
199906,1.07,1.04
199907,-1.01,-0.88
199908,-2.57,-2.71
199909,-1.14,-0.95
199910,-0.02,0.03
199911,-2.24,-2.05
199912,-1.67,-1.63
200001,-2.00,-1.98
200002,-3.20,-3.06
200003,-1.22,-1.09
200004,1.43,1.35
200005,-2.42,-2.44
200006,0.06,0.03
200007,-3.42,-3.29
200008,-3.40,-3.54
200009,-1.41,-1.22
200010,-2.15,-2.10
200011,3.70,3.89
200012,-0.65,-0.61
200101,0.72,0.74
200102,0.22,0.36
200103,1.71,1.84
200104,-1.62,-1.70
200105,-1.20,-1.22
200106,2.70,2.67
200107,0.05,0.18
200108,2.91,2.77
200109,2.19,2.38
200110,3.21,3.26
200111,1.42,1.61
200112,0.19,0.23
200201,0.54,0.56
200202,-1.36,-1.22
200203,1.09,1.22
200204,-2.08,-2.16
200205,-0.05,-0.07
200206,-0.52,-0.55
200207,0.16,0.29
200208,0.31,0.17
200209,5.56,5.75
200210,5.10,5.15
200211,0.16,0.35
200212,1.32,1.36
200301,-2.65,-2.63
200302,3.31,3.45
200303,-2.26,-2.13
200304,-0.11,-0.19
200305,0.74,0.72
200306,4.18,4.15
200307,1.68,1.81
200308,2.33,2.19
200309,1.24,1.43
200310,0.03,0.08
200311,0.30,0.49
200312,-1.52,-1.48
200401,-0.81,-0.79
200402,3.03,3.17
200403,-3.11,-2.98
200404,-0.66,-0.74
200405,2.12,2.10
200406,5.62,5.59
200407,0.20,0.33
200408,1.55,1.41
200409,-1.48,-1.29
200410,1.32,1.37
200411,2.64,2.83
200412,0.32,0.36
200501,-1.61,-1.59
200502,0.03,0.17
200503,-1.43,-1.30
200504,1.44,1.36
200505,-0.95,-0.97
200506,-0.39,-0.42
200507,0.83,0.96
200508,3.19,3.05
200509,-0.29,-0.10
200510,-2.46,-2.41
200511,-1.50,-1.31
200512,-0.94,-0.90
200601,0.35,0.37
200602,1.02,1.16
200603,-2.10,-1.97
200604,-1.81,-1.89
200605,-0.83,-0.85
200606,-2.07,-2.10
200607,-2.59,-2.46
200608,-1.38,-1.52
200609,0.14,0.33
200610,3.53,3.58
200611,-0.63,-0.44
200612,0.45,0.49
200701,-0.34,-0.32
200702,-2.21,-2.07
200703,-5.00,-4.87
200704,-1.39,-1.47
200705,-2.04,-2.06
200706,-1.28,-1.31
200707,1.99,2.12
200708,-2.11,-2.25
200709,-0.25,-0.06
200710,1.17,1.22
200711,-1.87,-1.68
200712,-1.57,-1.53
200801,-0.83,-0.81
200802,0.24,0.38
200803,-1.63,-1.50
200804,0.37,0.29
200805,1.31,1.29
200806,-1.42,-1.45
200807,-2.39,-2.26
200808,4.72,4.58
200809,2.89,3.08
200810,0.46,0.51
200811,-0.72,-0.53
200812,2.06,2.10
200901,-1.25,-1.23
200902,-1.72,-1.58
200903,1.67,1.80
200904,-1.12,-1.20
200905,3.42,3.40
200906,-2.54,-2.57
200907,1.41,1.54
200908,0.04,-0.10
200909,3.90,4.09
200910,6.91,6.96
200911,-1.88,-1.69
200912,2.79,2.83
201001,0.10,0.12
201002,-0.35,-0.21
201003,-1.54,-1.41
201004,-1.94,-2.02
201005,0.55,0.53
201006,-1.30,-1.33
201007,-1.49,-1.36
201008,0.08,-0.06
201009,-3.20,-3.01
201010,-1.42,-1.37
201011,0.62,0.81
201012,-2.90,-2.86
201101,-0.54,-0.52
201102,-2.20,-2.06
201103,0.38,0.51
201104,0.49,0.41
201105,-2.15,-2.17
201106,-1.88,-1.91
201107,-0.47,-0.34
201108,-2.65,-2.79
201109,4.22,4.41
201110,-0.89,-0.84
201111,-0.45,-0.26
201112,0.46,0.50
201201,-1.14,-1.12
201202,0.22,0.36
201203,-0.55,-0.42
201204,-1.56,-1.64
201205,-1.74,-1.76
201206,-0.71,-0.74
201207,1.17,1.30
201208,5.42,5.28
201209,1.48,1.67
201210,0.99,1.04
201211,-1.55,-1.36
201212,1.09,1.13
201301,2.90,2.92
201302,1.69,1.83
201303,-1.29,-1.16
201304,1.26,1.18
201305,1.63,1.61
201306,0.19,0.16
201307,-0.04,0.09
201308,-0.20,-0.34
201309,1.33,1.52
201310,-0.63,-0.58
201311,0.74,0.93
201312,-0.02,0.02
201401,-2.32,-2.30
201402,0.87,1.01
201403,-0.05,0.08
201404,2.86,2.78
201405,0.54,0.52
201406,2.90,2.87
201407,0.31,0.44
201408,0.86,0.72
201409,-0.96,-0.77
201410,0.97,1.02
201411,-0.69,-0.50
201412,0.00,0.04
201501,-0.38,-0.36
201502,-0.59,-0.45
201503,0.05,0.18
201504,0.30,0.22
201505,1.19,1.17
201506,0.05,0.02
201507,-0.84,-0.71
201508,-0.88,-1.02
201509,-2.33,-2.14
201510,1.62,1.67
201511,1.93,2.12
201512,0.75,0.79
201601,-1.27,-1.25
201602,0.05,0.19
201603,3.49,3.62
201604,0.24,0.16
201605,-1.68,-1.70
201606,-0.94,-0.97
201607,-0.86,-0.73
201608,1.34,1.20
201609,-2.44,-2.25
201610,-2.91,-2.86
201611,-1.38,-1.19
201612,-0.75,-0.71
201701,0.72,0.74
201702,-2.66,-2.52
201703,-2.13,-2.00
201704,-0.12,-0.20
201705,1.92,1.90
201706,5.47,5.44
201707,0.36,0.49
201708,4.26,4.12
201709,-0.05,0.14
201710,0.17,0.22
201711,-2.67,-2.48
201712,-0.50,-0.46
201801,-1.08,-1.06
201802,3.73,3.87
201803,-0.58,-0.45
201804,1.58,1.50
201805,-1.61,-1.63
201806,-0.89,-0.92
201807,-1.03,-0.90
201808,0.29,0.15
201809,2.15,2.34
201810,-0.49,-0.44
201811,1.80,1.99
201812,2.27,2.31
201901,0.70,0.72
201902,1.77,1.91
201903,-2.23,-2.10
201904,2.72,2.64
201905,0.69,0.67
201906,1.31,1.28
201907,1.99,2.12
201908,2.58,2.44
201909,-3.18,-2.99
201910,6.04,6.09
201911,-1.03,-0.84
201912,-0.20,-0.16
202001,2.55,2.57
202002,3.71,3.85
202003,-0.94,-0.81
202004,1.61,1.53
202005,-0.58,-0.60
202006,2.36,2.33
202007,1.30,1.43
202008,1.93,1.79
202009,0.46,0.65
202010,2.17,2.22
202011,-1.53,-1.34
202012,-0.55,-0.51
202101,-1.28,-1.26
202102,0.20,0.34
202103,0.89,1.02
202104,1.55,1.47
202105,0.48,0.46
202106,5.46,5.43
202107,2.61,2.74
202108,5.16,5.02
202109,2.19,2.38
202110,0.60,0.65
202111,-2.32,-2.13
202112,-2.30,-2.26
202201,-1.14,-1.12
202202,-0.09,0.05
202203,0.63,0.76
202204,0.63,0.55
202205,-0.36,-0.38
202206,-1.66,-1.69
202207,-0.51,-0.38
202208,5.36,5.22
202209,-1.23,-1.04
202210,-0.46,-0.41
202211,0.64,0.83
202212,0.48,0.52
