#  Missouri Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,10,4
199704,0,-9
199705,33,-59
199706,209,-38
199707,388,-2
199708,279,-62
199709,147,0
199710,17,-5
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,-6
199804,3,-6
199805,170,78
199806,251,4
199807,391,1
199808,368,27
199809,255,108
199810,24,2
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,-6
199904,14,5
199905,82,-10
199906,232,-15
199907,461,71
199908,324,-17
199909,112,-35
199910,16,-6
199911,7,7
199912,0,0
200001,0,0
200002,0,0
200003,12,6
200004,7,-2
200005,135,43
200006,194,-53
200007,341,-49
200008,433,92
200009,155,8
200010,35,13
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,-6
200104,35,26
200105,113,21
200106,208,-39
200107,423,33
200108,370,29
200109,108,-39
200110,12,-10
200111,6,6
200112,0,0
200201,0,0
200202,0,0
200203,0,-6
200204,15,6
200205,49,-43
200206,295,48
200207,433,43
200208,363,22
200209,194,47
200210,3,-19
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,3,-3
200304,13,4
200305,74,-18
200306,154,-93
200307,398,8
200308,422,81
200309,87,-60
200310,18,-4
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,12,6
200404,11,2
200405,131,39
200406,185,-62
200407,289,-101
200408,194,-147
200409,148,1
200410,23,1
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,-6
200504,14,5
200505,72,-20
200506,306,59
200507,403,13
200508,390,49
200509,221,74
200510,16,-6
200511,0,0
200512,0,0
200601,2,2
200602,0,0
200603,8,2
200604,37,28
200605,92,0
200606,256,9
200607,432,42
200608,407,66
200609,89,-58
200610,7,-15
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,26,20
200704,0,-9
200705,157,65
200706,256,9
200707,337,-53
200708,497,156
200709,188,41
200710,36,14
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,2,-4
200804,0,-9
200805,60,-32
200806,257,10
200807,353,-37
200808,278,-63
200809,123,-24
200810,12,-10
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,8,2
200904,3,-6
200905,82,-10
200906,284,37
200907,245,-145
200908,243,-98
200909,112,-35
200910,0,-22
200911,2,2
200912,0,0
201001,0,0
201002,0,0
201003,6,0
201004,35,26
201005,89,-3
201006,357,110
201007,428,38
201008,424,83
201009,151,4
201010,23,1
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,5,-1
201104,14,5
201105,68,-24
201106,311,64
201107,543,153
201108,391,50
201109,87,-60
201110,19,-3
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,62,56
201204,23,14
201205,179,87
201206,295,48
201207,576,186
201208,346,5
201209,118,-29
201210,8,-14
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,-6
201304,2,-7
201305,77,-15
201306,243,-4
201307,309,-81
201308,306,-35
201309,195,48
201310,13,-9
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,-6
201404,8,-1
201405,103,11
201406,265,18
201407,241,-149
201408,349,8
201409,120,-27
201410,20,-2
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,4,-2
201504,17,8
201505,97,5
201506,277,30
201507,371,-19
201508,266,-75
201509,220,73
201510,19,-3
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,18,12
201604,15,6
201605,68,-24
201606,357,110
201607,393,3
201608,357,16
201609,217,70
201610,56,34
201611,5,5
201612,0,0
201701,0,0
201702,7,7
201703,12,6
201704,21,12
201705,84,-8
201706,260,13
201707,421,31
201708,229,-112
201709,186,39
201710,28,6
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,3,-3
201804,0,-9
201805,250,158
201806,368,121
201807,400,10
201808,357,16
201809,205,58
201810,15,-7
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,-6
201904,13,4
201905,89,-3
201906,231,-16
201907,393,3
201908,313,-28
201909,293,146
201910,7,-15
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,13,7
202004,2,-7
202005,56,-36
202006,303,56
202007,429,39
202008,290,-51
202009,122,-25
202010,6,-16
202011,1,1
202012,0,0
202101,0,0
202102,0,0
202103,16,10
202104,7,-2
202105,60,-32
202106,300,53
202107,358,-32
202108,381,40
202109,213,66
202110,39,17
202111,0,0
202112,4,4
202201,0,0
202202,0,0
202203,7,1
202204,3,-6
202205,113,21
202206,308,61
202207,439,49
202208,353,12
202209,164,17
202210,12,-10
202211,0,0
202212,0,0
