#  Missouri Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,26.4,-3.0
199702,37.4,3.6
199703,47.0,3.4
199704,50.0,-4.5
199705,59.8,-4.4
199706,71.5,-1.5
199707,77.7,0.0
199708,73.8,-2.2
199709,68.4,0.2
199710,56.9,-0.1
199711,41.2,-2.4
199712,34.1,1.1
199801,35.3,5.9
199802,41.2,7.4
199803,41.1,-2.5
199804,54.0,-0.5
199805,69.2,5.0
199806,73.6,0.6
199807,78.0,0.3
199808,76.8,0.8
199809,73.4,5.2
199810,58.6,1.6
199811,48.4,4.8
199812,36.4,3.4
199901,30.6,1.2
199902,42.4,8.6
199903,42.3,-1.3
199904,56.9,2.4
199905,63.8,-0.4
199906,72.6,-0.4
199907,80.0,2.3
199908,75.6,-0.4
199909,66.5,-1.7
199910,56.9,-0.1
199911,52.0,8.4
199912,36.8,3.8
200001,33.0,3.6
200002,42.2,8.4
200003,48.2,4.6
200004,54.4,-0.1
200005,67.2,3.0
200006,71.2,-1.8
200007,76.1,-1.6
200008,79.5,3.5
200009,69.0,0.8
200010,60.1,3.1
200011,39.8,-3.8
200012,21.1,-11.9
200101,29.4,0.0
200102,34.3,0.5
200103,40.1,-3.5
200104,60.5,6.0
200105,65.9,1.7
200106,71.7,-1.3
200107,78.9,1.2
200108,77.2,1.2
200109,66.3,-1.9
200110,55.8,-1.2
200111,51.1,7.5
200112,38.5,5.5
200201,35.1,5.7
200202,37.3,3.5
200203,40.5,-3.1
200204,57.3,2.8
200205,61.4,-2.8
200206,74.7,1.7
200207,79.0,1.3
200208,76.9,0.9
200209,70.8,2.6
200210,53.1,-3.9
200211,42.0,-1.6
200212,35.7,2.7
200301,27.4,-2.0
200302,31.2,-2.6
200303,44.6,1.0
200304,56.7,2.2
200305,63.5,-0.7
200306,69.2,-3.8
200307,78.1,0.4
200308,78.8,2.8
200309,64.8,-3.4
200310,57.2,0.2
200311,46.3,2.7
200312,36.2,3.2
200401,29.8,0.4
200402,33.1,-0.7
200403,48.3,4.7
200404,56.2,1.7
200405,67.0,2.8
200406,70.8,-2.2
200407,74.3,-3.4
200408,70.7,-5.3
200409,68.5,0.3
200410,58.4,1.4
200411,47.8,4.2
200412,34.7,1.7
200501,33.3,3.9
200502,40.1,6.3
200503,43.4,-0.2
200504,56.8,2.3
200505,63.2,-1.0
200506,75.2,2.2
200507,78.0,0.3
200508,77.8,1.8
200509,72.0,3.8
200510,56.9,-0.1
200511,47.3,3.7
200512,30.8,-2.2
200601,41.2,11.8
200602,34.2,0.4
200603,45.9,2.3
200604,60.9,6.4
200605,64.6,0.4
200606,73.5,0.5
200607,78.9,1.2
200608,78.4,2.4
200609,64.9,-3.3
200610,53.8,-3.2
200611,46.5,2.9
200612,38.2,5.2
200701,31.7,2.3
200702,29.4,-4.4
200703,53.0,9.4
200704,52.3,-2.2
200705,68.3,4.1
200706,73.4,0.4
200707,75.9,-1.8
200708,81.3,5.3
200709,70.5,2.3
200710,60.0,3.0
200711,45.2,1.6
200712,33.2,0.2
200801,30.8,1.4
200802,31.0,-2.8
200803,43.2,-0.4
200804,52.2,-2.3
200805,62.4,-1.8
200806,73.5,0.5
200807,76.6,-1.1
200808,73.9,-2.1
200809,67.2,-1.0
200810,55.7,-1.3
200811,43.7,0.1
200812,31.0,-2.0
200901,27.7,-1.7
200902,38.4,4.6
200903,46.5,2.9
200904,53.4,-1.1
200905,63.8,-0.4
200906,74.6,1.6
200907,72.8,-4.9
200908,72.6,-3.4
200909,66.6,-1.6
200910,50.9,-6.1
200911,49.8,6.2
200912,30.6,-2.4
201001,25.5,-3.9
201002,28.4,-5.4
201003,45.0,1.4
201004,60.5,6.0
201005,64.5,0.3
201006,77.3,4.3
201007,79.1,1.4
201008,79.0,3.0
201009,68.8,0.6
201010,58.3,1.3
201011,46.5,2.9
201012,29.6,-3.4
201101,26.7,-2.7
201102,33.2,-0.6
201103,45.1,1.5
201104,56.8,2.3
201105,62.8,-1.4
201106,75.8,2.8
201107,82.7,5.0
201108,77.8,1.8
201109,64.8,-3.4
201110,57.2,0.2
201111,47.4,3.8
201112,37.4,4.4
201201,36.3,6.9
201202,39.9,6.1
201203,58.1,14.5
201204,59.0,4.5
201205,69.5,5.3
201206,74.8,1.8
201207,83.6,5.9
201208,76.2,0.2
201209,67.0,-1.2
201210,54.3,-2.7
201211,45.1,1.5
201212,38.8,5.8
201301,33.8,4.4
201302,34.4,0.6
201303,38.3,-5.3
201304,52.1,-2.4
201305,63.4,-0.8
201306,73.0,0.0
201307,75.0,-2.7
201308,74.6,-1.4
201309,70.7,2.5
201310,55.9,-1.1
201311,41.8,-1.8
201312,30.3,-2.7
201401,25.8,-3.6
201402,26.5,-7.3
201403,39.5,-4.1
201404,55.1,0.6
201405,65.3,1.1
201406,73.7,0.7
201407,72.6,-5.1
201408,76.6,0.6
201409,67.1,-1.1
201410,57.8,0.8
201411,37.8,-5.8
201412,36.7,3.7
201501,31.2,1.8
201502,26.2,-7.6
201503,44.5,0.9
201504,57.7,3.2
201505,64.8,0.6
201506,74.3,1.3
201507,77.4,-0.3
201508,73.4,-2.6
201509,71.6,3.4
201510,57.7,0.7
201511,48.9,5.3
201512,42.4,9.4
201601,30.9,1.5
201602,39.1,5.3
201603,50.4,6.8
201604,57.3,2.8
201605,62.7,-1.5
201606,76.9,3.9
201607,78.1,0.4
201608,76.7,0.7
201609,71.7,3.5
201610,62.1,5.1
201611,51.0,7.4
201612,32.4,-0.6
201701,35.4,6.0
201702,45.1,11.3
201703,48.4,4.8
201704,58.5,4.0
201705,64.1,-0.1
201706,73.5,0.5
201707,78.8,1.1
201708,72.1,-3.9
201709,70.4,2.2
201710,59.0,2.0
201711,46.2,2.6
201712,34.3,1.3
201801,28.0,-1.4
201802,35.6,1.8
201803,44.0,0.4
201804,48.2,-6.3
201805,72.5,8.3
201806,77.4,4.4
201807,78.2,0.5
201808,76.4,0.4
201809,71.3,3.1
201810,56.4,-0.6
201811,37.6,-6.0
201812,36.8,3.8
201901,31.0,1.6
201902,33.0,-0.8
201903,40.9,-2.7
201904,56.7,2.2
201905,64.5,0.3
201906,72.4,-0.6
201907,77.6,-0.1
201908,75.3,-0.7
201909,74.8,6.6
201910,54.3,-2.7
201911,40.2,-3.4
201912,39.0,6.0
202001,34.5,5.1
202002,35.4,1.6
202003,48.8,5.2
202004,53.1,-1.4
202005,62.0,-2.2
202006,75.1,2.1
202007,79.2,1.5
