#  Missouri Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,36.8,-2.4
199702,45.2,0.9
199703,59.6,4.8
199704,61.4,-4.8
199705,72.2,-3.5
199706,81.5,-2.6
199707,89.1,-0.1
199708,84.5,-3.3
199709,79.9,-0.4
199710,68.3,-1.2
199711,49.4,-4.9
199712,40.8,-1.6
199801,42.9,3.7
199802,49.3,5.0
199803,49.4,-5.4
199804,65.0,-1.2
199805,80.2,4.5
199806,84.0,-0.1
199807,87.2,-2.0
199808,87.4,-0.4
199809,84.6,4.3
199810,70.1,0.6
199811,58.4,4.1
199812,46.4,4.0
199901,39.1,-0.1
199902,52.1,7.8
199903,53.2,-1.6
199904,66.8,0.6
199905,75.2,-0.5
199906,82.5,-1.6
199907,90.9,1.7
199908,88.2,0.4
199909,80.5,0.2
199910,71.2,1.7
199911,65.4,11.1
199912,46.8,4.4
200001,43.0,3.8
200002,52.9,8.6
200003,59.8,5.0
200004,67.4,1.2
200005,78.4,2.7
200006,81.3,-2.8
200007,85.9,-3.3
200008,90.9,3.1
200009,82.7,2.4
200010,71.8,2.3
200011,49.2,-5.1
200012,30.1,-12.3
200101,38.5,-0.7
200102,44.4,0.1
200103,50.9,-3.9
200104,72.2,6.0
200105,76.9,1.2
200106,82.3,-1.8
200107,88.8,-0.4
200108,88.6,0.8
200109,78.2,-2.1
200110,67.9,-1.6
200111,62.6,8.3
200112,48.3,5.9
200201,45.9,6.7
200202,48.1,3.8
200203,52.2,-2.6
200204,69.1,2.9
200205,72.7,-3.0
200206,85.4,1.3
200207,90.0,0.8
200208,87.8,0.0
200209,83.5,3.2
200210,63.3,-6.2
200211,52.5,-1.8
200212,45.9,3.5
200301,37.3,-1.9
200302,40.7,-3.6
200303,56.5,1.7
200304,68.4,2.2
200305,74.6,-1.1
200306,80.0,-4.1
200307,89.4,0.2
200308,90.8,3.0
200309,76.6,-3.7
200310,69.7,0.2
200311,55.9,1.6
200312,44.8,2.4
200401,39.2,0.0
200402,43.4,-0.9
200403,58.7,3.9
200404,67.6,1.4
200405,77.5,1.8
200406,81.0,-3.1
200407,83.9,-5.3
200408,81.5,-6.3
200409,81.4,1.1
200410,68.9,-0.6
200411,56.1,1.8
200412,44.9,2.5
200501,41.1,1.9
200502,49.6,5.3
200503,55.0,0.2
200504,68.2,2.0
200505,76.1,0.4
200506,86.7,2.6
200507,89.9,0.7
200508,88.6,0.8
200509,83.6,3.3
200510,68.8,-0.7
200511,58.8,4.5
200512,39.3,-3.1
200601,51.3,12.1
200602,46.2,1.9
200603,57.0,2.2
200604,73.8,7.6
200605,75.3,-0.4
200606,85.1,1.0
200607,90.4,1.2
200608,89.6,1.8
200609,76.8,-3.5
200610,65.5,-4.0
200611,57.3,3.0
200612,47.8,5.4
200701,40.7,1.5
200702,38.9,-5.4
200703,64.4,9.6
200704,64.0,-2.2
200705,79.1,3.4
200706,83.8,-0.3
200707,86.6,-2.6
200708,93.3,5.5
200709,82.4,2.1
200710,71.5,2.0
200711,56.9,2.6
200712,41.8,-0.6
200801,41.6,2.4
200802,39.9,-4.4
200803,54.7,-0.1
200804,63.1,-3.1
200805,73.7,-2.0
200806,83.7,-0.4
200807,86.8,-2.4
200808,84.5,-3.3
200809,77.5,-2.8
200810,67.6,-1.9
200811,53.8,-0.5
200812,41.8,-0.6
200901,38.0,-1.2
200902,49.8,5.5
200903,57.9,3.1
200904,64.0,-2.2
200905,74.4,-1.3
200906,85.1,1.0
200907,83.0,-6.2
200908,83.3,-4.5
200909,76.6,-3.7
200910,59.9,-9.6
200911,60.0,5.7
200912,38.8,-3.6
201001,33.2,-6.0
201002,37.0,-7.3
201003,55.3,0.5
201004,72.8,6.6
201005,74.9,-0.8
201006,87.7,3.6
201007,89.0,-0.2
201008,90.8,3.0
201009,79.9,-0.4
201010,72.6,3.1
201011,58.3,4.0
201012,38.1,-4.3
201101,36.1,-3.1
201102,43.0,-1.3
201103,54.9,0.1
201104,68.4,2.2
201105,73.2,-2.5
201106,86.5,2.4
201107,93.5,4.3
201108,89.1,1.3
201109,76.9,-3.4
201110,71.0,1.5
201111,57.0,2.7
201112,46.5,4.1
201201,47.6,8.4
201202,49.6,5.3
201203,69.9,15.1
201204,71.0,4.8
201205,81.8,6.1
201206,87.8,3.7
201207,97.0,7.8
201208,90.0,2.2
201209,78.6,-1.7
201210,65.7,-3.8
201211,57.3,3.0
201212,48.4,6.0
201301,44.0,4.8
201302,44.0,-0.3
201303,47.7,-7.1
201304,63.4,-2.8
201305,74.2,-1.5
201306,83.2,-0.9
201307,85.8,-3.4
201308,85.0,-2.8
201309,82.8,2.5
201310,67.4,-2.1
201311,52.3,-2.0
201312,40.3,-2.1
201401,37.8,-1.4
201402,36.8,-7.5
201403,52.8,-2.0
201404,67.2,1.0
201405,76.5,0.8
201406,82.8,-1.3
201407,83.7,-5.5
201408,87.2,-0.6
201409,78.4,-1.9
201410,69.4,-0.1
201411,48.1,-6.2
201412,43.2,0.8
201501,41.6,2.4
201502,36.6,-7.7
201503,56.2,1.4
201504,69.2,3.0
201505,74.9,-0.8
