#  Missouri Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.27,0.04
199702,3.18,3.18
199703,-0.63,-0.52
199704,0.64,0.37
199705,1.09,1.13
199706,-0.22,-0.32
199707,-1.17,-1.34
199708,0.61,0.49
199709,-0.72,-0.97
199710,-0.02,-0.03
199711,-0.61,-0.64
199712,0.03,0.13
199801,0.91,0.68
199802,1.07,1.07
199803,3.46,3.57
199804,0.51,0.24
199805,-2.28,-2.24
199806,2.45,2.35
199807,3.47,3.30
199808,-0.55,-0.67
199809,0.61,0.36
199810,2.70,2.69
199811,1.07,1.04
199812,-0.35,-0.25
199901,1.99,1.76
199902,0.00,0.00
199903,-0.45,-0.34
199904,2.28,2.01
199905,0.07,0.11
199906,0.36,0.26
199907,-1.80,-1.97
199908,-1.84,-1.96
199909,-1.44,-1.69
199910,-2.31,-2.32
199911,-3.82,-3.85
199912,-0.39,-0.29
200001,-1.65,-1.88
200002,-0.39,-0.39
200003,-1.37,-1.26
200004,-2.81,-3.08
200005,-1.41,-1.37
200006,2.53,2.43
200007,1.06,0.89
200008,-0.82,-0.94
200009,-1.04,-1.29
200010,-0.98,-0.99
200011,-0.31,-0.34
200012,-1.22,-1.12
200101,0.17,-0.06
200102,3.55,3.55
200103,-1.51,-1.40
200104,-1.72,-1.99
200105,0.62,0.66
200106,1.55,1.45
200107,1.65,1.48
200108,-0.18,-0.30
200109,0.05,-0.20
200110,1.43,1.42
200111,-0.31,-0.34
200112,0.98,1.08
200201,1.10,0.87
200202,-0.75,-0.75
200203,0.66,0.77
200204,0.62,0.35
200205,5.52,5.56
200206,-1.65,-1.75
200207,-0.82,-0.99
200208,-0.33,-0.45
200209,-2.40,-2.65
200210,0.25,0.24
200211,-2.51,-2.54
200212,-1.09,-0.99
200301,-2.08,-2.31
200302,0.16,0.16
200303,-1.25,-1.14
200304,0.07,-0.20
200305,0.37,0.41
200306,0.73,0.63
200307,-0.89,-1.06
200308,-0.16,-0.28
200309,1.59,1.34
200310,-0.75,-0.76
200311,1.15,1.12
200312,1.58,1.68
200401,0.63,0.40
200402,-1.20,-1.20
200403,1.60,1.71
200404,-0.56,-0.83
200405,0.60,0.64
200406,-0.65,-0.75
200407,2.86,2.69
200408,3.01,2.89
200409,-1.67,-1.92
200410,1.75,1.74
200411,3.55,3.52
200412,-0.56,-0.46
200501,3.97,3.74
200502,0.35,0.35
200503,-1.97,-1.86
200504,-0.73,-1.00
200505,-2.40,-2.36
200506,-0.96,-1.06
200507,-1.04,-1.21
200508,1.46,1.34
200509,-0.49,-0.74
200510,-1.86,-1.87
200511,-0.93,-0.96
200512,-2.39,-2.29
200601,-0.97,-1.20
200602,-2.22,-2.22
200603,0.39,0.50
200604,-0.91,-1.18
200605,-1.11,-1.07
200606,-1.34,-1.44
200607,-0.24,-0.41
200608,0.41,0.29
200609,-0.72,-0.97
200610,0.61,0.60
200611,0.35,0.32
200612,0.92,1.02
200701,1.48,1.25
200702,0.83,0.83
200703,-1.84,-1.73
200704,0.38,0.11
200705,-0.13,-0.09
200706,0.57,0.47
200707,-0.83,-1.00
200708,-1.12,-1.24
200709,-1.30,-1.55
200710,0.03,0.02
200711,-2.36,-2.39
200712,1.07,1.17
200801,-0.15,-0.38
200802,3.74,3.74
200803,4.45,4.56
200804,3.61,3.34
200805,1.07,1.11
200806,2.33,2.23
200807,3.52,3.35
