#  Montana Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1477,40
199702,1099,-79
199703,1027,-68
199704,905,142
199705,468,-46
199706,252,-35
199707,140,25
199708,124,-18
199709,286,-99
199710,713,7
199711,1037,-28
199712,1246,-93
199801,1347,-90
199802,1003,-175
199803,1078,-17
199804,694,-69
199805,445,-69
199806,383,96
199807,56,-59
199808,75,-67
199809,204,-181
199810,687,-19
199811,959,-106
199812,1345,6
199901,1243,-194
199902,995,-183
199903,952,-143
199904,801,38
199905,565,51
199906,320,33
199907,147,32
199908,92,-50
199909,429,44
199910,648,-58
199911,796,-269
199912,1124,-215
200001,1287,-150
200002,1032,-146
200003,943,-152
200004,673,-90
200005,487,-27
200006,273,-14
200007,76,-39
200008,89,-53
200009,381,-4
200010,704,-2
200011,1272,207
200012,1434,95
200101,1248,-189
200102,1285,107
200103,970,-125
200104,764,1
200105,421,-93
200106,281,-6
200107,96,-19
200108,59,-83
200109,245,-140
200110,718,12
200111,874,-191
200112,1309,-30
200201,1291,-146
200202,1098,-80
200203,1318,223
200204,836,73
200205,584,70
200206,253,-34
200207,57,-58
200208,197,55
200209,336,-49
200210,881,175
200211,964,-101
200212,1174,-165
200301,1174,-263
200302,1183,5
200303,1052,-43
200304,686,-77
200305,515,1
200306,262,-25
200307,40,-75
200308,52,-90
200309,345,-40
200310,579,-127
200311,1209,144
200312,1230,-109
200401,1394,-43
200402,1090,-88
200403,850,-245
200404,657,-106
200405,563,49
200406,311,24
200407,95,-20
200408,152,10
200409,393,8
200410,697,-9
200411,963,-102
200412,1147,-192
200501,1363,-74
200502,1008,-170
200503,956,-139
200504,726,-37
200505,531,17
200506,315,28
200507,81,-34
200508,134,-8
200509,355,-30
200510,637,-69
200511,989,-76
200512,1360,21
200601,1064,-373
200602,1163,-15
200603,1060,-35
200604,656,-107
200605,436,-78
200606,196,-91
200607,38,-77
200608,119,-23
200609,344,-41
200610,765,59
200611,1039,-26
200612,1226,-113
200701,1347,-90
200702,1124,-54
200703,827,-268
200704,737,-26
200705,456,-58
200706,221,-66
200707,18,-97
200708,107,-35
200709,352,-33
200710,675,-31
200711,1013,-52
200712,1322,-17
200801,1423,-14
200802,1075,-103
200803,1075,-20
200804,871,108
200805,530,16
200806,313,26
200807,93,-22
200808,113,-29
200809,384,-1
200810,689,-17
200811,877,-188
200812,1516,177
200901,1293,-144
200902,1065,-113
200903,1132,37
200904,785,22
200905,487,-27
200906,311,24
200907,116,1
200908,134,-8
200909,218,-167
200910,913,207
200911,933,-132
200912,1561,222
201001,1283,-154
201002,1129,-49
201003,894,-201
201004,751,-12
201005,638,124
201006,305,18
201007,133,18
201008,151,9
201009,360,-25
201010,570,-136
201011,1147,82
201012,1351,12
201101,1335,-102
201102,1304,126
201103,1064,-31
201104,864,101
201105,602,88
201106,338,51
201107,106,-9
201108,82,-60
201109,255,-130
201110,636,-70
201111,1065,0
201112,1217,-122
201201,1220,-217
201202,1108,-70
201203,849,-246
201204,642,-121
201205,539,25
201206,252,-35
201207,50,-65
201208,83,-59
201209,261,-124
201210,750,44
201211,954,-111
201212,1300,-39
201301,1299,-138
201302,1047,-131
201303,1028,-67
201304,850,87
201305,462,-52
201306,248,-39
201307,60,-55
201308,71,-71
201309,272,-113
201310,781,75
201311,1018,-47
201312,1433,94
201401,1206,-231
201402,1363,185
201403,1065,-30
201404,742,-21
201405,472,-42
201406,319,32
201407,62,-53
201408,119,-23
201409,335,-50
201410,548,-158
201411,1161,96
201412,1221,-118
201501,1196,-241
201502,996,-182
201503,804,-291
201504,704,-59
201505,503,-11
201506,130,-157
201507,99,-16
201508,94,-48
201509,296,-89
201510,538,-168
201511,1077,12
201512,1271,-68
201601,1236,-201
201602,889,-289
201603,894,-201
201604,608,-155
201605,485,-29
201606,180,-107
201607,110,-5
201608,125,-17
201609,367,-18
201610,662,-44
201611,799,-266
201612,1535,196
201701,1512,75
201702,1094,-84
201703,887,-208
201704,730,-33
201705,447,-67
201706,225,-62
201707,34,-81
201708,92,-50
201709,348,-37
201710,733,27
201711,1016,-49
201712,1330,-9
201801,1237,-200
201802,1384,206
201803,1081,-14
201804,804,41
201805,356,-158
201806,267,-20
201807,82,-33
201808,122,-20
201809,387,2
201810,733,27
201811,1039,-26
201812,1247,-92
201901,1222,-215
201902,1550,372
201903,1207,112
201904,731,-32
201905,554,40
201906,266,-21
201907,118,3
201908,108,-34
201909,353,-32
201910,946,240
201911,1054,-11
201912,1181,-158
202001,1222,-215
202002,1099,-79
202003,1041,-54
202004,810,47
202005,493,-21
202006,267,-20
202007,112,-3
202008,78,-64
202009,279,-106
202010,783,77
202011,975,-90
202012,1141,-198
202101,1186,-251
202102,1368,190
202103,928,-167
202104,766,3
202105,549,35
202106,124,-163
202107,24,-91
202108,125,-17
202109,279,-106
202110,642,-64
202111,871,-194
202112,1341,2
202201,1263,-174
202202,1174,-4
202203,971,-124
202204,924,161
202205,578,64
202206,275,-12
202207,55,-60
202208,46,-96
202209,217,-168
202210,574,-132
202211,1270,205
202212,1474,135
