#  Montana Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.60,0.25
199702,0.86,-0.20
199703,1.51,0.23
199704,1.78,0.27
199705,2.43,0.01
199706,3.00,0.14
199707,2.79,1.20
199708,1.60,0.29
199709,1.00,-0.46
199710,1.54,0.29
199711,0.75,-0.53
199712,0.58,-0.71
199801,1.40,0.05
199802,0.60,-0.46
199803,1.46,0.18
199804,1.33,-0.18
199805,2.13,-0.29
199806,4.02,1.16
199807,1.88,0.29
199808,1.22,-0.09
199809,1.02,-0.44
199810,1.61,0.36
199811,1.92,0.64
199812,1.66,0.37
199901,1.45,0.10
199902,1.38,0.32
199903,0.77,-0.51
199904,1.75,0.24
199905,2.36,-0.06
199906,2.56,-0.30
199907,1.05,-0.54
199908,1.84,0.53
199909,1.07,-0.39
199910,0.99,-0.26
199911,1.19,-0.09
199912,1.03,-0.26
200001,1.19,-0.16
200002,1.26,0.20
200003,1.00,-0.28
200004,1.28,-0.23
200005,2.09,-0.33
200006,2.09,-0.77
200007,1.64,0.05
200008,0.37,-0.94
200009,1.54,0.08
200010,1.35,0.10
200011,0.98,-0.30
200012,0.87,-0.42
200101,0.51,-0.84
200102,0.82,-0.24
200103,0.83,-0.45
200104,1.72,0.21
200105,0.83,-1.59
200106,3.83,0.97
200107,2.48,0.89
200108,0.21,-1.10
200109,0.92,-0.54
200110,1.29,0.04
200111,0.71,-0.57
200112,0.79,-0.50
200201,1.26,-0.09
200202,0.98,-0.08
200203,1.48,0.20
200204,1.25,-0.26
200205,2.04,-0.38
200206,3.37,0.51
200207,1.41,-0.18
200208,1.89,0.58
200209,1.37,-0.09
200210,0.68,-0.57
200211,0.66,-0.62
200212,0.78,-0.51
200301,1.37,0.02
200302,1.21,0.15
200303,2.10,0.82
200304,2.03,0.52
200305,2.33,-0.09
200306,2.18,-0.68
200307,0.50,-1.09
200308,0.71,-0.60
200309,1.08,-0.38
200310,1.33,0.08
200311,1.15,-0.13
200312,1.40,0.11
200401,1.30,-0.05
200402,0.72,-0.34
200403,0.64,-0.64
200404,1.15,-0.36
200405,3.00,0.58
200406,2.03,-0.83
200407,1.48,-0.11
200408,1.97,0.66
200409,1.53,0.07
200410,1.49,0.24
200411,0.60,-0.68
