#  Montana Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.30,2.82
199702,3.30,2.81
199703,3.74,3.33
199704,4.02,3.63
199705,3.69,3.21
199706,3.39,2.93
199707,4.22,3.69
199708,4.36,3.81
199709,-0.34,-0.75
199710,-0.03,-0.43
199711,-0.29,-0.72
199712,-0.80,-1.18
199801,-0.84,-1.32
199802,-1.25,-1.74
199803,-1.22,-1.63
199804,-1.48,-1.87
199805,-1.66,-2.14
199806,0.88,0.42
199807,1.23,0.70
199808,-0.04,-0.59
199809,-0.65,-1.06
199810,0.22,-0.18
199811,0.65,0.22
199812,0.94,0.56
199901,1.10,0.62
199902,1.49,1.00
199903,1.22,0.81
199904,1.44,1.05
199905,1.49,1.01
199906,1.37,0.91
199907,1.30,0.77
199908,1.52,0.97
199909,-0.14,-0.55
199910,-0.39,-0.79
199911,-0.87,-1.30
199912,-1.16,-1.54
200001,-1.43,-1.91
200002,-1.46,-1.95
200003,-2.12,-2.53
200004,-2.47,-2.86
200005,-2.60,-3.08
200006,-2.91,-3.37
200007,-3.07,-3.60
200008,-3.91,-4.46
200009,-3.60,-4.01
200010,-3.21,-3.61
200011,-3.21,-3.64
200012,-3.47,-3.85
200101,-4.16,-4.64
200102,-4.62,-5.11
200103,-5.61,-6.02
200104,-5.48,-5.87
200105,-6.36,-6.84
200106,-5.56,-6.02
200107,-5.04,-5.57
200108,-5.85,-6.40
200109,-6.01,-6.42
200110,-5.38,-5.78
200111,-5.71,-6.14
200112,-5.96,-6.34
200201,-6.09,-6.57
200202,-6.28,-6.77
200203,-6.42,-6.83
200204,-6.09,-6.48
200205,-5.58,-6.06
200206,-4.90,-5.36
200207,-4.76,-5.29
200208,-4.03,-4.58
200209,-3.78,-4.19
200210,-3.41,-3.81
200211,-3.67,-4.10
200212,-3.92,-4.30
200301,-3.92,-4.40
200302,-3.83,-4.32
200303,-3.20,-3.61
200304,-2.74,-3.13
200305,-2.38,-2.86
200306,-2.41,-2.87
200307,-2.86,-3.39
200308,-3.63,-4.18
200309,-3.70,-4.11
200310,-3.58,-3.98
200311,-3.45,-3.88
200312,-3.30,-3.68
200401,-3.31,-3.79
200402,-3.58,-4.07
200403,-4.71,-5.12
200404,-5.23,-5.62
200405,-4.40,-4.88
200406,-4.46,-4.92
200407,-4.52,-5.05
200408,-3.84,-4.39
200409,-3.45,-3.86
200410,-2.90,-3.30
200411,-3.24,-3.67
200412,-3.42,-3.80
200501,-3.85,-4.33
200502,-4.63,-5.12
200503,-5.21,-5.62
200504,-4.99,-5.38
200505,0.17,-0.31
200506,1.24,0.78
200507,0.70,0.17
200508,0.51,-0.04
200509,0.28,-0.13
200510,0.68,0.28
200511,0.91,0.48
200512,0.85,0.47
200601,0.90,0.42
200602,0.83,0.34
200603,1.00,0.59
200604,1.53,1.14
200605,-0.46,-0.94
200606,-0.86,-1.32
200607,-1.79,-2.32
200608,-2.51,-3.06
200609,0.15,-0.26
200610,0.82,0.42
200611,1.13,0.70
200612,-0.26,-0.64
200701,-0.71,-1.19
200702,-0.54,-1.03
200703,-1.19,-1.60
200704,0.06,-0.33
200705,1.05,0.57
200706,-0.43,-0.89
200707,-0.95,-1.48
200708,-1.75,-2.30
200709,-1.75,-2.16
200710,-1.41,-1.81
200711,-1.62,-2.05
200712,-1.78,-2.16
200801,-1.99,-2.47
200802,-2.14,-2.63
200803,-2.56,-2.97
200804,-2.63,-3.02
200805,1.09,0.61
200806,1.22,0.76
200807,1.20,0.67
200808,0.94,0.39
200809,0.99,0.58
200810,0.94,0.54
200811,0.68,0.25
200812,0.93,0.55
200901,0.87,0.39
200902,0.59,0.10
200903,0.97,0.56
200904,1.36,0.97
200905,-0.59,-1.07
200906,-0.82,-1.28
200907,0.33,-0.20
200908,0.72,0.17
200909,-0.88,-1.29
200910,1.17,0.77
200911,-0.54,-0.97
200912,-0.62,-1.00
201001,-0.75,-1.23
201002,-1.16,-1.65
201003,-2.01,-2.42
201004,0.10,-0.29
201005,1.39,0.91
201006,1.92,1.46
201007,2.23,1.70
201008,3.04,2.49
201009,3.23,2.82
201010,2.50,2.10
201011,2.95,2.52
201012,3.22,2.84
201101,3.69,3.21
201102,4.19,3.70
201103,4.62,4.21
201104,5.20,4.81
201105,7.14,6.66
201106,6.97,6.51
201107,6.63,6.10
201108,-0.22,-0.77
201109,-1.07,-1.48
201110,-0.54,-0.94
201111,-0.59,-1.02
201112,-0.94,-1.32
201201,-1.10,-1.58
201202,-1.28,-1.77
201203,-1.78,-2.19
201204,-1.74,-2.13
201205,-1.48,-1.96
201206,-1.93,-2.39
201207,-2.25,-2.78
201208,-3.03,-3.58
201209,-3.98,-4.39
201210,-3.03,-3.43
201211,-2.62,-3.05
201212,-2.40,-2.78
201301,-2.44,-2.92
201302,-2.73,-3.22
201303,-3.00,-3.41
201304,0.14,-0.25
201305,1.21,0.73
201306,1.35,0.89
201307,1.40,0.87
201308,1.28,0.73
201309,1.73,1.32
201310,1.69,1.29
201311,1.31,0.88
201312,1.25,0.87
201401,1.01,0.53
