#  Montana Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.27,2.86
199702,3.30,2.89
199703,3.74,3.34
199704,4.02,3.64
199705,3.69,3.29
199706,3.39,2.97
199707,4.22,3.66
199708,4.36,3.91
199709,3.12,2.74
199710,3.29,2.93
199711,2.31,1.91
199712,0.84,0.45
199801,0.38,-0.03
199802,-0.78,-1.19
199803,-0.98,-1.38
199804,-1.48,-1.86
199805,-1.66,-2.06
199806,0.79,0.37
199807,1.23,0.67
199808,0.89,0.44
199809,-0.65,-1.03
199810,-0.36,-0.72
199811,0.65,0.25
199812,0.94,0.55
199901,1.10,0.69
199902,1.49,1.08
199903,0.97,0.57
199904,1.44,1.06
199905,1.49,1.09
199906,1.36,0.94
199907,1.30,0.74
199908,1.52,1.07
199909,0.92,0.54
199910,0.06,-0.30
199911,-0.87,-1.27
199912,-1.16,-1.55
200001,-1.43,-1.84
200002,-1.46,-1.87
200003,-2.12,-2.52
200004,-2.47,-2.85
200005,-2.60,-3.00
200006,-2.91,-3.33
200007,-3.07,-3.63
200008,-3.91,-4.36
200009,-3.60,-3.98
200010,-3.12,-3.48
200011,-3.21,-3.61
200012,-3.47,-3.86
200101,-4.16,-4.57
200102,-4.62,-5.03
200103,-5.61,-6.01
200104,-5.48,-5.86
200105,-6.36,-6.76
200106,-5.36,-5.78
200107,-4.83,-5.39
200108,-5.85,-6.30
200109,-6.01,-6.39
200110,-5.31,-5.67
200111,-5.71,-6.11
200112,-5.96,-6.35
200201,-6.09,-6.50
200202,-6.28,-6.69
200203,-6.42,-6.82
200204,-6.09,-6.47
200205,-5.58,-5.98
200206,-4.71,-5.13
200207,-4.76,-5.32
200208,-3.70,-4.15
200209,-3.58,-3.96
200210,-3.17,-3.53
200211,-3.67,-4.07
200212,-3.92,-4.31
200301,-3.92,-4.33
200302,-3.83,-4.24
200303,-2.87,-3.27
200304,-2.20,-2.58
200305,-1.70,-2.10
200306,-2.00,-2.42
200307,-2.86,-3.42
200308,-3.63,-4.08
200309,-3.70,-4.08
200310,-3.58,-3.94
200311,-3.45,-3.85
200312,-3.30,-3.69
200401,-3.31,-3.72
200402,-3.58,-3.99
200403,-4.71,-5.11
200404,-5.23,-5.61
200405,-4.02,-4.42
200406,-4.46,-4.88
200407,-4.52,-5.08
200408,-3.55,-4.00
200409,-3.11,-3.49
200410,-2.28,-2.64
200411,-3.24,-3.64
200412,-3.42,-3.81
200501,-3.85,-4.26
200502,-4.63,-5.04
200503,-5.21,-5.61
200504,-4.99,-5.37
200505,-4.06,-4.46
200506,-1.26,-1.68
200507,-1.83,-2.39
200508,-1.75,-2.20
200509,-1.81,-2.19
200510,-0.66,-1.02
200511,0.09,-0.31
200512,0.26,-0.13
200601,0.56,0.15
200602,0.61,0.20
200603,1.00,0.60
200604,1.53,1.15
200605,0.11,-0.29
200606,-0.86,-1.28
200607,-1.79,-2.35
200608,-2.51,-2.96
200609,-1.84,-2.22
200610,0.00,-0.36
200611,0.96,0.56
200612,0.39,0.00
200701,-0.53,-0.94
200702,-0.18,-0.59
200703,-1.36,-1.76
200704,-1.00,-1.38
200705,1.05,0.65
200706,-0.43,-0.85
200707,-0.95,-1.51
200708,-1.75,-2.20
200709,-1.75,-2.13
200710,-1.11,-1.47
200711,-1.62,-2.02
200712,-1.78,-2.17
200801,-1.99,-2.40
200802,-2.14,-2.55
200803,-2.56,-2.96
200804,-2.63,-3.01
200805,0.18,-0.22
200806,0.80,0.38
200807,1.03,0.47
200808,0.74,0.29
200809,0.99,0.61
200810,0.94,0.58
200811,0.68,0.28
200812,0.93,0.54
200901,0.87,0.46
200902,0.59,0.18
200903,0.97,0.57
200904,1.36,0.98
200905,-0.46,-0.86
200906,-0.82,-1.24
200907,-0.41,-0.97
200908,0.72,0.27
200909,-0.88,-1.26
200910,1.17,0.81
200911,-0.54,-0.94
200912,-0.62,-1.01
201001,-0.75,-1.16
201002,-1.16,-1.57
201003,-2.01,-2.41
201004,-1.49,-1.87
201005,1.39,0.99
201006,1.92,1.50
201007,2.23,1.67
201008,3.04,2.59
201009,3.23,2.85
201010,1.95,1.59
201011,2.95,2.55
201012,3.22,2.83
201101,3.69,3.28
201102,4.19,3.78
201103,4.62,4.22
201104,5.20,4.82
201105,7.14,6.74
201106,6.97,6.55
201107,6.63,6.07
201108,5.44,4.99
201109,2.97,2.59
201110,3.37,3.01
201111,2.69,2.29
201112,1.45,1.06
201201,0.65,0.24
201202,-0.11,-0.52
201203,-1.39,-1.79
201204,-1.57,-1.95
201205,-1.34,-1.74
201206,-1.93,-2.35
201207,-2.25,-2.81
201208,-3.03,-3.48
201209,-3.98,-4.36
201210,-2.33,-2.69
201211,-1.78,-2.18
201212,-1.57,-1.96
201301,-1.90,-2.31
201302,-2.72,-3.13
201303,-3.00,-3.40
201304,-2.33,-2.71
201305,0.40,0.00
201306,1.05,0.63
201307,1.40,0.84
201308,1.24,0.79
201309,1.73,1.35
201310,1.69,1.33
201311,0.92,0.52
201312,0.92,0.53
201401,0.45,0.04
201402,1.39,0.98
201403,2.36,1.96
201404,2.18,1.80
201405,1.29,0.89
201406,1.91,1.49
201407,0.97,0.41
201408,2.86,2.41
201409,2.15,1.77
201410,0.79,0.43
201411,1.90,1.50
201412,1.91,1.52
201501,1.73,1.32
201502,1.54,1.13
201503,-0.19,-0.59
201504,-1.07,-1.45
201505,-0.66,-1.06
201506,-1.74,-2.16
201507,-1.72,-2.28
201508,-2.07,-2.52
201509,-2.21,-2.59
201510,-2.19,-2.55
201511,-1.97,-2.37
201512,-1.51,-1.90
201601,-1.98,-2.39
201602,-2.31,-2.72
201603,-2.86,-3.26
201604,-2.48,-2.86
201605,-1.26,-1.66
201606,-2.66,-3.08
201607,-2.10,-2.66
201608,-2.41,-2.86
201609,-0.58,-0.96
201610,2.20,1.84
201611,0.35,-0.05
201612,0.74,0.35
201701,0.21,-0.20
201702,1.36,0.95
201703,2.01,1.61
201704,2.25,1.87
201705,0.59,0.19
201706,-1.31,-1.73
201707,-2.50,-3.06
201708,-3.58,-4.03
201709,-2.65,-3.03
201710,-2.47,-2.83
201711,-1.73,-2.13
201712,-0.99,-1.38
201801,-1.26,-1.67
201802,0.40,-0.01
201803,1.28,0.88
201804,1.94,1.56
201805,1.66,1.26
201806,2.06,1.64
201807,1.44,0.88
201808,0.45,0.00
201809,-0.28,-0.66
201810,0.04,-0.32
201811,0.28,-0.12
201812,-0.34,-0.73
201901,-0.70,-1.11
201902,0.52,0.11
201903,-0.35,-0.75
201904,0.64,0.26
201905,1.04,0.64
201906,0.71,0.29
201907,1.50,0.94
201908,1.71,1.26
201909,3.13,2.75
201910,3.55,3.19
201911,3.52,3.12
201912,3.26,2.87
202001,3.30,2.89
202002,3.61,3.20
202003,3.56,3.16
202004,3.22,2.84
202005,3.05,2.65
202006,3.15,2.73
202007,2.96,2.40
202008,1.10,0.65
202009,-0.36,-0.74
202010,1.44,1.08
202011,1.29,0.89
202012,0.27,-0.12
202101,-0.82,-1.23
202102,-0.68,-1.09
202103,-1.63,-2.03
202104,-2.00,-2.38
202105,-1.46,-1.86
202106,-3.17,-3.59
202107,-4.50,-5.06
202108,-4.18,-4.63
202109,-4.88,-5.26
202110,-4.39,-4.75
202111,-4.66,-5.06
202112,-4.33,-4.72
202201,-4.60,-5.01
202202,-4.87,-5.28
202203,-5.52,-5.92
