#  Montana Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,24.3,-2.1
199702,35.1,3.3
199703,43.1,2.9
199704,47.4,-5.3
199705,64.5,1.7
199706,73.0,1.9
199707,77.9,-2.7
199708,79.6,0.4
199709,73.1,5.5
199710,54.9,-0.6
199711,40.7,1.3
199712,35.2,5.3
199801,28.9,2.5
199802,40.4,8.6
199803,39.5,-0.7
199804,56.2,3.5
199805,67.0,4.2
199806,65.6,-5.5
199807,83.7,3.1
199808,83.8,4.6
199809,76.3,8.7
199810,56.3,0.8
199811,40.4,1.0
199812,30.4,0.5
199901,31.5,5.1
199902,39.2,7.4
199903,47.8,7.6
199904,52.0,-0.7
199905,60.9,-1.9
199906,69.4,-1.7
199907,79.9,-0.7
199908,81.3,2.1
199909,65.9,-1.7
199910,58.2,2.7
199911,50.7,11.3
199912,38.8,8.9
200001,32.1,5.7
200002,37.7,5.9
200003,47.2,7.0
200004,56.7,4.0
200005,64.2,1.4
200006,71.6,0.5
200007,84.1,3.5
200008,83.3,4.1
200009,68.3,0.7
200010,55.7,0.2
200011,31.7,-7.7
200012,25.8,-4.1
200101,34.2,7.8
200102,27.3,-4.5
200103,45.0,4.8
200104,52.9,0.2
200105,68.1,5.3
200106,71.0,-0.1
200107,81.5,0.9
200108,86.0,6.8
200109,73.8,6.2
200110,54.8,-0.7
200111,47.7,8.3
200112,32.3,2.4
200201,31.9,5.5
200202,37.9,6.1
200203,30.5,-9.7
200204,50.1,-2.6
200205,60.4,-2.4
200206,72.6,1.5
200207,85.0,4.4
200208,75.5,-3.7
200209,69.5,1.9
200210,48.6,-6.9
200211,44.4,5.0
200212,36.5,6.6
200301,34.9,8.5
200302,31.3,-0.5
200303,40.8,0.6
200304,56.1,3.4
200305,62.2,-0.6
200306,71.4,0.3
200307,87.0,6.4
200308,86.0,6.8
200309,68.8,1.2
200310,61.0,5.5
200311,34.1,-5.3
200312,34.2,4.3
200401,26.1,-0.3
200402,34.0,2.2
200403,49.4,9.2
200404,58.0,5.3
200405,60.0,-2.8
200406,68.9,-2.2
200407,80.8,0.2
200408,76.4,-2.8
200409,67.3,-0.3
200410,55.0,-0.5
200411,44.7,5.3
200412,37.2,7.3
200501,28.4,2.0
200502,41.6,9.8
200503,46.0,5.8
200504,55.4,2.7
200505,61.3,-1.5
200506,69.3,-1.8
200507,83.6,3.0
200508,79.8,0.6
200509,69.8,2.2
200510,57.0,1.5
200511,42.6,3.2
200512,28.9,-1.0
200601,39.7,13.3
200602,34.3,2.5
200603,41.2,1.0
200604,57.5,4.8
200605,66.6,3.8
200606,75.2,4.1
200607,87.8,7.2
200608,81.7,2.5
200609,68.5,0.9
200610,51.8,-3.7
200611,40.6,1.2
200612,35.6,5.7
200701,32.3,5.9
200702,31.0,-0.8
200703,51.2,11.0
200704,52.6,-0.1
200705,65.0,2.2
200706,74.3,3.2
200707,89.3,8.7
200708,81.5,2.3
200709,69.6,2.0
200710,56.5,1.0
200711,42.3,2.9
200712,31.3,1.4
200801,29.5,3.1
200802,35.1,3.3
200803,42.9,2.7
200804,51.1,-1.6
200805,61.2,-1.6
200806,69.9,-1.2
200807,82.3,1.7
200808,81.7,2.5
200809,68.1,0.5
200810,56.2,0.7
200811,45.6,6.2
200812,23.8,-6.1
200901,31.1,4.7
200902,35.1,3.3
200903,39.8,-0.4
200904,51.5,-1.2
200905,64.6,1.8
200906,70.0,-1.1
200907,79.4,-1.2
200908,77.7,-1.5
200909,77.3,9.7
200910,45.5,-10.0
200911,46.8,7.4
200912,21.4,-8.5
201001,29.5,3.1
201002,31.0,-0.8
201003,48.1,7.9
201004,53.9,1.2
201005,57.7,-5.1
201006,69.6,-1.5
201007,78.9,-1.7
201008,78.4,-0.8
201009,67.0,-0.6
201010,61.1,5.6
201011,36.4,-3.0
201012,27.8,-2.1
201101,28.0,1.6
201102,26.8,-5.0
201103,38.2,-2.0
201104,48.3,-4.4
201105,57.2,-5.6
201106,68.3,-2.8
201107,81.8,1.2
201108,82.8,3.6
201109,74.8,7.2
