#  Montana Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.3,-2.7
199702,16.9,6.0
199703,20.4,1.8
199704,24.6,-4.1
199705,37.5,-0.2
199706,48.1,2.7
199707,50.8,0.0
199708,49.9,1.0
199709,43.0,3.0
199710,31.9,1.0
199711,20.2,0.5
199712,16.4,5.0
199801,9.1,2.1
199802,20.4,9.5
199803,18.4,-0.2
199804,31.1,2.4
199805,38.4,0.7
199806,43.2,-2.2
199807,54.5,3.7
199808,52.4,3.5
199809,46.5,6.5
199810,32.0,1.1
199811,25.8,6.1
199812,12.1,0.7
199901,12.8,5.8
199902,21.2,10.3
199903,22.8,4.2
199904,28.1,-0.6
199905,36.6,-1.1
199906,44.6,-0.8
199907,48.1,-2.7
199908,51.6,2.7
199909,37.4,-2.6
199910,31.2,0.3
199911,27.2,7.5
199912,20.2,8.8
200001,12.1,5.1
200002,16.2,5.3
200003,23.8,5.2
200004,29.7,1.0
200005,38.8,1.1
200006,44.4,-1.0
200007,52.7,1.9
200008,50.3,1.4
200009,40.5,0.5
200010,31.2,0.3
200011,12.5,-7.2
200012,5.9,-5.5
200101,15.0,8.0
200102,5.8,-5.1
200103,22.6,4.0
200104,29.3,0.6
200105,38.5,0.8
200106,45.8,0.4
200107,52.7,1.9
200108,51.8,2.9
200109,43.6,3.6
200110,30.7,-0.2
200111,24.9,5.2
200112,12.6,1.2
200201,13.5,6.5
200202,14.9,4.0
200203,9.0,-9.6
200204,25.1,-3.6
200205,34.5,-3.2
200206,46.4,1.0
200207,54.2,3.4
200208,47.0,-1.9
200209,41.8,1.8
200210,24.6,-6.3
200211,23.3,3.6
200212,17.2,5.8
200301,14.5,7.5
200302,11.4,0.5
200303,18.9,0.3
200304,32.1,3.4
200305,38.0,0.3
200306,45.4,0.0
200307,53.6,2.8
200308,54.1,5.2
200309,40.4,0.4
200310,34.0,3.1
200311,13.8,-5.9
200312,15.9,4.5
200401,8.0,1.0
200402,14.2,3.3
200403,25.6,7.0
200404,30.5,1.8
200405,36.1,-1.6
200406,43.4,-2.0
200407,51.4,0.6
200408,48.2,-0.7
200409,41.0,1.0
200410,31.2,0.3
200411,22.4,2.7
200412,17.6,6.2
200501,7.7,0.7
200502,16.1,5.2
200503,23.1,4.5
200504,30.0,1.3
200505,36.8,-0.9
200506,46.1,0.7
200507,51.5,0.7
200508,48.0,-0.9
200509,41.0,1.0
200510,33.3,2.4
200511,23.9,4.2
200512,12.0,0.6
200601,23.0,16.0
200602,12.5,1.6
200603,20.0,1.4
200604,32.3,3.6
200605,39.1,1.4
200606,47.9,2.5
200607,54.6,3.8
200608,49.2,0.3
200609,41.0,1.0
200610,29.0,-1.9
200611,20.0,0.3
200612,15.3,3.9
200701,11.3,4.3
200702,12.9,2.0
200703,26.7,8.1
200704,29.2,0.5
200705,39.1,1.4
200706,47.0,1.6
