#  Nebraska Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1387,39
199702,1002,-76
199703,741,-137
199704,625,152
199705,291,83
199706,26,-17
199707,9,-1
199708,21,4
199709,83,-31
199710,369,-30
199711,893,53
199712,1104,-127
199801,1221,-127
199802,819,-259
199803,1027,149
199804,473,0
199805,121,-87
199806,60,17
199807,7,-3
199808,9,-8
199809,34,-80
199810,340,-59
199811,689,-151
199812,1076,-155
199901,1268,-80
199902,800,-278
199903,802,-76
199904,461,-12
199905,199,-9
199906,52,9
199907,1,-9
199908,19,2
199909,145,31
199910,390,-9
199911,567,-273
199912,1025,-206
200001,1142,-206
200002,825,-253
200003,682,-196
200004,440,-33
200005,130,-78
200006,39,-4
200007,9,-1
200008,4,-13
200009,82,-32
200010,318,-81
200011,1036,196
200012,1507,276
200101,1202,-146
200102,1223,145
200103,925,47
200104,369,-104
200105,165,-43
200106,35,-8
200107,1,-9
200108,9,-8
200109,111,-3
200110,391,-8
200111,533,-307
200112,1035,-196
200201,1085,-263
200202,952,-126
200203,1031,153
200204,407,-66
200205,255,47
200206,9,-34
200207,0,-10
200208,11,-6
200209,84,-30
200210,575,176
200211,828,-12
200212,1022,-209
200301,1241,-107
200302,1122,44
200303,792,-86
200304,394,-79
200305,240,32
200306,57,14
200307,6,-4
200308,5,-12
200309,154,40
200310,316,-83
200311,859,19
200312,1059,-172
200401,1329,-19
200402,1126,48
200403,662,-216
200404,386,-87
200405,165,-43
200406,66,23
200407,20,10
200408,37,20
200409,52,-62
200410,354,-45
200411,731,-109
200412,1072,-159
200501,1348,0
200502,861,-217
200503,765,-113
200504,377,-96
200505,198,-10
200506,21,-22
200507,5,-5
200508,12,-5
200509,46,-68
200510,352,-47
200511,693,-147
200512,1246,15
200601,870,-478
200602,1000,-78
200603,829,-49
200604,310,-163
200605,150,-58
200606,17,-26
200607,1,-9
200608,12,-5
200609,172,58
200610,479,80
200611,780,-60
200612,1027,-204
200701,1317,-31
200702,1191,113
200703,597,-281
200704,499,26
200705,125,-83
200706,31,-12
200707,6,-4
200708,4,-13
200709,90,-24
200710,306,-93
200711,754,-86
200712,1331,100
200801,1373,25
200802,1132,54
200803,850,-28
200804,580,107
200805,244,36
200806,37,-6
200807,8,-2
200808,18,1
200809,121,7
200810,405,6
200811,773,-67
200812,1355,124
200901,1279,-69
200902,942,-136
200903,833,-45
200904,516,43
200905,180,-28
200906,46,3
200907,30,20
200908,30,13
200909,133,19
200910,638,239
200911,638,-202
200912,1421,190
201001,1437,89
201002,1209,131
201003,773,-105
201004,328,-145
201005,234,26
201006,25,-18
201007,8,-2
201008,6,-11
201009,98,-16
201010,312,-87
201011,802,-38
201012,1241,10
201101,1443,95
201102,1099,21
201103,838,-40
201104,465,-8
201105,224,16
201106,34,-9
201107,0,-10
201108,11,-6
201109,168,54
201110,334,-65
201111,770,-70
201112,1111,-120
201201,1062,-286
201202,989,-89
201203,404,-474
201204,306,-167
201205,113,-95
201206,14,-29
201207,0,-10
201208,13,-4
201209,104,-10
201210,485,86
201211,723,-117
201212,1143,-88
201301,1235,-113
201302,1010,-68
201303,954,76
201304,615,142
201305,210,2
201306,33,-10
201307,13,3
201308,10,-7
201309,45,-69
201310,430,31
201311,848,8
201312,1315,84
201401,1296,-52
201402,1224,146
201403,921,43
201404,448,-25
201405,187,-21
201406,33,-10
201407,26,16
201408,15,-2
201409,119,5
201410,344,-55
201411,970,130
201412,1111,-120
201501,1176,-172
201502,1179,101
201503,699,-179
201504,390,-83
201505,233,25
201506,29,-14
201507,12,2
201508,24,7
201509,41,-73
201510,300,-99
201511,663,-177
201512,1034,-197
201601,1249,-99
201602,868,-210
201603,617,-261
201604,390,-83
201605,217,9
201606,10,-33
201607,10,0
201608,15,-2
201609,71,-43
201610,287,-112
201611,585,-255
201612,1238,7
201701,1216,-132
201702,797,-281
201703,714,-164
201704,417,-56
201705,218,10
201706,19,-24
201707,5,-5
201708,37,20
201709,70,-44
201710,377,-22
201711,760,-80
201712,1177,-54
201801,1335,-13
201802,1205,127
201803,796,-82
201804,687,214
201805,94,-114
201806,13,-30
201807,12,2
201808,18,1
201809,71,-43
201810,502,103
201811,958,118
201812,1125,-106
201901,1235,-113
201902,1345,267
201903,998,120
201904,416,-57
201905,281,73
201906,35,-8
201907,8,-2
201908,17,0
201909,34,-80
201910,565,166
201911,871,31
201912,1058,-173
202001,1212,-136
202002,978,-100
202003,717,-161
202004,513,40
202005,246,38
202006,10,-33
202007,7,-3
202008,10,-7
202009,122,8
202010,523,124
202011,642,-198
202012,1069,-162
202101,1119,-229
202102,1398,320
202103,639,-239
202104,460,-13
202105,207,-1
202106,13,-30
202107,10,0
202108,8,-9
202109,52,-62
202110,320,-79
202111,657,-183
202112,942,-289
202201,1262,-86
202202,1056,-22
202203,794,-84
202204,499,26
202205,181,-27
202206,17,-26
202207,6,-4
202208,8,-9
202209,53,-61
202210,374,-25
202211,861,21
202212,1292,61
