#  Nebraska Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.02,2.36
199702,3.03,2.51
199703,2.11,1.72
199704,2.40,1.96
199705,2.26,1.73
199706,1.96,1.46
199707,2.07,1.42
199708,2.25,1.45
199709,2.36,1.58
199710,3.32,2.52
199711,3.01,2.24
199712,2.76,2.02
199801,2.45,1.79
199802,2.21,1.69
199803,2.75,2.36
199804,2.78,2.34
199805,2.33,1.80
199806,2.99,2.49
199807,3.89,3.24
199808,4.12,3.32
199809,3.07,2.29
199810,3.88,3.08
199811,4.40,3.63
199812,3.86,3.12
199901,3.50,2.84
199902,3.07,2.55
199903,2.52,2.13
199904,3.65,3.21
199905,3.74,3.21
199906,4.46,3.96
199907,4.25,3.60
199908,4.50,3.70
199909,0.03,-0.75
199910,-0.67,-1.47
199911,-1.24,-2.01
199912,-1.40,-2.14
200001,-1.48,-2.14
200002,-1.21,-1.73
200003,-1.36,-1.75
200004,-1.55,-1.99
200005,-2.02,-2.55
200006,-2.41,-2.91
200007,-2.23,-2.88
200008,-3.23,-4.03
200009,-3.47,-4.25
200010,0.53,-0.27
200011,0.93,0.16
200012,0.64,-0.10
200101,0.92,0.26
200102,1.12,0.60
200103,0.62,0.23
200104,1.31,0.87
200105,1.68,1.15
200106,-0.63,-1.13
200107,0.58,-0.07
200108,0.35,-0.45
200109,0.69,-0.09
200110,0.51,-0.29
200111,0.68,-0.09
200112,-0.41,-1.15
200201,-0.64,-1.30
200202,-0.93,-1.45
200203,-1.17,-1.56
200204,-1.70,-2.14
200205,-2.09,-2.62
200206,-3.53,-4.03
200207,-4.87,-5.52
200208,-4.31,-5.11
200209,-4.53,-5.31
200210,-2.99,-3.79
200211,-3.20,-3.97
200212,-3.40,-4.14
200301,-3.32,-3.98
200302,-3.12,-3.64
200303,-3.29,-3.68
200304,-2.76,-3.20
200305,-2.64,-3.17
200306,-2.02,-2.52
200307,-2.69,-3.34
200308,-3.52,-4.32
200309,-3.14,-3.92
200310,-3.42,-4.22
200311,-3.05,-3.82
200312,-3.06,-3.80
200401,-2.89,-3.55
200402,-2.66,-3.18
200403,-2.62,-3.01
200404,-2.94,-3.38
200405,-3.08,-3.61
200406,-3.16,-3.66
200407,-2.39,-3.04
200408,-2.78,-3.58
200409,0.56,-0.22
200410,0.35,-0.45
200411,0.61,-0.16
200412,-0.47,-1.21
200501,-0.48,-1.14
200502,-0.49,-1.01
200503,-0.67,-1.06
200504,0.35,-0.09
200505,0.29,-0.24
200506,1.03,0.53
200507,-0.35,-1.00
200508,-0.01,-0.81
200509,-0.79,-1.57
200510,-0.63,-1.43
200511,-0.68,-1.45
200512,-0.87,-1.61
200601,-1.27,-1.93
200602,-1.60,-2.12
200603,-1.28,-1.67
200604,-1.62,-2.06
200605,-2.97,-3.50
200606,-3.43,-3.93
200607,-4.28,-4.93
200608,0.32,-0.48
200609,1.12,0.34
200610,1.06,0.26
200611,0.43,-0.34
200612,1.46,0.72
200701,1.33,0.67
200702,1.43,0.91
200703,1.28,0.89
200704,2.17,1.73
200705,2.82,2.29
200706,2.28,1.78
200707,2.13,1.48
200708,2.92,2.12
200709,2.49,1.71
200710,3.34,2.54
200711,2.47,1.70
200712,2.97,2.23
200801,2.49,1.83
200802,2.14,1.62
200803,1.60,1.21
200804,2.09,1.65
200805,3.41,2.88
200806,3.56,3.06
200807,3.85,3.20
200808,3.70,2.90
200809,3.86,3.08
200810,5.67,4.87
200811,5.30,4.53
200812,5.05,4.31
200901,4.80,4.14
200902,4.77,4.25
200903,4.30,3.91
200904,4.69,4.25
200905,3.86,3.33
200906,4.64,4.14
200907,4.94,4.29
200908,5.77,4.97
200909,5.24,4.46
200910,6.80,6.00
200911,5.92,5.15
200912,6.19,5.45
201001,5.85,5.19
201002,5.81,5.29
201003,5.79,5.40
201004,5.83,5.39
201005,5.47,4.94
201006,6.92,6.42
201007,7.39,6.74
201008,7.37,6.57
201009,6.81,6.03
201010,5.90,5.10
201011,5.27,4.50
201012,4.65,3.91
201101,4.63,3.97
201102,4.31,3.79
201103,3.69,3.30
201104,3.82,3.38
201105,4.79,4.26
201106,4.68,4.18
201107,5.10,4.45
201108,5.52,4.72
201109,-0.41,-1.19
201110,0.44,-0.36
201111,-0.22,-0.99
201112,-0.13,-0.87
201201,-0.37,-1.03
201202,0.64,0.12
201203,-1.29,-1.68
201204,-1.10,-1.54
201205,-2.01,-2.54
201206,-3.28,-3.78
201207,-4.77,-5.42
201208,-5.70,-6.50
201209,-6.33,-7.11
201210,-5.95,-6.75
201211,-6.06,-6.83
201212,-5.57,-6.31
201301,-5.41,-6.07
201302,-4.98,-5.50
201303,-5.06,-5.45
201304,-4.24,-4.68
201305,-3.28,-3.81
201306,-3.60,-4.10
201307,-3.71,-4.36
201308,-3.29,-4.09
201309,-3.13,-3.91
201310,-1.76,-2.56
201311,-1.54,-2.31
201312,-1.63,-2.37
201401,-1.72,-2.38
201402,-1.55,-2.07
201403,-1.95,-2.34
201404,-1.99,-2.43
201405,-2.30,-2.83
201406,1.66,1.16
201407,1.28,0.63
201408,2.60,1.80
201409,2.76,1.98
201410,2.53,1.73
201411,2.12,1.35
201412,2.44,1.70
201501,2.04,1.38
201502,1.98,1.46
201503,0.81,0.42
201504,0.76,0.32
201505,2.05,1.52
201506,2.51,2.01
201507,3.09,2.44
201508,3.50,2.70
201509,3.44,2.66
201510,3.18,2.38
201511,3.64,2.87
201512,4.34,3.60
201601,4.07,3.41
201602,3.99,3.47
201603,3.42,3.03
201604,5.00,4.56
201605,5.36,4.83
201606,4.03,3.53
201607,4.15,3.50
201608,3.91,3.11
201609,3.55,2.77
201610,2.94,2.14
201611,2.31,1.54
201612,2.23,1.49
201701,2.41,1.75
201702,2.12,1.60
201703,1.67,1.28
201704,1.59,1.15
201705,2.18,1.65
201706,0.89,0.39
201707,0.57,-0.08
201708,1.64,0.84
201709,1.78,1.00
201710,2.72,1.92
201711,2.02,1.25
201712,1.70,0.96
201801,1.75,1.09
201802,1.67,1.15
201803,1.31,0.92
201804,1.24,0.80
201805,1.45,0.92
201806,1.98,1.48
201807,3.09,2.44
201808,3.23,2.43
201809,3.37,2.59
201810,4.12,3.32
201811,4.05,3.28
201812,5.12,4.38
201901,4.73,4.07
201902,4.76,4.24
201903,5.92,5.53
201904,5.39,4.95
201905,7.05,6.52
201906,6.59,6.09
201907,7.14,6.49
201908,8.51,7.71
201909,8.10,7.32
201910,7.91,7.11
201911,7.52,6.75
201912,7.58,6.84
202001,7.23,6.57
202002,6.63,6.11
202003,6.58,6.19
202004,5.59,5.15
202005,5.70,5.17
202006,4.49,3.99
202007,4.86,4.21
202008,-0.83,-1.63
202009,-1.36,-2.14
