#  Nebraska Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.02,2.18
199702,3.03,2.22
199703,2.11,1.45
199704,2.40,1.76
199705,2.26,1.64
199706,1.96,1.36
199707,2.07,1.30
199708,2.25,1.39
199709,2.36,1.52
199710,3.32,2.40
199711,3.01,2.14
199712,2.76,1.88
199801,2.45,1.61
199802,2.21,1.40
199803,2.75,2.09
199804,2.78,2.14
199805,2.33,1.71
199806,2.99,2.39
199807,3.89,3.12
199808,4.12,3.26
199809,3.07,2.23
199810,3.88,2.96
199811,4.40,3.53
199812,3.86,2.98
199901,3.50,2.66
199902,3.07,2.26
199903,2.52,1.86
199904,3.65,3.01
199905,3.74,3.12
199906,4.46,3.86
199907,4.25,3.48
199908,4.50,3.64
199909,4.06,3.22
199910,2.98,2.06
199911,2.03,1.16
199912,1.54,0.66
200001,1.15,0.31
200002,1.15,0.34
200003,0.76,0.10
200004,-1.55,-2.19
200005,-2.02,-2.64
200006,-2.41,-3.01
200007,-2.23,-3.00
200008,-3.23,-4.09
200009,-3.47,-4.31
200010,-2.59,-3.51
200011,-1.86,-2.73
200012,-1.87,-2.75
200101,-1.33,-2.17
200102,-0.90,-1.71
200103,-1.19,-1.85
200104,1.31,0.67
200105,1.68,1.06
200106,0.87,0.27
200107,1.36,0.59
200108,1.05,0.19
200109,1.31,0.47
200110,1.07,0.15
200111,1.18,0.31
200112,0.65,-0.23
200201,-0.64,-1.48
200202,-0.93,-1.74
200203,-1.17,-1.83
200204,-1.70,-2.34
200205,-2.09,-2.71
200206,-3.53,-4.13
200207,-4.87,-5.64
200208,-4.31,-5.17
200209,-4.53,-5.37
200210,-2.99,-3.91
200211,-3.20,-4.07
200212,-3.40,-4.28
200301,-3.32,-4.16
200302,-3.12,-3.93
200303,-3.29,-3.95
200304,-2.76,-3.40
200305,-2.64,-3.26
200306,-2.02,-2.62
200307,-2.69,-3.46
200308,-3.52,-4.38
200309,-3.14,-3.98
200310,-3.42,-4.34
200311,-3.05,-3.92
200312,-3.06,-3.94
200401,-2.89,-3.73
200402,-2.66,-3.47
200403,-2.62,-3.28
200404,-2.94,-3.58
200405,-3.08,-3.70
200406,-3.16,-3.76
200407,-2.39,-3.16
200408,-2.78,-3.64
200409,-1.93,-2.77
200410,-1.89,-2.81
200411,-1.39,-2.26
200412,-1.72,-2.60
200501,-1.60,-2.44
200502,-1.49,-2.30
200503,-1.58,-2.24
200504,-1.06,-1.70
200505,-0.98,-1.60
200506,1.03,0.43
200507,0.57,-0.20
200508,0.82,-0.04
200509,-0.79,-1.63
200510,-0.63,-1.55
200511,-0.68,-1.55
200512,-0.87,-1.75
200601,-1.27,-2.11
200602,-1.60,-2.41
200603,-1.28,-1.94
200604,-1.62,-2.26
200605,-2.97,-3.59
200606,-3.43,-4.03
200607,-4.28,-5.05
200608,-3.52,-4.38
200609,-2.32,-3.16
200610,-2.03,-2.95
200611,-2.34,-3.21
200612,-1.03,-1.91
200701,-0.90,-1.74
200702,-0.56,-1.37
200703,1.28,0.62
200704,2.17,1.53
200705,2.82,2.20
200706,2.28,1.68
200707,2.13,1.36
200708,2.92,2.06
200709,2.49,1.65
200710,3.34,2.42
200711,2.47,1.60
200712,2.97,2.09
200801,2.49,1.65
200802,2.14,1.33
200803,1.60,0.94
200804,2.09,1.45
200805,3.41,2.79
200806,3.56,2.96
200807,3.85,3.08
200808,3.70,2.84
200809,3.86,3.02
200810,5.67,4.75
200811,5.30,4.43
200812,5.05,4.17
200901,4.80,3.96
200902,4.77,3.96
200903,4.30,3.64
200904,4.69,4.05
200905,3.86,3.24
200906,4.64,4.04
200907,4.94,4.17
200908,5.77,4.91
200909,5.24,4.40
200910,6.80,5.88
200911,5.92,5.05
200912,6.19,5.31
201001,5.85,5.01
201002,5.81,5.00
201003,5.79,5.13
201004,5.83,5.19
201005,5.47,4.85
201006,6.92,6.32
201007,7.39,6.62
201008,7.37,6.51
201009,6.81,5.97
201010,5.90,4.98
201011,5.27,4.40
201012,4.65,3.77
201101,4.63,3.79
201102,4.31,3.50
201103,3.69,3.03
201104,3.82,3.18
201105,4.79,4.17
201106,4.68,4.08
201107,5.10,4.33
201108,5.52,4.66
201109,4.54,3.70
201110,4.51,3.59
201111,3.82,2.95
201112,3.50,2.62
201201,2.89,2.05
201202,3.22,2.41
201203,1.60,0.94
201204,1.49,0.85
201205,-2.01,-2.63
201206,-3.28,-3.88
201207,-4.77,-5.54
201208,-5.70,-6.56
201209,-6.33,-7.17
201210,-5.95,-6.87
201211,-6.06,-6.93
201212,-5.57,-6.45
201301,-5.41,-6.25
201302,-4.98,-5.79
201303,-5.06,-5.72
201304,-4.24,-4.88
201305,-3.28,-3.90
201306,-3.60,-4.20
201307,-3.71,-4.48
201308,-3.29,-4.15
201309,-3.13,-3.97
201310,-1.76,-2.68
201311,-1.54,-2.41
201312,-1.63,-2.51
201401,-1.72,-2.56
201402,-1.55,-2.36
201403,-1.95,-2.61
201404,-1.99,-2.63
201405,-2.30,-2.92
201406,1.66,1.06
201407,1.28,0.51
201408,2.60,1.74
201409,2.76,1.92
201410,2.53,1.61
201411,2.12,1.25
201412,2.44,1.56
201501,2.04,1.20
201502,1.98,1.17
201503,0.81,0.15
201504,0.76,0.12
201505,2.05,1.43
201506,2.51,1.91
201507,3.09,2.32
201508,3.50,2.64
201509,3.44,2.60
201510,3.18,2.26
201511,3.64,2.77
201512,4.34,3.46
201601,4.07,3.23
201602,3.99,3.18
201603,3.42,2.76
201604,5.00,4.36
201605,5.36,4.74
201606,4.03,3.43
201607,4.15,3.38
201608,3.91,3.05
201609,3.55,2.71
201610,2.94,2.02
201611,2.31,1.44
201612,2.23,1.35
201701,2.41,1.57
201702,2.12,1.31
201703,1.67,1.01
201704,1.59,0.95
201705,2.18,1.56
201706,0.89,0.29
201707,0.57,-0.20
201708,1.64,0.78
201709,1.78,0.94
201710,2.72,1.80
201711,2.02,1.15
201712,1.70,0.82
201801,1.75,0.91
201802,1.67,0.86
201803,1.31,0.65
201804,1.24,0.60
201805,1.45,0.83
201806,1.98,1.38
201807,3.09,2.32
201808,3.23,2.37
201809,3.37,2.53
201810,4.12,3.20
201811,4.05,3.18
201812,5.12,4.24
201901,4.73,3.89
201902,4.76,3.95
201903,5.92,5.26
201904,5.39,4.75
201905,7.05,6.43
201906,6.59,5.99
201907,7.14,6.37
201908,8.51,7.65
201909,8.10,7.26
201910,7.91,6.99
201911,7.52,6.65
201912,7.58,6.70
202001,7.23,6.39
202002,6.63,5.82
202003,6.58,5.92
202004,5.59,4.95
202005,5.70,5.08
202006,4.49,3.89
202007,4.86,4.09
202008,3.53,2.67
202009,2.55,1.71
202010,2.04,1.12
202011,1.49,0.62
202012,1.26,0.38
202101,1.17,0.33
202102,0.94,0.13
202103,2.10,1.44
202104,1.64,1.00
202105,1.64,1.02
202106,0.58,-0.02
202107,-1.10,-1.87
202108,-1.02,-1.88
202109,-1.20,-2.04
202110,-0.78,-1.70
202111,-1.39,-2.26
202112,-1.67,-2.55
202201,-1.88,-2.72
202202,-2.31,-3.12
202203,-2.86,-3.52
202204,-3.16,-3.80
202205,-3.14,-3.76
202206,-4.20,-4.80
202207,-4.39,-5.16
202208,-5.47,-6.33
202209,-5.80,-6.64
202210,-5.88,-6.80
202211,-5.75,-6.62
202212,-5.02,-5.90
