#  Nebraska Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.80,2.08
199702,3.03,2.34
199703,1.30,0.86
199704,2.16,1.66
199705,2.08,1.54
199706,1.66,1.15
199707,2.07,1.33
199708,2.25,1.41
199709,2.36,1.55
199710,3.32,2.45
199711,3.00,2.17
199712,2.76,1.95
199801,2.34,1.62
199802,2.07,1.38
199803,2.75,2.31
199804,2.78,2.28
199805,2.07,1.53
199806,2.99,2.48
199807,3.89,3.15
199808,4.12,3.28
199809,2.30,1.49
199810,3.88,3.01
199811,4.40,3.57
199812,3.70,2.89
199901,3.32,2.60
199902,2.76,2.07
199903,1.90,1.46
199904,3.65,3.15
199905,3.74,3.20
199906,4.46,3.95
199907,4.25,3.51
199908,4.50,3.66
199909,4.04,3.23
199910,2.13,1.26
199911,0.42,-0.41
199912,-0.34,-1.15
200001,-0.88,-1.60
200002,-0.66,-1.35
200003,-1.18,-1.62
200004,-1.55,-2.05
200005,-2.02,-2.56
200006,-2.41,-2.92
200007,-2.23,-2.97
200008,-3.23,-4.07
200009,-3.47,-4.28
200010,-1.90,-2.77
200011,-0.60,-1.43
200012,-0.82,-1.63
200101,0.09,-0.63
200102,0.77,0.08
200103,0.03,-0.41
200104,1.31,0.81
200105,1.68,1.14
200106,-0.16,-0.67
200107,1.14,0.40
200108,0.52,-0.32
200109,1.23,0.42
200110,0.74,-0.13
200111,1.11,0.28
200112,-0.22,-1.03
200201,-0.64,-1.36
200202,-0.93,-1.62
200203,-1.17,-1.61
200204,-1.70,-2.20
200205,-2.09,-2.63
200206,-3.53,-4.04
200207,-4.87,-5.61
200208,-4.18,-5.02
200209,-4.53,-5.34
200210,-1.72,-2.59
200211,-2.47,-3.30
200212,-3.21,-4.02
200301,-3.32,-4.04
200302,-3.12,-3.81
200303,-3.29,-3.73
200304,-2.47,-2.97
200305,-2.49,-3.03
200306,-1.39,-1.90
200307,-2.69,-3.43
200308,-3.52,-4.36
200309,-3.06,-3.87
200310,-3.42,-4.29
200311,-2.96,-3.79
200312,-3.06,-3.87
200401,-2.89,-3.61
200402,-2.66,-3.35
200403,-2.62,-3.06
200404,-2.94,-3.44
200405,-3.08,-3.62
200406,-3.16,-3.67
200407,-1.80,-2.54
200408,-2.78,-3.62
200409,-1.17,-1.98
200410,-1.28,-2.15
200411,-0.38,-1.21
200412,-1.23,-2.04
200501,-1.13,-1.85
200502,-1.03,-1.72
200503,-1.28,-1.72
200504,-0.27,-0.77
200505,-0.21,-0.75
200506,1.03,0.52
200507,-0.29,-1.03
200508,0.53,-0.31
200509,-0.79,-1.60
200510,-0.63,-1.50
200511,-0.68,-1.51
200512,-0.87,-1.68
