#  Nebraska Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.08,-0.17
199702,0.95,0.78
199703,-1.83,-1.69
199704,1.52,1.23
199705,0.32,0.09
199706,-0.18,-0.33
199707,0.93,0.31
199708,1.19,0.70
199709,1.02,0.80
199710,3.61,3.19
199711,0.11,-0.07
199712,0.17,0.00
199801,-0.09,-0.18
199802,0.05,-0.12
199803,2.29,2.43
199804,0.94,0.65
199805,-0.48,-0.71
199806,2.70,2.55
199807,3.62,3.00
199808,1.90,1.41
199809,-1.87,-2.09
199810,3.36,2.94
199811,2.78,2.60
199812,-0.27,-0.44
199901,0.11,0.02
199902,-0.20,-0.37
199903,-0.69,-0.55
199904,4.15,3.86
199905,1.40,1.17
199906,3.32,3.17
199907,0.75,0.13
199908,2.05,1.56
199909,0.09,-0.13
199910,-2.01,-2.43
199911,-1.92,-2.10
199912,-0.85,-1.02
200001,-0.68,-0.77
200002,0.36,0.19
200003,-0.81,-0.67
200004,-1.01,-1.30
200005,-1.89,-2.12
200006,-1.78,-1.93
200007,-0.23,-0.85
200008,-3.67,-4.16
200009,-1.73,-1.95
200010,1.58,1.16
200011,1.37,1.19
200012,-0.58,-0.75
200101,1.04,0.95
200102,0.88,0.71
200103,-1.16,-1.02
200104,2.26,1.97
200105,1.52,1.29
200106,-1.90,-2.05
200107,1.74,1.12
200108,-0.52,-1.01
200109,1.13,0.91
200110,-0.32,-0.74
200111,0.66,0.48
200112,-1.22,-1.39
200201,-0.84,-0.93
200202,-1.07,-1.24
200203,-0.99,-0.85
200204,-1.96,-2.25
200205,-1.70,-1.93
200206,-4.96,-5.11
200207,-5.12,-5.74
200208,0.18,-0.31
200209,-2.00,-2.22
200210,3.21,2.79
200211,-1.54,-1.72
200212,-1.61,-1.78
200301,-0.80,-0.89
200302,-0.41,-0.58
200303,-1.48,-1.34
200304,0.57,0.28
200305,-0.49,-0.72
200306,1.05,0.90
200307,-2.65,-3.27
200308,-3.30,-3.79
200309,0.04,-0.18
200310,-1.80,-2.22
200311,0.06,-0.12
200312,-0.98,-1.15
200401,-0.44,-0.53
200402,-0.19,-0.36
200403,-0.71,-0.57
200404,-1.76,-2.05
200405,-1.33,-1.56
200406,-1.19,-1.34
200407,1.32,0.70
200408,-1.91,-2.40
200409,1.69,1.47
200410,-0.47,-0.89
200411,0.91,0.73
200412,-1.41,-1.58
200501,-0.18,-0.27
200502,-0.16,-0.33
200503,-0.71,-0.57
200504,1.06,0.77
200505,-0.08,-0.31
200506,2.31,2.16
200507,-1.04,-1.66
200508,0.91,0.42
200509,-2.36,-2.58
200510,0.23,-0.19
200511,-0.35,-0.53
200512,-0.77,-0.94
200601,-1.46,-1.55
200602,-1.39,-1.56
200603,0.47,0.61
200604,-1.41,-1.70
200605,-4.54,-4.77
200606,-2.30,-2.45
200607,-3.61,-4.23
200608,0.95,0.46
200609,2.51,2.29
200610,0.16,-0.26
200611,-1.55,-1.73
200612,3.20,3.03
200701,0.07,-0.02
200702,0.73,0.56
200703,-0.01,0.13
200704,3.06,2.77
200705,2.63,2.40
200706,-0.76,-0.91
200707,0.27,-0.35
200708,3.02,2.53
200709,-0.40,-0.62
200710,3.33,2.91
200711,-1.58,-1.76
200712,2.26,2.09
200801,-0.53,-0.62
200802,-0.26,-0.43
200803,-0.96,-0.82
200804,1.95,1.66
200805,4.61,4.38
200806,1.51,1.36
200807,1.98,1.36
200808,0.72,0.23
200809,1.63,1.41
200810,6.61,6.19
200811,0.66,0.48
200812,0.89,0.72
200901,0.80,0.71
200902,1.39,1.22
200903,0.07,0.21
200904,2.50,2.21
200905,-1.05,-1.28
200906,3.53,3.38
200907,2.35,1.73
200908,4.02,3.53
200909,0.18,-0.04
200910,6.30,5.88
200911,-0.53,-0.71
200912,2.63,2.46
201001,0.89,0.80
201002,1.71,1.54
201003,1.72,1.86
201004,1.90,1.61
201005,0.74,0.51
201006,6.03,5.88
201007,3.56,2.94
201008,2.23,1.74
201009,0.60,0.38
201010,-0.65,-1.07
201011,-0.05,-0.23
201012,-0.25,-0.42
201101,1.38,1.29
201102,0.48,0.31
201103,-0.54,-0.40
201104,1.54,1.25
201105,4.11,3.88
201106,1.15,1.00
201107,2.69,2.07
201108,2.83,2.34
201109,-1.24,-1.46
201110,1.31,0.89
201111,-0.65,-0.83
201112,0.21,0.04
201201,-0.76,-0.85
201202,1.91,1.74
201203,-3.86,-3.72
201204,0.15,-0.14
201205,-3.05,-3.28
201206,-4.45,-4.60
201207,-5.47,-6.09
201208,-4.27,-4.76
201209,-3.66,-3.88
201210,-0.81,-1.23
201211,-2.17,-2.35
201212,-0.41,-0.58
201301,-1.23,-1.32
201302,-0.38,-0.55
201303,-1.80,-1.66
201304,0.91,0.62
201305,1.55,1.32
201306,-1.96,-2.11
201307,-1.43,-2.05
201308,0.09,-0.40
201309,-0.53,-0.75
201310,3.15,2.73
201311,0.10,-0.08
201312,-0.73,-0.90
201401,-0.77,-0.86
201402,-0.01,-0.18
201403,-1.70,-1.56
201404,-0.71,-1.00
201405,-1.56,-1.79
201406,4.97,4.82
201407,-0.61,-1.23
201408,4.33,3.84
201409,1.31,1.09
201410,0.16,-0.26
201411,-0.45,-0.63
201412,1.63,1.46
201501,-0.47,-0.56
201502,0.47,0.30
201503,-2.90,-2.76
201504,0.10,-0.19
201505,4.10,3.87
201506,2.00,1.85
201507,2.51,1.89
201508,2.19,1.70
201509,0.91,0.69
201510,0.29,-0.13
201511,2.34,2.16
201512,3.24,3.07
201601,0.52,0.43
201602,1.01,0.84
201603,-0.46,-0.32
201604,5.78,5.49
201605,2.64,2.41
201606,-2.33,-2.48
201607,1.60,0.98
201608,0.55,0.06
201609,0.13,-0.09
201610,-0.73,-1.15
