#  Nevada Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,704,-72
199702,546,-35
199703,332,-152
199704,284,1
199705,59,-68
199706,37,1
199707,5,2
199708,4,-3
199709,33,-9
199710,209,13
199711,438,-57
199712,772,21
199801,658,-118
199802,623,42
199803,475,-9
199804,370,87
199805,210,83
199806,58,22
199807,0,-3
199808,2,-5
199809,31,-11
199810,240,44
199811,490,-5
199812,744,-7
199901,635,-141
199902,537,-44
199903,415,-69
199904,388,105
199905,130,3
199906,34,-2
199907,3,0
199908,9,2
199909,33,-9
199910,131,-65
199911,350,-145
199912,685,-66
200001,630,-146
200002,497,-84
200003,443,-41
200004,181,-102
200005,83,-44
200006,17,-19
200007,3,0
200008,3,-4
200009,43,1
200010,206,10
200011,628,133
200012,642,-109
200101,766,-10
200102,621,40
200103,376,-108
200104,296,13
200105,49,-78
200106,23,-13
200107,3,0
200108,2,-5
200109,25,-17
200110,122,-74
200111,403,-92
200112,774,23
200201,751,-25
200202,529,-52
200203,511,27
200204,209,-74
200205,112,-15
200206,20,-16
200207,0,-3
200208,7,0
200209,33,-9
200210,214,18
200211,436,-59
200212,710,-41
200301,493,-283
200302,572,-9
200303,415,-69
200304,341,58
200305,95,-32
200306,16,-20
200307,0,-3
200308,3,-4
200309,26,-16
200310,91,-105
200311,579,84
200312,711,-40
200401,734,-42
200402,641,60
200403,256,-228
200404,228,-55
200405,97,-30
200406,22,-14
200407,0,-3
200408,6,-1
200409,41,-1
200410,215,19
200411,548,53
200412,698,-53
200501,689,-87
200502,555,-26
200503,440,-44
200504,307,24
200505,102,-25
200506,50,14
200507,0,-3
200508,3,-4
200509,54,12
200510,174,-22
200511,400,-95
200512,688,-63
200601,661,-115
200602,527,-54
200603,586,102
200604,271,-12
200605,76,-51
200606,15,-21
200607,0,-3
200608,7,0
200609,38,-4
200610,218,22
200611,427,-68
200612,742,-9
200701,821,45
200702,516,-65
200703,307,-177
200704,218,-65
200705,74,-53
200706,20,-16
200707,0,-3
200708,3,-4
200709,48,6
200710,203,7
200711,365,-130
200712,821,70
200801,820,44
200802,571,-10
200803,428,-56
200804,282,-1
200805,132,5
200806,28,-8
200807,0,-3
200808,2,-5
200809,29,-13
200810,161,-35
200811,352,-143
200812,784,33
200901,638,-138
200902,571,-10
200903,460,-24
200904,289,6
200905,59,-68
200906,37,1
200907,0,-3
200908,6,-1
200909,17,-25
200910,240,44
200911,421,-74
200912,850,99
201001,699,-77
201002,547,-34
201003,481,-3
201004,344,61
201005,210,83
201006,33,-3
201007,0,-3
201008,8,1
201009,32,-10
201010,157,-39
201011,515,20
201012,628,-123
201101,700,-76
201102,633,52
201103,449,-35
201104,307,24
201105,193,66
201106,45,9
201107,3,0
201108,3,-4
201109,19,-23
201110,164,-32
201111,533,38
201112,774,23
201201,638,-138
201202,548,-33
201203,421,-63
201204,216,-67
201205,82,-45
201206,30,-6
201207,0,-3
201208,0,-7
201209,18,-24
201210,144,-52
201211,371,-124
201212,728,-23
201301,845,69
201302,602,21
201303,331,-153
201304,225,-58
201305,99,-28
201306,18,-18
201307,0,-3
201308,4,-3
201309,35,-7
201310,249,53
201311,436,-59
201312,787,36
201401,564,-212
201402,447,-134
201403,364,-120
201404,222,-61
201405,89,-38
201406,23,-13
201407,0,-3
201408,7,0
201409,24,-18
201410,113,-83
201411,413,-82
201412,646,-105
201501,586,-190
201502,366,-215
201503,269,-215
201504,246,-37
201505,126,-1
201506,8,-28
201507,4,1
201508,3,-4
201509,25,-17
201510,103,-93
201511,562,67
201512,778,27
201601,732,-44
201602,432,-149
201603,354,-130
201604,223,-60
201605,121,-6
201606,15,-21
201607,2,-1
201608,3,-4
201609,37,-5
201610,144,-52
201611,370,-125
201612,752,1
201701,769,-7
201702,485,-96
201703,313,-171
201704,250,-33
201705,96,-31
201706,19,-17
201707,0,-3
201708,0,-7
201709,39,-3
201710,180,-16
201711,328,-167
201712,622,-129
201801,548,-228
201802,570,-11
201803,469,-15
201804,197,-86
201805,86,-41
201806,22,-14
201807,0,-3
201808,2,-5
201809,29,-13
201810,201,5
201811,465,-30
201812,701,-50
201901,682,-94
201902,722,141
201903,468,-16
201904,206,-77
201905,190,63
201906,31,-5
201907,2,-1
201908,3,-4
201909,48,6
201910,276,80
201911,419,-76
201912,723,-28
202001,658,-118
202002,532,-49
202003,484,0
202004,235,-48
202005,79,-48
202006,30,-6
202007,0,-3
202008,0,-7
202009,18,-24
202010,109,-87
202011,430,-65
202012,699,-52
202101,686,-90
202102,535,-46
202103,507,23
202104,202,-81
202105,90,-37
202106,5,-31
202107,0,-3
202108,3,-4
202109,25,-17
202110,226,30
202111,302,-193
202112,703,-48
202201,684,-92
202202,565,-16
202203,392,-92
202204,249,-34
202205,120,-7
202206,24,-12
202207,0,-3
202208,0,-7
202209,14,-28
202210,118,-78
202211,609,114
202212,727,-24
