#  Nevada Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.15,0.99
199702,0.48,-0.63
199703,0.25,-0.82
199704,0.81,-0.10
199705,0.39,-0.59
199706,1.75,1.05
199707,0.65,0.11
199708,0.35,-0.25
199709,1.31,0.74
199710,0.47,-0.31
199711,0.88,0.01
199712,0.52,-0.50
199801,1.30,0.14
199802,2.94,1.83
199803,1.72,0.65
199804,1.19,0.28
199805,2.52,1.54
199806,1.78,1.08
199807,0.87,0.33
199808,0.28,-0.32
199809,1.89,1.32
199810,1.13,0.35
199811,0.87,0.00
199812,0.42,-0.60
199901,1.30,0.14
199902,0.75,-0.36
199903,0.39,-0.68
199904,1.63,0.72
199905,0.74,-0.24
199906,1.00,0.30
199907,0.52,-0.02
199908,0.56,-0.04
199909,0.27,-0.30
199910,0.15,-0.63
199911,0.23,-0.64
199912,0.20,-0.82
200001,1.43,0.27
200002,2.28,1.17
200003,0.97,-0.10
200004,0.69,-0.22
200005,1.06,0.08
200006,0.25,-0.45
200007,0.04,-0.50
200008,1.03,0.43
200009,0.33,-0.24
200010,1.65,0.87
200011,0.39,-0.48
200012,0.36,-0.66
200101,1.14,-0.02
200102,1.09,-0.02
200103,1.00,-0.07
200104,1.19,0.28
200105,0.16,-0.82
200106,0.13,-0.57
200107,0.81,0.27
200108,0.27,-0.33
200109,0.25,-0.32
200110,0.28,-0.50
200111,1.24,0.37
200112,1.37,0.35
200201,0.67,-0.49
200202,0.57,-0.54
200203,0.53,-0.54
200204,0.86,-0.05
200205,0.40,-0.58
200206,0.26,-0.44
200207,0.31,-0.23
200208,0.06,-0.54
200209,0.47,-0.10
200210,0.36,-0.42
200211,0.94,0.07
200212,0.81,-0.21
200301,0.52,-0.64
200302,1.05,-0.06
200303,0.80,-0.27
200304,1.68,0.77
200305,0.90,-0.08
200306,0.10,-0.60
200307,0.50,-0.04
200308,1.15,0.55
200309,0.31,-0.26
200310,0.12,-0.66
200311,0.98,0.11
200312,1.71,0.69
200401,0.53,-0.63
200402,1.65,0.54
200403,0.34,-0.73
200404,1.02,0.11
200405,0.59,-0.39
200406,0.34,-0.36
200407,0.54,0.00
200408,0.82,0.22
200409,0.45,-0.12
200410,2.36,1.58
200411,1.40,0.53
200412,1.31,0.29
200501,2.25,1.09
200502,1.43,0.32
200503,1.26,0.19
200504,1.34,0.43
200505,1.99,1.01
200506,0.51,-0.19
200507,0.37,-0.17
200508,0.59,-0.01
200509,0.37,-0.20
200510,0.86,0.08
200511,0.74,-0.13
200512,1.84,0.82
200601,1.47,0.31
200602,0.79,-0.32
200603,1.74,0.67
200604,1.77,0.86
200605,0.54,-0.44
200606,0.29,-0.41
200607,0.68,0.14
200608,0.06,-0.54
200609,0.20,-0.37
200610,0.86,0.08
200611,0.61,-0.26
200612,0.66,-0.36
200701,0.33,-0.83
200702,1.01,-0.10
200703,0.59,-0.48
200704,0.90,-0.01
200705,0.28,-0.70
200706,0.34,-0.36
200707,0.39,-0.15
200708,0.57,-0.03
200709,0.87,0.30
200710,0.61,-0.17
200711,0.32,-0.55
200712,1.38,0.36
200801,1.48,0.32
200802,1.10,-0.01
200803,0.38,-0.69
200804,0.23,-0.68
200805,1.01,0.03
200806,0.25,-0.45
200807,0.32,-0.22
200808,0.17,-0.43
200809,0.14,-0.43
200810,0.37,-0.41
200811,1.12,0.25
200812,1.12,0.10
200901,0.87,-0.29
200902,1.14,0.03
200903,0.65,-0.42
200904,1.05,0.14
200905,0.61,-0.37
200906,1.84,1.14
200907,0.40,-0.14
200908,0.35,-0.25
200909,0.14,-0.43
200910,0.78,0.00
200911,0.18,-0.69
200912,1.21,0.19
201001,1.45,0.29
201002,1.03,-0.08
201003,0.94,-0.13
201004,1.27,0.36
201005,1.07,0.09
201006,0.20,-0.50
201007,0.35,-0.19
201008,0.25,-0.35
201009,0.26,-0.31
201010,2.23,1.45
201011,1.19,0.32
201012,2.82,1.80
201101,0.29,-0.87
201102,0.83,-0.28
201103,1.57,0.50
201104,1.22,0.31
201105,1.53,0.55
201106,0.55,-0.15
201107,0.50,-0.04
201108,0.23,-0.37
201109,0.48,-0.09
201110,0.93,0.15
201111,0.38,-0.49
201112,0.11,-0.91
201201,0.95,-0.21
201202,0.53,-0.58
201203,1.01,-0.06
201204,0.67,-0.24
201205,0.30,-0.68
201206,0.09,-0.61
201207,0.85,0.31
201208,1.00,0.40
201209,0.53,-0.04
201210,0.67,-0.11
201211,0.48,-0.39
201212,1.81,0.79
201301,0.68,-0.48
201302,0.38,-0.73
201303,0.42,-0.65
201304,0.51,-0.40
201305,0.70,-0.28
201306,0.12,-0.58
201307,0.76,0.22
201308,0.54,-0.06
201309,1.39,0.82
201310,0.59,-0.19
201311,0.74,-0.13
201312,0.63,-0.39
201401,0.51,-0.65
201402,1.20,0.09
201403,1.03,-0.04
201404,0.66,-0.25
201405,0.79,-0.19
201406,0.12,-0.58
201407,0.77,0.23
201408,1.49,0.89
201409,1.19,0.62
201410,0.12,-0.66
201411,0.71,-0.16
201412,1.33,0.31
201501,0.50,-0.66
201502,0.58,-0.53
201503,0.38,-0.69
201504,0.70,-0.21
201505,2.11,1.13
201506,0.56,-0.14
201507,1.22,0.68
201508,0.49,-0.11
