#  Nevada Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.51,2.48
199702,2.11,1.99
199703,0.05,-0.05
199704,-0.20,-0.28
199705,-1.22,-1.37
199706,0.79,0.70
199707,0.97,0.89
199708,0.62,0.57
199709,1.43,1.36
199710,0.55,0.49
199711,-0.10,-0.04
199712,-0.83,-0.75
199801,-0.81,-0.84
199802,1.57,1.45
199803,2.08,1.98
199804,2.38,2.30
199805,4.08,3.93
199806,5.79,5.70
199807,8.04,7.96
199808,7.56,7.51
199809,8.47,8.40
199810,8.11,8.05
199811,7.03,7.09
199812,5.18,5.26
199901,4.56,4.53
199902,3.26,3.14
199903,1.26,1.16
199904,2.46,2.38
199905,1.94,1.79
199906,1.52,1.43
199907,0.79,0.71
199908,0.38,0.33
199909,-0.46,-0.53
199910,-1.74,-1.80
199911,-2.55,-2.49
199912,-3.10,-3.02
200001,-2.83,-2.86
200002,-1.03,-1.15
200003,-1.22,-1.32
200004,-2.18,-2.26
200005,-2.42,-2.57
200006,-3.04,-3.13
200007,-3.74,-3.82
200008,-2.76,-2.81
200009,-3.11,-3.18
200010,-0.76,-0.82
200011,-1.03,-0.97
200012,-2.35,-2.27
200101,-2.24,-2.27
200102,-1.88,-2.00
200103,-2.27,-2.37
200104,-1.38,-1.46
200105,-2.79,-2.94
200106,-3.70,-3.79
200107,-3.69,-3.77
200108,-4.03,-4.08
200109,-4.15,-4.22
200110,-4.39,-4.45
200111,-3.69,-3.63
200112,-2.54,-2.46
200201,-2.76,-2.79
200202,-3.17,-3.29
200203,-3.25,-3.35
200204,-3.21,-3.29
200205,-3.75,-3.90
200206,-4.34,-4.43
200207,-4.83,-4.91
200208,-5.22,-5.27
200209,-4.89,-4.96
200210,-4.72,-4.78
200211,-4.33,-4.27
200212,-4.15,-4.07
200301,-4.80,-4.83
200302,-4.52,-4.64
200303,-4.67,-4.77
200304,-2.60,-2.68
200305,-2.71,-2.86
200306,-4.23,-4.32
200307,-4.65,-4.73
200308,-3.38,-3.43
200309,-3.88,-3.95
200310,-4.41,-4.47
200311,-3.49,-3.43
200312,-1.76,-1.68
200401,-2.13,-2.16
200402,-0.36,-0.48
200403,-2.38,-2.48
200404,-2.61,-2.69
200405,-2.96,-3.11
200406,-3.24,-3.33
200407,-3.32,-3.40
200408,-2.67,-2.72
200409,-2.66,-2.73
200410,1.26,1.20
200411,1.97,2.03
200412,2.15,2.23
200501,3.25,3.22
200502,3.68,3.56
200503,3.72,3.62
200504,3.93,3.85
200505,5.05,4.90
200506,5.71,5.62
200507,6.35,6.27
200508,5.77,5.72
200509,4.78,4.71
200510,4.33,4.27
200511,3.02,3.08
200512,3.83,3.91
200601,3.85,3.82
200602,3.14,3.02
200603,3.84,3.74
200604,4.19,4.11
200605,3.62,3.47
200606,3.07,2.98
200607,2.52,2.44
200608,0.54,0.49
200609,-0.60,-0.67
200610,-0.37,-0.43
200611,-1.15,-1.09
200612,-1.53,-1.45
200701,-2.16,-2.19
200702,-2.32,-2.44
200703,-3.17,-3.27
200704,-3.43,-3.51
200705,-4.64,-4.79
200706,-5.51,-5.60
200707,-6.08,-6.16
200708,-5.85,-5.90
200709,-4.52,-4.59
200710,-4.22,-4.28
200711,-4.84,-4.78
200712,-3.75,-3.67
200801,-2.54,-2.57
200802,-1.93,-2.05
200803,-2.77,-2.87
200804,-3.35,-3.43
200805,-3.15,-3.30
200806,-3.43,-3.52
200807,-3.68,-3.76
200808,-4.07,-4.12
200809,-4.26,-4.33
200810,-4.28,-4.34
200811,-4.03,-3.97
200812,-3.45,-3.37
200901,-3.52,-3.55
200902,-3.14,-3.26
200903,-3.27,-3.37
200904,-2.59,-2.67
200905,-3.26,-3.41
200906,-1.67,-1.76
200907,-2.33,-2.41
200908,-2.75,-2.80
200909,-3.14,-3.21
200910,-2.46,-2.52
200911,-3.20,-3.14
200912,-2.58,-2.50
201001,-1.66,-1.69
201002,-1.49,-1.61
201003,-1.51,-1.61
201004,-0.22,-0.30
201005,1.06,0.91
201006,0.50,0.41
201007,-0.02,-0.10
201008,-0.80,-0.85
201009,-1.41,-1.48
201010,1.33,1.27
201011,1.52,1.58
201012,2.89,2.97
201101,1.79,1.76
201102,1.90,1.78
201103,2.50,2.40
201104,2.75,2.67
201105,3.53,3.38
201106,4.00,3.91
201107,4.50,4.42
201108,3.52,3.47
201109,2.72,2.65
201110,2.54,2.48
201111,1.28,1.34
201112,-0.76,-0.68
201201,-1.72,-1.75
201202,-2.26,-2.38
201203,-2.52,-2.62
201204,-2.86,-2.94
201205,-4.12,-4.27
201206,-5.23,-5.32
201207,-5.28,-5.36
201208,-4.51,-4.56
201209,-4.41,-4.48
201210,-4.18,-4.24
201211,-4.44,-4.38
201212,-2.56,-2.48
201301,-2.79,-2.82
201302,-3.44,-3.56
201303,-4.08,-4.18
201304,-4.41,-4.49
201305,-4.77,-4.92
201306,-5.55,-5.64
201307,-5.59,-5.67
201308,-5.36,-5.41
201309,-2.81,-2.88
201310,-2.51,-2.57
201311,-2.83,-2.77
201312,-3.25,-3.17
201401,-4.12,-4.15
201402,-4.10,-4.22
201403,-4.20,-4.30
201404,-4.29,-4.37
201405,-4.89,-5.04
201406,-5.86,-5.95
201407,-5.98,-6.06
201408,-3.60,-3.65
201409,-1.87,-1.94
201410,-3.26,-3.32
201411,-3.56,-3.50
201412,-3.03,-2.95
201501,-4.03,-4.06
201502,-4.72,-4.84
201503,-5.75,-5.85
201504,-5.97,-6.05
201505,-5.03,-5.18
201506,-6.12,-6.21
201507,-5.63,-5.71
201508,-5.53,-5.58
201509,-5.41,-5.48
201510,-3.15,-3.21
201511,-1.73,-1.67
201512,-0.65,-0.57
201601,1.05,1.02
201602,0.27,0.15
201603,-0.17,-0.27
201604,0.56,0.48
201605,0.84,0.69
201606,0.36,0.27
201607,-0.65,-0.73
201608,-1.18,-1.23
201609,-0.98,-1.05
201610,-0.01,-0.07
201611,-0.93,-0.87
201612,0.58,0.66
201701,2.40,2.37
201702,2.78,2.66
201703,2.25,2.15
201704,2.43,2.35
201705,2.16,2.01
201706,2.22,2.13
201707,1.98,1.90
201708,1.36,1.31
201709,1.95,1.88
201710,0.31,0.25
201711,-0.79,-0.73
201712,-1.77,-1.69
201801,-2.30,-2.33
201802,-2.85,-2.97
201803,-2.16,-2.26
201804,-2.58,-2.66
201805,-2.71,-2.86
201806,-3.82,-3.91
201807,-4.19,-4.27
201808,-4.56,-4.61
201809,-4.88,-4.95
201810,-3.62,-3.68
201811,-3.49,-3.43
201812,-3.25,-3.17
201901,-2.65,-2.68
201902,0.36,0.24
201903,2.22,2.12
201904,2.22,2.14
201905,3.92,3.77
201906,4.45,4.36
201907,4.80,4.72
201908,3.50,3.45
201909,3.69,3.62
201910,2.38,2.32
201911,1.71,1.77
201912,2.10,2.18
202001,0.88,0.85
202002,-0.72,-0.84
202003,-0.79,-0.89
202004,-1.40,-1.48
202005,-2.17,-2.32
202006,-2.64,-2.73
202007,-3.39,-3.47
202008,-4.00,-4.05
202009,-4.38,-4.45
202010,-4.83,-4.89
202011,-4.64,-4.58
202012,-4.61,-4.53
202101,-4.45,-4.48
202102,-4.38,-4.50
202103,-4.20,-4.30
202104,-4.45,-4.53
202105,-4.91,-5.06
202106,-5.88,-5.97
202107,-5.96,-6.04
202108,-6.11,-6.16
202109,-6.00,-6.07
202110,-2.70,-2.76
202111,-4.41,-4.35
202112,-2.02,-1.94
202201,-3.35,-3.38
202202,-4.19,-4.31
202203,-4.52,-4.62
202204,-4.62,-4.70
202205,-5.11,-5.26
202206,-5.87,-5.96
202207,-6.19,-6.27
202208,-4.07,-4.12
202209,-3.28,-3.35
202210,-4.02,-4.08
202211,-2.93,-2.87
202212,-0.40,-0.32
